rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,Num Cands,Num Seats
53,53,53,53,53,53,53,53,2,1,24,9,53,6,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,10,53,53,53,53,53,7,1,53,2,53,53,1,53,53,53,53,4,53.0,Unknown
1,52,53,8,50,9,52,52,44,52,2,7,52,27,53,53,27,53,3,7,52,53,22,51,6,53,1,33,53,4,53,10,31,49,5,53,53,23,14,28,35,1,53,51,52,50,53,39,8,53,52,33,9,,Unknown
53,53,53,53,53,53,53,53,53,2,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,2,53,53,53,53,53,53,53,53,2,53,53,53,1,53,5,53,53,53,53,53,53,53,53,,Unknown
53,7,53,11,53,53,53,53,53,53,8,53,53,4,53,53,53,53,53,10,53,53,53,53,53,53,53,53,14,6,53,53,3,2,53,53,53,53,5,9,53,1,12,53,53,53,13,53,53,53,53,53,53,,Unknown
7,1,53,53,53,53,53,53,53,53,4,53,53,53,53,53,53,53,53,53,53,53,53,2,53,53,9,53,53,3,53,53,53,53,53,53,53,53,53,8,53,53,53,53,5,53,53,53,6,53,53,53,53,,Unknown
40,8,52,52,40,6,40,40,12,19,17,40,40,4,52,5,40,52,40,52,40,7,40,40,18,40,40,13,20,14,11,52,52,10,52,40,53,40,3,16,40,15,2,40,40,40,9,40,40,2,52,52,40,,Unknown
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,1,53,53,53,53,53,53,53,,Unknown
53,53,53,53,53,53,1,53,53,53,53,53,53,53,53,53,53,53,3,53,53,2,53,53,53,53,53,6,53,53,53,53,53,53,53,53,53,4,53,53,53,53,53,5,53,53,53,53,53,53,53,53,53,,Unknown
53,53,53,53,53,53,53,53,53,53,53,53,3,53,53,1,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,4,53,53,53,53,53,53,53,53,53,53,53,2,53,53,,Unknown
37,27,31,23,7,24,37,3,30,37,12,15,4,1,49,37,14,51,19,16,49,6,27,49,10,50,40,17,43,9,21,37,49,28,53,2,29,8,11,13,49,42,32,20,26,40,41,29,49,40,53,18,5,,Unknown
14,26,25,13,53,19,25,27,53,11,37,53,27,10,25,53,33,53,1,5,36,53,9,53,6,53,53,53,53,53,3,53,8,18,20,12,27,15,2,16,21,22,27,34,53,35,28,33,17,53,53,4,7,,Unknown
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,9,53,53,53,53,53,53,53,53,53,53,53,53,2,53,53,5,53,53,8,53,53,53,3,53,53,6,53,7,4,53,53,53,53,10,53,1,,Unknown
3,5,51,6,12,7,20,31,8,11,50,26,21,13,50,27,34,52,19,15,50,17,50,53,50,50,50,16,33,1,29,28,50,26,50,50,50,26,14,2,35,10,50,9,4,26,50,32,50,22,50,23,18,,Unknown
2,31,37,26,51,28,32,27,8,44,18,23,34,4,46,38,22,45,13,17,24,50,11,36,25,21,9,30,43,10,18,5,15,42,29,7,33,48,53,3,47,14,52,20,1,39,49,16,40,41,35,12,6,,Unknown
4,53,53,53,53,53,53,53,53,5,53,53,53,53,53,8,3,53,53,53,53,53,53,53,53,53,2,53,53,53,53,53,53,53,53,53,53,53,53,53,1,53,53,53,53,53,53,6,53,53,7,53,53,,Unknown
1,53,53,53,53,53,53,1,1,53,53,53,53,1,53,53,53,53,1,53,53,53,1,1,53,53,1,53,53,1,53,53,53,53,53,1,53,53,1,1,53,1,53,53,1,53,53,53,53,53,53,53,53,,Unknown
1,30,53,53,20,53,20,29,9,53,53,53,48,53,5,53,8,53,7,53,28,5,2,53,27,53,1,53,53,53,53,42,10,53,53,53,37,18,53,8,53,20,8,53,3,15,52,53,53,8,53,9,17,,Unknown
22,11,33,23,15,23,14,53,28,53,2,53,3,9,29,29,53,15,33,38,53,36,33,25,39,53,53,29,21,1,6,53,10,7,53,36,33,13,23,15,23,53,32,53,53,53,4,15,20,5,12,15,8,,Unknown
53,53,53,53,53,53,53,6,8,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,7,3,53,53,53,53,53,53,6,53,53,53,53,53,53,53,53,53,2,53,6,53,2,53,53,53,53,53,53,,Unknown
4,52,52,52,52,52,52,52,52,52,8,52,52,6,52,52,52,52,52,52,53,7,52,52,3,52,52,52,52,52,52,52,52,52,52,2,52,9,52,52,52,52,52,52,52,52,52,52,52,52,52,1,5,,Unknown
8,6,50,50,5,50,50,50,50,50,50,50,50,2,50,53,50,50,50,50,9,50,50,50,50,50,51,50,50,50,50,37,50,50,50,37,53,9,50,3,50,50,50,50,50,50,50,50,37,50,50,5,7,,Unknown
53,53,53,53,53,53,53,53,53,53,1,53,53,53,53,53,53,53,53,53,53,53,6,53,3,53,53,53,53,2,53,53,53,53,53,2,53,1,5,53,53,53,53,53,53,53,53,53,53,8,53,53,53,,Unknown
53,9,53,53,53,12,53,11,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,2,53,53,53,53,13,3,1,53,53,53,53,53,53,8,53,5,7,53,53,10,53,4,53,53,6,53,53,53,,Unknown
1,22,35,3,39,34,32,17,23,5,29,25,19,9,2,4,30,51,7,11,16,47,10,48,6,21,8,13,50,44,24,15,28,52,49,14,33,46,40,18,45,36,42,26,27,31,53,38,41,43,37,20,12,,Unknown
53,53,53,53,6,10,53,53,15,53,53,16,12,7,53,53,53,53,53,9,53,53,53,53,53,53,53,53,53,1,53,5,4,53,53,53,53,14,13,8,53,53,53,53,11,53,53,53,17,53,53,2,3,,Unknown
53,53,53,53,53,53,53,53,53,53,2,4,53,1,53,53,53,53,53,3,53,53,53,53,53,53,25,52,53,53,53,1,2,53,53,1,53,53,53,53,53,53,53,53,53,53,53,53,48,53,53,2,53,,Unknown
8,53,53,53,53,53,53,53,53,53,53,53,53,5,53,53,53,53,53,53,53,53,53,53,53,53,6,53,53,53,53,53,53,3,9,53,53,53,53,7,53,53,1,53,53,53,2,53,53,1,53,4,53,,Unknown
1,53,53,10,1,2,5,10,2,15,53,8,6,4,53,53,10,53,53,8,2,8,53,53,15,53,8,15,53,10,53,5,4,53,1,10,53,53,8,4,53,5,53,1,3,53,53,15,2,53,53,1,1,,Unknown
7,53,53,2,53,53,53,16,53,6,53,53,53,53,53,53,14,53,10,53,15,13,53,53,53,53,1,53,53,4,53,53,3,53,53,53,53,53,53,53,11,17,53,53,9,53,53,53,53,12,5,8,53,,Unknown
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,1,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,2,53,4,53,53,53,53,2,53,5,53,,Unknown
53,53,53,53,1,53,53,53,53,53,53,4,53,2,53,53,4,53,1,53,2,53,53,53,53,53,53,2,53,53,53,53,3,53,4,53,53,4,53,53,53,53,53,53,53,53,53,53,53,53,53,1,53,,Unknown
