rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,Num Cands,Num Seats
29,15,33,30,36,17,32,14,16,1,5,26,35,10,34,8,7,21,22,12,13,19,28,18,3,9,25,34,23,6,24,2,4,27,31,37,11,37.0,1.0
37,15,37,37,37,37,37,19,13,5,3,37,37,12,37,10,11,37,37,17,16,37,37,25,2,8,37,37,37,7,37,1,9,18,37,18,22,,
37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,13,37,37,37,37,37,37,37,4,4,37,37,7,37,7,7,37,37,37,11,37,37,14,2,10,37,37,37,6,37,1,3,37,37,37,12,,
37,13,37,37,37,18,37,14,15,4,6,37,37,8,37,10,7,37,37,11,16,37,37,17,1,9,37,37,37,5,37,3,2,37,37,37,12,,
Skipped,14,Skipped,Skipped,23,18,Skipped,16,17,3,5,22,21,6,Skipped,11,7,24,Skipped,12,10,19,Skipped,15,2,8,Skipped,Skipped,Skipped,9,20,1,4,Skipped,Skipped,Skipped,13,,
37,37,37,37,37,37,37,37,37,6,5,37,37,1,37,7,8,37,37,37,37,37,37,37,3,10,37,37,37,9,37,2,4,37,37,37,37,,
19,14,Skipped,Skipped,Skipped,20,Skipped,18,15,9,3,17,36,10,Skipped,12,11,34,Skipped,8,6,Skipped,Skipped,16,2,7,25,32,Skipped,4,21,1,5,Skipped,30,Skipped,13,,
Skipped,1,34,19,Skipped,23,Skipped,9,32,2,28,Skipped,Skipped,37,Skipped,37,29,Skipped,Skipped,30,35,37,Skipped,25,5,32,10,Skipped,Skipped,33,11,7,4,6,Skipped,27,36,,
25,11,27,33,16,23,17,18,15,1,5,22,19,9,37,10,7,32,26,8,13,36,34,24,2,12,28,20,30,4,31,6,3,21,29,35,14,,
28,11,31,36,24,17,30,13,16,6,4,20,21,15,37,6,13,23,26,8,10,22,29,19,1,9,33,35,27,7,24,2,3,18,32,34,12,,
37,37,37,37,37,37,37,37,37,8,3,37,37,37,37,10,37,37,37,37,9,37,37,37,1,7,37,37,37,5,37,4,6,37,37,37,37,,
18,14,37,37,37,17,37,13,9,4,5,37,37,9,37,12,7,22,37,11,15,21,37,16,1,8,20,37,37,6,19,2,3,37,22,37,13,,
37,37,37,37,37,37,37,37,10,1,6,37,37,9,37,37,8,37,37,37,37,37,37,37,3,7,37,37,37,5,37,2,4,37,37,37,37,,
37,37,37,37,37,37,37,37,37,5,6,37,37,9,37,7,5,37,37,37,37,37,37,37,2,8,37,37,37,4,37,1,3,37,37,37,37,,
Skipped,18,Skipped,Skipped,Skipped,16,14,15,17,1,5,Skipped,Skipped,7,Skipped,12,8,Skipped,Skipped,11,13,Skipped,Skipped,Skipped,1,9,Skipped,Skipped,Skipped,6,Skipped,1,4,Skipped,Skipped,Skipped,10,,
12,8,14,25,14,11,21,10,10,5,4,11,12,7,37,7,7,12,Skipped,8,9,12,22,10,2,7,12,13,13,6,11,1,3,Skipped,12,22,7,,
37,5,37,37,37,37,37,37,37,3,3,37,37,4,37,4,4,37,37,5,5,37,37,37,2,4,37,37,37,3,37,1,2,37,37,37,5,,
37,37,37,37,37,37,37,37,37,7,5,37,37,6,37,10,9,37,37,37,37,37,37,37,1,8,37,37,37,4,37,2,3,37,37,37,37,,
37,17,37,37,37,37,37,12,14,7,6,37,37,13,37,18,21,37,37,18,11,37,37,37,1,10,37,37,37,3,37,2,9,37,37,37,22,,
37,14,37,37,37,17,37,12,16,7,5,37,37,15,37,11,9,37,37,8,10,37,37,18,2,4,37,20,37,6,37,1,3,19,37,37,13,,
37,37,37,37,37,37,37,37,9,3,37,10,37,37,37,4,6,37,37,37,37,37,37,37,2,7,37,37,37,8,37,1,5,37,37,37,37,,
21,12,37,37,37,17,37,15,18,6,8,22,37,5,37,9,13,37,37,11,10,20,37,16,2,14,37,37,37,4,19,1,3,37,37,37,7,,
37,37,37,37,37,37,37,37,37,4,6,37,37,7,37,10,9,37,37,37,37,37,37,37,3,8,37,37,37,5,37,1,2,37,37,37,37,,
37,1,37,37,37,19,37,5,4,5,1,37,37,4,37,6,4,37,37,7,7,37,37,16,2,7,37,37,37,6,37,3,2,37,37,37,7,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,,
19,11,Skipped,Skipped,Skipped,17,Skipped,14,9,3,5,Skipped,Skipped,12,Skipped,13,10,Skipped,Skipped,16,15,Skipped,Skipped,18,2,7,Skipped,Skipped,Skipped,6,Skipped,1,4,Skipped,Skipped,Skipped,8,,
33,9,37,37,23,13,30,10,16,6,5,15,37,14,Skipped,7,18,22,37,19,11,20,36,17,3,8,37,37,37,2,21,1,4,33,37,31,12,,
24,16,21,34,30,18,28,13,14,3,6,20,33,12,36,10,8,22,25,7,15,29,35,19,1,9,27,31,26,4,23,2,5,11,32,37,17,,
37,13,37,37,37,17,37,15,17,6,4,37,37,7,37,8,8,37,37,13,11,19,37,15,2,8,37,37,37,5,37,1,3,37,37,37,11,,
36,9,36,36,8,36,36,36,36,36,7,36,5,36,36,36,36,36,36,11,10,36,36,36,4,3,36,6,36,12,36,1,2,36,36,36,36,,
28,13,29,37,25,15,32,19,12,2,6,22,24,16,37,7,8,21,33,9,10,26,37,20,5,11,17,31,27,3,23,1,4,18,30,37,14,,
37,13,37,37,37,37,37,37,37,5,4,37,37,10,37,14,7,37,37,9,12,37,37,37,2,5,37,37,37,5,37,1,8,37,37,37,37,,
37,15,37,37,37,18,37,7,17,8,6,37,37,14,37,12,11,37,37,15,16,37,37,37,1,3,37,37,37,4,37,2,9,16,37,37,13,,
37,16,37,37,37,37,37,17,15,3,6,37,37,7,37,9,12,37,37,10,11,37,37,14,1,8,37,37,37,4,37,2,5,37,37,37,13,,
37,13,37,37,37,18,37,17,16,5,6,20,37,1,37,10,8,37,37,14,11,37,37,15,3,9,37,37,37,7,19,2,4,37,37,37,12,,
Skipped,14,37,37,37,Skipped,Skipped,16,15,3,5,Skipped,37,6,37,9,9,37,37,12,13,37,Skipped,Skipped,2,6,Skipped,37,Skipped,6,Skipped,1,4,Skipped,Skipped,37,11,,
21,13,37,37,25,15,37,15,15,4,5,37,27,7,37,7,7,37,26,14,12,23,37,15,3,7,37,24,28,6,15,1,1,22,20,37,11,,
18,12,37,37,37,17,37,15,13,3,5,37,37,14,37,9,7,37,37,11,10,37,37,18,1,8,37,37,37,6,37,2,4,16,37,37,14,,
37,37,37,37,37,37,37,37,37,5,3,37,37,8,37,37,10,37,37,11,9,37,37,37,1,7,37,37,37,6,37,2,4,37,37,37,37,,
22,17,37,37,37,13,37,12,9,3,4,37,23,15,37,16,8,37,37,10,17,37,37,17,1,7,21,37,37,6,37,2,5,37,20,37,11,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,4,4,Skipped,Skipped,10,Skipped,8,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,11,Skipped,Skipped,Skipped,6,Skipped,1,3,Skipped,Skipped,Skipped,9,,
8,12,22,35,37,37,37,10,11,2,3,37,16,23,37,17,9,27,37,20,15,14,37,24,5,21,19,7,37,4,25,1,6,26,13,37,18,,
19,13,Skipped,Skipped,Skipped,15,Skipped,15,14,3,7,18,Skipped,10,Skipped,8,11,Skipped,Skipped,9,10,Skipped,Skipped,16,5,2,19,Skipped,20,6,20,1,4,Skipped,19,Skipped,12,,
18,8,37,37,37,17,37,17,12,4,4,37,37,11,37,6,37,37,37,17,20,37,37,20,1,16,37,37,37,6,37,2,3,37,37,37,21,,
18,11,37,37,37,17,37,15,15,5,6,20,37,8,37,8,8,37,37,14,13,37,37,20,2,7,37,37,37,4,20,1,2,18,37,37,11,,
Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,4,Skipped,Skipped,Skipped,3,9,Skipped,Skipped,Skipped,5,Skipped,5,8,Skipped,Skipped,Skipped,7,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,,
19,13,29,31,30,18,34,15,16,5,4,22,28,9,37,8,7,23,25,14,12,24,35,17,2,10,20,32,27,6,26,1,3,36,21,33,11,,
30,10,Skipped,33,Skipped,18,30,21,16,4,3,13,Skipped,12,Skipped,8,9,28,Skipped,14,13,Skipped,33,21,1,10,31,Skipped,36,6,Skipped,2,5,23,35,Skipped,20,,
21,14,31,36,26,16,25,19,11,4,3,27,29,8,37,10,7,20,35,15,17,28,34,13,2,6,18,30,32,9,23,1,5,24,22,33,12,,
8,9,37,37,37,20,37,19,15,8,1,37,37,9,37,11,5,37,37,12,17,37,37,37,4,6,37,37,37,7,37,3,2,37,37,37,13,,
37,37,37,37,37,37,37,37,37,37,37,37,37,5,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,11,37,37,37,17,37,16,14,5,6,19,37,9,37,10,8,37,37,15,13,37,37,18,2,7,37,37,37,4,37,1,3,37,37,37,12,,
37,37,37,37,37,37,37,37,37,37,7,37,37,2,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
Skipped,12,Skipped,Skipped,Skipped,Skipped,Skipped,16,15,4,5,18,Skipped,11,Skipped,7,9,Skipped,Skipped,10,14,Skipped,Skipped,17,2,8,Skipped,Skipped,Skipped,6,Skipped,1,3,Skipped,Skipped,Skipped,13,,
18,36,6,17,9,37,5,37,2,37,37,19,10,37,8,37,37,13,12,34,35,7,22,21,37,1,3,14,15,37,4,20,37,37,16,11,37,,
Skipped,12,37,Skipped,Skipped,18,Skipped,8,14,7,10,37,Skipped,16,Skipped,3,9,Skipped,Skipped,11,15,Skipped,Skipped,17,1,6,37,Skipped,37,5,37,2,4,37,37,Skipped,13,,
15,10,37,37,37,37,37,15,15,4,7,15,37,13,37,7,5,37,37,13,10,37,37,15,3,10,37,37,37,6,15,1,2,37,37,37,7,,
19,13,26,34,33,16,21,15,17,4,5,20,32,9,37,10,7,22,27,11,14,23,36,18,2,8,25,24,29,6,31,1,3,35,28,30,12,,
37,9,37,37,37,17,37,16,7,4,5,37,37,8,37,15,12,37,37,13,11,37,37,18,2,10,37,37,37,6,37,1,3,27,37,37,14,,
37,11,37,37,37,17,37,12,18,6,5,19,37,7,37,8,10,37,37,16,15,37,37,14,1,9,37,37,37,3,37,2,4,37,37,37,13,,
37,37,37,37,37,37,37,37,37,1,5,37,37,37,37,37,37,37,37,37,37,37,37,37,2,6,37,37,37,4,37,3,37,37,37,37,37,,
37,14,37,37,37,37,37,37,37,3,13,37,37,9,37,15,6,37,37,10,7,37,37,11,1,5,37,37,37,12,37,4,2,37,37,37,8,,
7,4,Skipped,Skipped,Skipped,6,Skipped,6,4,1,2,8,8,3,Skipped,3,1,8,Skipped,5,5,8,Skipped,5,1,2,7,9,Skipped,2,10,1,1,Skipped,Skipped,Skipped,4,,
Skipped,6,Skipped,Skipped,Skipped,11,Skipped,10,10,4,5,12,Skipped,8,Skipped,8,9,Skipped,Skipped,6,9,Skipped,Skipped,Skipped,1,7,Skipped,Skipped,12,3,Skipped,2,2,Skipped,Skipped,Skipped,10,,
37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
35,11,35,35,35,17,35,13,14,2,7,35,35,15,35,10,9,35,18,12,5,35,35,16,1,8,35,35,35,3,35,1,6,35,19,20,4,,
22,12,37,37,24,19,37,15,17,5,4,20,37,7,37,7,9,21,37,14,11,25,37,16,2,10,23,37,37,6,17,1,3,37,26,37,13,,
37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,4,37,37,37,37,37,37,1,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,2,5,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,6,37,4,3,37,37,37,37,,
37,37,37,37,37,37,37,37,37,7,3,37,37,37,37,37,37,37,37,37,37,37,37,37,2,6,37,37,37,5,37,1,4,37,37,37,37,,
22,14,37,37,37,18,37,15,15,6,4,20,37,9,37,10,8,37,37,12,13,37,37,15,2,7,25,37,30,5,19,1,3,36,30,37,11,,
37,37,37,37,37,37,37,37,37,37,3,37,37,37,37,37,37,37,37,37,37,37,37,37,4,2,37,37,37,5,37,1,6,37,37,37,37,,
37,10,37,37,37,13,37,12,8,3,4,37,37,7,37,8,5,37,37,12,11,37,37,13,2,5,37,37,37,4,37,1,3,37,37,37,10,,
37,8,37,37,37,17,37,16,15,4,6,37,37,10,37,9,11,37,37,12,12,37,37,19,2,7,37,37,37,5,37,1,3,18,37,37,14,,
20,16,32,Skipped,27,17,Skipped,12,15,7,5,22,28,6,Skipped,8,10,23,30,11,14,29,Skipped,19,1,9,25,26,31,4,18,2,3,21,24,Skipped,13,,
23,13,36,36,36,19,25,17,15,1,4,20,36,2,37,9,10,22,36,11,14,36,36,16,5,7,21,36,36,8,24,3,6,18,36,36,12,,
37,15,37,37,37,19,37,16,18,7,6,37,37,7,37,11,8,37,37,12,11,37,37,17,3,16,37,37,37,4,37,1,2,26,37,37,13,,
24,13,28,35,26,19,21,16,15,3,4,18,29,8,Skipped,10,9,20,33,11,14,22,36,17,2,7,23,31,30,5,25,1,6,34,27,32,12,,
19,6,37,37,37,37,37,37,37,4,5,37,37,10,37,8,7,37,21,14,13,37,37,37,2,9,37,37,37,4,37,1,3,37,20,37,15,,
22,8,29,23,33,19,28,14,15,7,3,21,34,16,37,6,13,32,36,9,12,30,20,17,2,4,25,31,26,10,27,1,5,18,24,35,11,,
21,10,28,36,29,13,33,14,18,4,7,22,31,12,37,9,11,26,25,2,16,23,35,20,3,8,15,24,30,6,19,5,1,34,27,32,17,,
23,14,20,36,36,19,37,15,16,6,5,23,20,10,36,9,7,20,23,13,11,36,36,17,3,8,36,36,36,4,36,1,2,18,36,36,12,,
21,13,37,36,37,17,22,15,16,5,4,37,37,9,37,10,7,37,37,14,12,20,35,18,2,8,24,37,23,6,19,1,3,37,37,37,11,,
25,10,37,37,26,21,37,20,20,5,9,25,25,10,37,9,14,28,37,17,15,27,37,19,1,15,25,37,25,9,20,2,3,37,25,37,14,,
