rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,Num Cands,Num Seats
69,69,69,69,7,69,13,69,69,11,69,69,69,69,5,69,69,69,69,69,69,69,69,12,69,8,69,69,69,22,25,69,69,14,69,19,69,17,69,9,2,16,18,69,69,20,23,1,69,69,69,69,21,15,24,69,4,69,10,69,69,69,69,3,69,69,69,6,69,69.0,1.0
69,69,69,69,7,69,6,69,69,10,69,69,69,69,1,69,69,69,69,69,69,69,69,14,69,8,69,69,69,69,69,69,69,18,69,15,69,17,69,13,5,20,16,69,69,19,69,4,69,69,69,69,69,12,69,69,2,69,11,69,69,69,69,3,69,69,69,9,69,,
20,69,69,69,6,69,7,69,69,14,69,69,69,69,1,69,69,69,69,69,69,69,69,16,69,9,69,69,69,69,69,69,69,69,69,19,69,13,69,11,4,18,17,69,69,15,69,3,69,69,69,69,69,12,69,69,2,69,10,69,69,69,69,5,69,69,69,8,69,,
69,69,69,69,7,69,6,69,69,12,69,69,69,69,3,69,69,69,69,69,69,69,69,69,69,9,69,69,69,19,69,69,69,16,69,69,69,17,69,13,2,14,15,69,69,20,69,5,69,69,69,69,18,11,69,69,4,69,10,69,69,69,69,1,69,69,69,8,69,,
21,69,69,69,6,69,7,69,69,18,69,69,69,69,3,69,69,69,69,69,69,69,69,17,69,11,69,69,69,21,69,69,69,10,69,14,69,15,69,13,2,21,12,69,69,16,20,5,69,69,69,69,21,9,69,69,4,69,19,69,69,69,69,1,69,69,69,8,69,,
69,69,69,69,6,69,7,69,69,12,69,69,69,5,2,69,69,69,69,21,69,69,69,16,69,8,69,69,69,69,69,69,69,17,69,13,69,15,69,11,3,19,14,69,69,20,69,4,69,69,69,69,69,10,69,69,69,69,18,69,69,69,69,1,69,69,69,9,69,,
14,69,69,69,7,69,6,69,69,10,69,69,69,69,1,69,69,69,69,69,69,69,69,12,69,8,69,69,69,69,69,69,69,69,69,17,69,16,69,11,3,20,13,69,69,19,69,2,69,69,69,69,18,15,69,69,4,69,69,69,69,69,69,5,69,69,69,9,69,,
69,69,69,69,5,20,12,69,69,9,69,69,69,69,1,69,69,69,69,69,69,69,69,17,69,8,21,69,69,69,69,69,69,69,69,13,69,19,69,11,7,16,18,69,69,69,69,3,69,69,69,69,15,14,69,69,2,69,10,69,69,69,69,6,69,69,69,4,69,,
67,67,67,67,6,67,9,67,67,11,69,67,67,67,1,67,67,67,67,67,67,67,67,16,67,8,67,67,67,67,67,67,67,20,67,17,67,15,67,10,5,18,14,67,67,19,67,2,67,67,67,67,67,13,67,67,3,67,12,67,67,67,67,4,67,67,67,7,67,,
69,69,69,69,7,69,6,69,69,9,69,69,69,69,1,69,69,69,69,69,69,69,69,11,69,8,69,69,69,69,69,69,69,69,69,69,69,10,69,13,5,20,69,69,69,69,69,4,69,69,69,69,69,69,69,69,2,69,14,69,69,69,69,3,69,69,69,12,69,,
69,69,69,69,7,69,6,69,69,12,69,69,69,69,1,69,69,69,69,69,69,69,69,11,69,8,69,69,69,69,69,69,69,18,69,20,69,19,69,14,5,16,15,69,69,17,69,1,69,69,69,69,69,13,69,69,1,69,10,69,69,69,69,4,69,69,69,9,69,,
69,69,69,69,6,69,7,69,69,14,69,69,69,69,1,69,69,69,69,69,69,69,69,19,69,9,69,69,69,16,69,69,69,10,69,18,69,20,69,15,5,69,13,69,69,12,17,3,69,69,69,69,69,11,69,69,4,69,8,69,69,69,69,2,69,69,69,69,69,,
69,69,69,69,7,69,8,69,69,14,69,69,69,69,5,69,69,69,69,69,69,69,69,69,69,9,69,69,69,20,69,69,69,19,69,69,69,16,69,12,3,69,15,69,69,18,17,1,69,69,69,69,13,10,69,69,4,69,11,69,69,69,69,2,69,69,69,6,69,,
69,69,69,69,7,69,6,69,69,13,69,69,69,69,2,69,69,69,69,69,69,69,69,14,69,8,69,69,69,69,69,69,69,11,69,12,69,18,69,16,4,20,15,69,69,16,69,5,69,69,69,69,20,10,69,69,3,69,10,69,69,69,69,1,69,69,69,9,69,,
69,69,69,69,7,69,6,69,69,13,69,69,69,69,3,69,69,69,69,69,69,69,69,18,69,8,69,69,69,69,69,69,69,20,69,15,69,17,69,11,5,16,14,69,69,19,69,4,69,69,69,69,69,10,69,69,2,69,12,69,69,69,69,1,69,69,69,9,69,,
69,69,69,69,6,69,7,69,69,9,69,69,69,69,1,69,69,69,69,69,69,69,69,14,69,8,69,69,69,69,69,69,69,12,69,16,69,18,69,15,3,19,69,69,69,69,69,4,69,69,69,69,20,13,69,69,5,69,10,69,69,69,69,2,69,69,69,11,69,,
69,69,69,69,7,69,6,69,69,19,69,69,69,69,1,69,69,69,69,69,69,69,69,17,69,9,69,69,69,69,69,69,69,15,69,20,69,18,69,13,5,69,16,69,69,12,69,3,69,69,69,69,14,10,69,69,2,69,8,69,69,69,69,4,69,69,69,11,69,,
41,41,69,69,6,69,9,41,69,15,41,41,69,69,1,41,69,69,41,69,41,41,41,41,41,8,41,41,69,69,69,69,69,69,69,69,41,14,69,10,5,41,13,69,41,41,41,3,41,41,41,41,41,11,69,41,4,69,12,41,69,41,41,2,69,69,41,7,69,,
