rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,Num Cands,Num Seats
69,69,69,69,8,69,6,69,69,10,69,69,69,69,3,69,69,69,69,69,69,69,69,12,69,7,69,69,69,69,69,69,69,15,69,16,69,14,69,13,4,21,17,69,69,19,69,2,69,69,69,69,28,18,69,69,5,69,11,69,20,69,69,1,69,69,69,9,69,,
69,69,69,69,6,69,7,69,69,9,69,69,69,69,1,69,69,69,69,69,69,69,69,13,69,8,69,69,69,69,69,69,69,20,69,15,69,18,69,14,4,17,16,69,69,19,69,2,69,69,69,69,69,11,69,69,5,69,10,69,69,69,69,3,69,69,69,12,69,,
69,69,69,69,8,69,7,69,69,13,69,69,69,69,3,69,69,69,69,69,69,69,69,17,69,9,69,69,69,69,69,69,69,20,69,18,69,15,69,11,5,14,16,69,69,19,69,1,69,69,69,69,69,10,69,69,4,69,12,69,69,69,69,2,69,69,69,6,69,,
19,68,69,69,10,69,9,69,69,11,69,69,69,69,2,69,69,69,69,69,69,69,69,14,69,8,20,65,69,69,69,69,69,69,69,17,69,16,69,1,5,15,18,69,69,69,69,6,69,69,69,69,69,7,69,69,4,69,13,69,69,69,69,3,69,69,69,12,69,,
69,69,69,69,7,69,6,69,69,11,69,69,69,69,1,69,69,69,69,69,69,69,69,16,69,10,69,69,69,69,69,69,69,20,69,17,69,15,69,14,5,69,13,69,69,18,69,2,69,69,69,69,19,9,69,69,3,69,12,69,69,69,69,4,69,69,69,8,69,,
69,69,69,69,4,69,8,69,69,19,69,69,69,69,1,69,69,69,69,69,69,69,69,69,69,9,69,69,69,15,69,69,69,10,69,12,69,69,69,16,6,17,11,69,69,13,69,2,69,69,69,69,18,14,69,69,3,69,20,69,69,69,69,5,69,69,69,7,69,,
69,69,69,69,6,69,7,69,69,11,69,69,69,69,4,69,69,69,69,69,69,69,69,69,69,10,69,69,69,16,69,69,69,12,69,13,69,69,69,19,1,20,17,69,69,15,69,5,69,69,69,69,18,14,69,69,3,69,9,69,69,69,69,2,69,69,69,8,69,,
69,69,69,69,7,69,3,69,69,11,69,69,69,69,5,69,69,69,69,69,69,69,69,15,69,2,69,69,69,69,69,69,69,10,69,69,69,69,69,10,1,69,14,69,69,10,69,9,69,69,69,69,13,6,69,69,8,69,69,69,69,69,69,4,69,69,69,12,69,,
69,69,69,69,8,69,6,69,69,12,69,69,69,69,5,69,69,69,69,69,69,69,69,18,69,7,69,69,69,69,69,69,69,17,69,11,69,16,69,14,3,19,15,69,69,20,69,2,69,69,69,69,69,13,69,69,1,69,10,69,69,69,69,4,69,69,69,9,69,,
69,69,69,69,6,69,7,69,69,10,69,69,69,69,5,69,69,69,69,69,69,69,69,13,69,9,69,69,69,69,69,69,69,17,69,19,69,15,69,16,2,20,14,69,69,18,69,4,69,69,69,69,69,8,69,69,3,69,12,69,69,69,69,1,69,69,69,11,69,,
69,69,69,69,6,69,69,69,69,8,69,69,69,69,2,69,69,69,69,69,69,69,69,20,69,7,69,69,69,14,69,69,69,10,69,15,69,18,69,13,1,17,9,69,69,69,69,3,69,69,69,69,16,11,69,69,4,69,19,69,69,69,69,5,69,69,69,12,69,,
69,69,69,69,69,69,69,69,69,9,69,69,69,69,2,69,69,69,69,69,69,69,69,1,69,8,69,69,69,69,69,69,69,69,69,69,69,15,69,14,4,69,69,69,69,69,69,3,69,69,69,69,69,69,69,69,6,69,7,69,69,69,69,5,69,69,69,10,69,,
69,69,69,69,5,69,11,69,69,15,69,69,69,69,1,69,69,69,69,69,69,69,69,69,69,10,69,69,69,69,69,69,69,8,69,14,69,18,69,17,7,12,13,69,69,16,21,3,69,69,69,69,20,19,69,69,2,69,9,69,69,69,69,4,69,69,69,6,69,,
69,69,69,69,7,69,6,69,69,9,69,69,69,69,1,69,69,69,69,69,69,69,69,8,69,10,69,69,69,69,69,69,69,15,69,69,69,19,69,12,5,17,69,69,69,16,14,2,69,69,69,69,20,13,69,69,3,69,18,69,69,69,69,4,69,69,69,11,69,,
69,69,69,69,9,69,7,69,69,13,69,69,69,69,3,69,69,69,69,69,69,69,69,19,69,8,69,69,69,69,69,69,69,15,69,16,69,17,69,11,6,14,18,69,69,69,69,1,69,69,69,69,69,10,69,69,4,69,12,69,69,69,69,2,69,20,69,5,69,,
