rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,Num Cands,Num Seats
50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,50.0,1.0
1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,,
50,50,50,50,50,50,50,50,1,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,,
37,43,13,28,32,9,19,24,36,2,12,44,4,30,40,14,17,26,47,18,38,8,48,46,34,5,50,25,27,1,39,45,7,6,33,49,11,42,35,3,41,29,16,21,31,10,15,23,20,22,,
50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,4,50,50,50,50,50,50,50,50,50,2,50,50,50,50,3,50,50,50,50,50,,
50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,,
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,2,50,50,50,50,2,50,50,50,50,50,,
50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,,
1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,1,50,50,50,50,50,,
1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
50,50,27,49,50,47,24,47,28,1,5,50,3,25,45,23,50,42,50,43,50,21,50,50,50,22,50,19,44,1,50,50,19,10,45,50,18,50,50,2,47,26,40,37,44,39,17,20,27,16,,
1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
46,48,9,30,35,28,25,25,31,1,6,36,25,44,41,5,25,45,40,25,25,4,49,47,25,7,50,25,25,1,42,39,29,25,34,37,25,33,32,2,38,25,25,8,43,25,25,27,25,25,,
50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,,
1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,3,50,50,50,50,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,,
50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,3,50,50,50,50,50,2,50,50,50,50,50,50,3,50,50,50,,
1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,,
50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,,
26,50,25,25,26,25,25,25,26,1,25,50,25,26,26,25,25,50,50,25,25,25,50,50,26,25,50,25,25,1,26,26,25,25,26,50,25,26,26,3,26,26,25,25,26,25,25,25,25,25,,
1,5,50,50,6,50,50,50,4,50,50,50,50,50,50,50,50,7,9,50,50,50,11,3,50,50,1,50,50,50,50,50,50,50,50,4,50,50,10,50,8,50,50,50,50,50,50,50,50,50,,
49,50,10,10,11,10,10,10,15,1,10,50,10,10,50,10,10,10,50,10,10,10,50,15,50,10,50,10,10,1,50,15,10,10,11,50,10,50,15,3,15,4,10,10,14,10,10,10,49,10,,
50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,3,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,,
1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
42,48,22,39,8,10,13,6,28,1,32,24,25,4,7,14,5,8,45,40,36,27,49,23,38,21,46,12,26,1,43,41,9,11,20,44,37,15,16,2,35,3,29,17,34,30,19,33,31,18,,
4,50,3,3,50,3,3,50,4,1,3,50,3,3,50,3,3,4,50,3,50,3,50,50,50,3,50,50,50,1,50,50,3,3,50,50,3,50,3,1,4,50,3,3,4,3,3,50,3,3,,
31,50,10,31,50,4,10,50,31,1,4,50,4,30,50,10,31,50,50,31,50,4,50,50,50,10,50,31,31,1,31,50,3,4,30,50,4,50,50,2,50,10,10,10,31,4,10,50,10,31,,
50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50,50,50,50,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,,
