rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,Num Cands,Num Seats
2,10,8,10,10,9,3,7,10,4,6,1,5,10,10,10,10,17.0,Unknown
2,8,5,4,3,17,17,6,17,17,1,9,7,17,17,17,17,,Unknown
3,17,2,7,6,17,17,5,17,17,1,8,4,17,17,9,17,,Unknown
3,17,2,17,5,17,17,6,17,17,1,7,4,17,17,17,17,,Unknown
6,2,17,17,17,11,10,3,12,8,1,4,4,17,17,7,9,,Unknown
6,2,1,3,4,5,4,3,2,6,1,3,3,6,5,4,4,,Unknown
14,3,2,11,8,4,10,12,15,16,1,9,5,13,7,6,17,,Unknown
3,17,2,17,17,17,17,17,17,17,1,17,4,17,17,17,17,,Unknown
4,8,3,7,13,11,5,16,6,15,1,17,12,9,14,10,2,,Unknown
15,4,17,9,5,16,11,1,10,7,4,2,6,14,8,13,12,,Unknown
10,11,1,7,2,5,17,9,12,4,3,13,6,14,8,15,16,,Unknown
17,3,2,4,17,17,17,17,17,17,1,5,6,17,17,17,17,,Unknown
16,3,1,5,9,14,10,8,4,17,2,6,7,15,13,12,11,,Unknown
5,17,6,17,17,7,17,4,17,17,2,3,1,17,17,8,9,,Unknown
14,10,17,9,6,8,7,4,16,2,1,3,5,15,12,13,11,,Unknown
11,7,1,3,10,17,14,8,13,4,2,5,6,16,12,15,9,,Unknown
2,15,17,8,16,14,3,9,13,12,1,4,11,6,5,10,7,,Unknown
4,14,2,7,9,12,17,10,17,8,1,3,6,17,15,11,5,,Unknown
17,17,17,17,17,17,17,17,17,17,1,17,17,17,17,17,17,,Unknown
7,9,10,2,4,11,8,3,12,17,1,6,5,17,17,17,17,,Unknown
17,17,17,6,3,17,17,2,17,17,1,4,17,17,17,17,17,,Unknown
17,17,17,17,2,17,17,3,17,17,17,1,17,17,17,17,17,,Unknown
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,Unknown
4,17,5,17,17,17,17,3,17,17,6,17,1,17,17,2,17,,Unknown
9,17,6,3,8,7,17,1,10,17,2,5,4,17,17,17,17,,Unknown
16,4,8,12,13,17,14,7,15,9,1,10,6,16,16,5,11,,Unknown
5,7,16,8,1,9,11,4,13,14,3,6,4,10,12,2,15,,Unknown
14,6,13,4,2,11,17,1,16,7,9,3,8,15,12,5,10,,Unknown
14,14,16,3,14,14,14,2,1,6,4,14,14,14,17,5,15,,Unknown
5,9,2,16,3,7,12,6,15,10,1,8,4,13,14,11,17,,Unknown
4,6,3,10,5,7,17,8,17,17,1,2,9,17,17,17,11,,Unknown
17,17,17,17,17,17,17,17,17,17,16,17,1,17,17,17,17,,Unknown
16,17,16,16,16,16,16,1,16,16,1,16,16,16,16,16,16,,Unknown
15,10,13,3,2,12,16,9,17,6,8,7,4,1,11,5,14,,Unknown
14,1,3,11,2,4,5,13,6,15,17,8,16,12,9,7,10,,Unknown
17,2,7,4,1,17,17,6,17,17,5,17,17,17,3,17,17,,Unknown
6,17,2,11,3,7,13,4,8,10,1,5,15,14,16,9,12,,Unknown
17,17,17,17,17,17,17,17,17,2,17,1,17,17,17,17,17,,Unknown
17,17,5,1,17,17,17,3,17,17,2,4,17,17,17,17,17,,Unknown
16,17,4,8,7,6,16,5,16,16,4,2,1,16,16,16,16,,Unknown
12,6,7,15,8,16,9,1,13,5,3,2,4,10,14,11,17,,Unknown
17,17,17,17,17,17,17,2,17,17,1,17,17,17,17,17,17,,Unknown
