rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,Num Cands,Num Seats
33,32,47,6,22,23,55,48,42,14,36,15,51,37,41,4,7,20,13,46,38,27,53,5,40,18,45,49,12,25,3,19,43,39,21,31,50,35,11,17,2,34,44,26,8,30,16,29,9,1,10,28,54,56,52,24,56.0,1.0
22,27,48,3,19,23,54,45,42,7,34,10,50,33,35,4,5,17,13,47,40,26,52,12,39,24,46,51,14,25,6,18,43,36,21,28,49,37,9,15,1,41,44,30,16,38,20,32,8,2,11,29,55,56,53,31,,
56,56,56,53,56,56,56,56,56,53,56,56,56,56,56,54,53,56,56,1,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,53,56,56,56,56,56,56,56,53,56,55,56,56,56,56,56,,
14,32,45,7,18,20,56,49,48,10,38,8,46,39,44,4,5,23,6,43,33,30,52,9,31,27,47,50,25,21,12,17,41,34,19,29,54,35,22,11,2,40,42,16,15,37,24,36,13,1,3,28,53,55,51,26,,
21,26,47,12,34,28,55,48,45,15,32,29,52,27,30,5,2,31,22,46,43,23,50,3,38,20,40,51,16,7,6,13,44,37,24,19,49,25,8,11,4,39,42,41,14,35,18,17,9,1,10,36,54,56,53,33,,
25,29,49,8,22,18,55,48,39,15,38,11,45,30,43,3,5,24,13,47,50,23,53,7,40,19,41,46,21,34,9,14,35,37,16,36,52,42,32,17,2,33,44,31,12,27,6,20,10,1,4,26,54,56,51,28,,
56,56,56,6,56,56,56,56,56,5,56,56,56,56,56,4,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,2,56,56,56,56,56,56,56,3,1,56,56,56,56,56,56,,
27,20,46,5,23,26,55,50,42,10,32,19,48,36,38,6,3,16,15,45,41,28,53,4,30,21,47,51,17,22,9,13,43,40,25,31,49,35,14,12,2,39,44,33,7,34,18,24,8,1,11,29,54,56,52,37,,
32,30,53,3,23,25,54,46,45,11,40,14,48,36,44,5,4,21,17,43,38,29,50,9,34,18,47,49,13,26,7,16,42,35,19,31,51,37,12,10,2,41,39,27,15,33,24,22,8,1,6,28,55,56,52,20,,
56,56,56,56,56,56,56,56,56,56,56,10,52,56,56,4,8,56,56,56,56,56,56,10,56,56,54,56,56,56,9,56,56,56,56,56,56,56,56,56,5,56,56,56,56,56,5,56,56,1,3,56,56,55,55,56,,
31,32,47,3,20,25,55,44,46,7,34,13,51,35,42,4,5,19,18,45,40,29,52,8,41,21,49,48,14,26,12,16,36,33,24,22,50,37,11,17,2,38,43,27,10,39,15,23,6,1,9,30,54,56,53,28,,
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,1,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,,
41,28,45,12,26,26,55,48,45,6,41,11,51,45,41,7,3,26,5,46,41,27,51,10,41,26,42,52,26,41,14,15,41,41,26,41,51,41,9,13,1,30,47,41,16,29,18,17,4,2,8,26,53,56,54,26,,
32,19,39,11,22,28,53,49,42,10,43,16,46,44,45,5,3,13,12,48,41,25,54,8,40,20,47,51,18,24,17,7,35,30,27,31,50,38,15,14,1,26,23,37,9,34,6,29,4,2,36,21,55,56,52,33,,
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,,
22,36,43,2,14,27,55,50,44,8,41,5,51,35,39,9,6,29,10,46,40,24,52,12,37,19,45,49,13,21,11,7,47,38,23,33,48,30,15,28,3,32,42,20,18,31,17,25,4,1,16,26,53,56,54,34,,
34,31,44,3,15,28,55,48,43,6,37,8,51,42,36,7,4,17,13,45,39,26,52,16,41,21,47,50,25,24,14,10,40,38,22,32,49,33,9,11,1,35,46,30,19,29,18,20,5,2,12,23,54,56,53,27,,
31,28,47,3,13,18,53,50,42,7,38,8,49,37,35,5,4,23,14,46,41,25,55,12,40,21,44,51,22,30,10,15,43,39,24,36,48,29,11,17,2,33,45,34,16,32,20,19,6,1,9,26,54,56,52,27,,
29,28,52,3,21,22,54,50,44,11,40,12,47,37,35,4,5,24,16,46,41,30,51,8,36,17,42,48,18,23,7,13,43,33,20,32,49,34,15,14,2,39,45,26,10,38,19,25,6,1,9,31,55,56,53,27,,
31,18,37,3,25,20,54,49,48,8,39,13,50,33,36,6,4,22,14,46,42,19,53,7,32,24,44,52,23,30,9,16,43,40,28,41,47,34,17,15,2,35,45,27,11,38,12,29,5,1,10,26,55,56,51,21,,
53,53,53,53,53,53,54,53,53,53,53,1,53,53,53,53,53,53,53,53,2,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,3,53,53,53,53,53,53,53,53,56,53,53,55,53,53,53,,
29,31,47,3,17,23,55,42,39,7,38,8,49,45,46,6,4,18,14,48,41,27,52,11,35,22,44,51,20,21,9,12,43,34,25,32,50,36,10,13,2,40,37,30,16,33,19,24,5,1,15,26,54,56,53,28,,
35,11,49,9,22,29,54,46,39,10,25,12,53,41,44,3,8,31,19,42,37,27,54,14,28,20,45,50,26,6,4,13,49,38,7,36,49,32,16,18,2,43,40,23,15,30,17,34,5,1,24,33,55,56,51,21,,
23,27,43,2,17,16,56,48,45,7,35,10,52,32,37,6,3,21,9,47,42,20,50,13,39,24,44,49,31,22,14,12,40,33,25,34,51,41,8,15,5,46,38,29,18,36,19,28,4,1,11,26,54,55,53,30,,
34,11,41,9,18,36,47,44,40,19,13,14,46,32,35,4,54,28,5,25,37,27,50,10,23,29,55,45,21,17,2,24,39,33,8,22,48,38,26,15,7,12,43,31,6,16,3,30,49,1,20,52,53,56,51,42,,
