rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,Num Cands,Num Seats
10,24,24,11,9,24,2,8,15,14,5,4,3,16,12,1,13,6,24,7,24,24,24,24,24.0,1.0
3,2,3,3,2,3,2,1,3,3,1,2,3,2,2,3,1,3,3,3,3,2,3,1,,
24,1,24,24,24,24,2,24,24,24,2,24,24,24,24,24,24,24,2,2,24,24,24,2,,
10,24,3,9,24,24,1,24,2,9,24,4,9,24,9,24,24,24,24,24,24,9,24,24,,
10,24,24,10,24,24,24,24,24,24,24,24,2,1,24,24,24,24,10,1,2,24,24,24,,
3,2,3,3,2,3,2,1,3,3,1,2,3,2,2,3,1,3,3,3,3,2,3,1,,
3,2,3,3,2,3,2,1,3,3,1,2,3,2,2,3,1,3,3,3,3,2,3,1,,
8,11,24,24,7,5,24,24,24,3,24,24,13,24,12,24,24,1,6,4,2,9,24,10,,
9,21,18,12,11,23,2,6,7,20,15,10,3,4,16,5,22,17,8,14,13,24,1,19,,
9,24,6,24,9,6,4,24,1,6,24,4,9,24,24,24,24,24,1,1,9,24,24,24,,
13,18,22,19,5,8,7,4,9,14,16,12,6,2,17,10,20,3,15,11,1,23,9,21,,
14,9,20,24,10,12,7,3,13,19,1,5,15,11,8,22,2,16,21,17,23,6,18,4,,
24,24,24,24,4,24,24,3,1,24,24,24,24,24,24,24,24,24,2,24,24,24,24,24,,
24,24,1,24,24,24,3,24,2,24,24,4,24,24,24,24,24,24,5,24,24,24,24,24,,
1,24,24,1,24,24,2,24,2,24,3,3,24,24,24,24,24,24,2,2,3,24,24,24,,
24,24,24,24,24,24,4,24,24,24,24,24,24,24,24,24,24,24,1,6,24,18,24,20,,
2,23,6,1,10,18,5,7,3,22,14,19,9,12,17,15,20,13,4,11,16,24,8,21,,
14,20,15,8,2,24,5,10,4,23,18,16,11,7,17,9,21,1,3,13,12,19,6,22,,
14,20,24,7,10,4,1,5,3,21,16,22,9,15,18,8,19,11,6,2,12,23,13,17,,
24,24,5,5,24,1,5,24,5,24,24,24,24,5,24,5,24,5,5,24,5,24,5,24,,
24,24,1,24,24,24,8,24,9,10,24,24,24,24,24,24,24,24,7,24,24,24,24,24,,
23,9,20,19,15,8,10,4,21,22,2,24,11,14,17,16,3,13,7,12,18,1,5,6,,
24,24,24,24,24,24,1,4,7,2,8,6,3,24,9,5,11,24,24,10,24,24,24,24,,
18,24,21,15,2,12,1,2,3,12,16,11,4,2,23,4,19,4,4,12,3,24,17,20,,
14,11,2,16,17,6,3,21,15,1,22,23,19,20,10,18,7,13,24,4,12,8,5,9,,
14,21,17,13,2,15,1,6,9,23,11,10,8,5,20,4,18,16,24,3,12,22,7,19,,
10,21,20,14,7,18,5,2,17,11,15,19,16,1,13,4,24,12,3,9,8,23,6,22,,
24,24,24,24,24,24,24,24,2,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
12,24,21,10,16,4,23,18,22,3,17,20,5,7,12,13,19,15,2,6,8,14,1,9,,
24,11,24,3,15,24,1,2,8,14,9,17,18,7,4,5,24,13,24,6,24,10,16,12,,
24,24,7,5,24,24,2,24,1,8,24,6,24,24,24,24,24,24,5,3,4,24,24,24,,
24,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
24,24,16,10,8,24,2,6,3,5,11,12,13,7,24,9,24,17,4,1,14,24,15,24,,
3,2,3,3,2,3,2,1,3,3,1,2,3,2,2,3,1,3,3,3,3,2,3,1,,
4,24,24,10,7,10,1,5,5,3,10,10,8,4,24,7,24,8,2,2,7,24,7,11,,
10,24,22,14,7,18,5,2,17,11,15,23,16,1,13,4,21,12,3,9,8,20,6,19,,
20,12,22,19,5,8,21,1,5,23,2,24,6,15,18,13,4,9,7,10,14,16,17,3,,
24,9,5,11,24,24,24,6,2,24,4,10,24,24,24,24,7,24,3,1,24,24,24,8,,
24,24,10,24,24,24,7,4,24,9,3,8,5,24,6,24,2,24,24,24,24,24,24,1,,
10,22,24,14,7,20,5,2,17,11,15,23,16,1,13,4,19,12,3,9,8,21,6,18,,
24,24,24,24,24,24,2,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,,
24,2,24,24,2,24,24,1,24,24,1,3,24,24,2,24,1,24,24,24,24,2,24,1,,
3,2,3,3,2,3,2,1,3,3,1,2,3,2,2,3,1,3,3,3,3,2,3,1,,
24,24,24,24,24,24,24,2,24,24,24,24,1,24,24,3,24,24,24,24,24,24,24,24,,
24,3,24,24,3,24,3,1,23,24,2,3,24,3,3,24,2,24,24,24,24,3,24,1,,
17,19,5,12,7,24,3,15,9,23,10,2,14,11,6,4,13,18,20,1,21,22,8,16,,
1,24,24,2,24,24,3,12,7,6,10,24,8,9,24,11,24,24,5,4,24,24,24,24,,
10,24,22,14,7,23,5,2,17,11,15,21,16,1,13,4,18,12,3,9,8,20,6,19,,
21,21,3,21,21,21,1,21,2,4,21,5,21,21,21,21,21,21,7,6,21,21,21,21,,
17,18,22,11,16,15,2,3,12,5,13,23,1,4,24,7,19,10,6,8,14,21,9,20,,
3,24,3,24,24,24,24,24,5,24,24,24,3,24,24,24,24,24,4,24,24,24,24,24,,
24,2,24,24,2,24,2,1,24,24,1,2,24,2,2,24,1,24,24,24,24,2,24,1,,
8,24,1,7,3,24,2,6,24,1,6,24,24,3,24,24,24,24,3,4,24,24,5,24,,
9,24,24,11,24,1,24,24,24,5,24,24,6,24,7,4,24,3,24,24,2,24,10,8,,
3,2,3,3,2,3,2,1,3,3,1,2,3,2,2,3,1,3,3,3,3,2,3,1,,
2,24,24,2,24,24,1,2,1,2,2,24,2,24,24,1,24,1,2,2,2,24,24,24,,
11,24,16,13,7,24,4,5,1,19,3,14,12,6,9,24,18,15,24,8,17,20,2,10,,
2,4,4,4,2,4,2,4,1,2,4,3,2,1,2,4,4,2,3,1,4,4,2,4,,
24,24,24,24,24,24,1,24,1,1,24,24,24,1,24,24,24,24,1,24,24,24,24,24,,
