rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,Num Cands,Num Seats
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24.0,1.0
1,2,24,2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,3,24,24,24,24,,
24,17,24,2,1,11,12,20,8,13,14,18,10,4,3,7,24,5,21,6,16,15,9,19,,
2,2,9,8,22,21,12,18,16,15,1,13,20,6,24,10,2,5,11,7,19,23,14,17,,
24,24,1,24,24,24,2,24,24,24,24,24,24,24,24,24,24,24,24,24,3,24,24,24,,
24,24,24,24,2,24,24,24,24,3,24,24,24,24,24,24,24,24,24,24,24,1,24,24,,
22,15,24,6,8,9,3,18,14,1,13,21,12,23,2,10,19,5,16,20,11,17,7,4,,
24,24,24,24,24,24,2,24,24,24,9,10,6,3,4,24,5,24,24,8,24,1,24,7,,
16,23,11,4,22,18,3,6,24,9,17,2,15,21,8,1,5,19,10,13,12,20,7,14,,
11,24,24,3,2,24,24,1,24,24,9,8,24,6,10,24,4,24,7,5,24,24,24,24,,
3,3,2,5,4,5,4,24,12,5,2,5,5,1,12,4,3,11,3,3,24,12,5,24,,
24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,3,24,24,24,24,2,24,,
24,24,24,24,24,24,24,2,24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,,
24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
16,23,17,10,4,7,24,21,13,6,14,3,1,9,13,5,15,18,20,19,8,13,1,22,,
24,24,24,24,1,24,5,24,24,24,6,7,24,2,24,24,24,4,24,24,24,3,24,24,,
23,19,22,10,2,17,24,20,11,13,7,15,4,6,12,16,21,5,9,14,3,18,8,1,,
8,22,7,15,14,21,17,6,10,19,12,3,23,4,2,24,1,13,11,20,9,16,18,5,,
2,4,9,17,14,13,15,5,18,13,6,16,23,11,19,12,8,1,7,3,21,20,22,24,,
24,24,24,24,24,24,24,3,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,,
2,3,8,15,14,16,12,7,22,21,10,20,23,9,18,19,1,11,4,6,13,17,24,5,,
10,11,5,18,9,2,1,22,15,3,24,7,6,23,17,19,8,4,21,12,13,16,20,14,,
24,1,4,10,24,3,3,24,2,24,24,1,24,24,2,3,1,1,24,2,24,2,24,24,,
2,19,8,23,5,7,1,22,17,18,20,9,24,4,21,15,10,16,14,6,3,13,12,11,,
24,24,1,24,24,24,2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
24,24,24,24,3,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,,
24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,,
24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,1,,
2,24,24,24,4,24,24,1,24,24,3,24,24,24,6,7,24,24,24,24,24,5,24,24,,
9,10,12,3,4,7,5,11,16,8,3,3,1,14,6,2,15,2,4,13,1,6,5,17,,
5,24,24,24,3,4,6,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,2,24,,
17,18,23,1,8,14,12,10,20,9,7,22,4,19,11,24,21,3,15,16,2,6,13,5,,
2,9,14,8,4,13,6,19,7,21,17,16,15,11,23,18,5,1,10,12,20,24,22,3,,
16,24,16,16,1,2,3,16,16,16,16,16,24,24,16,17,16,16,16,16,24,24,24,24,,
24,24,24,24,3,24,24,24,24,24,24,24,6,1,4,24,24,5,8,2,9,7,10,24,,
13,12,14,23,19,18,24,10,16,20,1,15,6,3,11,22,5,7,2,4,8,9,17,21,,
22,17,12,4,10,21,6,18,11,1,7,15,20,14,5,9,13,23,8,19,1,3,24,16,,
4,5,1,24,24,24,24,2,24,6,24,24,24,24,24,24,3,24,24,24,24,24,24,7,,
24,24,24,24,24,24,24,24,24,24,4,3,24,2,1,24,24,24,24,24,24,24,24,24,,
24,24,11,12,1,6,2,24,8,4,24,3,9,13,6,7,24,14,24,24,24,24,10,5,,
5,12,21,8,2,14,22,4,24,7,13,1,17,15,5,20,18,5,11,23,9,3,11,16,,
