rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,Num Cands,Num Seats
11,6,25,7,22,26,29,12,16,18,5,20,31,32,36,30,33,24,13,14,19,26,3,23,34,37,8,4,10,28,21,1,2,16,15,35,9,37.0,1.0
37,37,37,1,37,37,37,37,1,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,3,37,37,37,37,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,36,36,36,36,36,36,36,36,36,4,1,2,5,36,36,36,36,36,36,36,3,36,,
37,2,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,3,37,37,37,37,37,37,37,37,37,4,1,37,37,37,37,37,2,37,37,37,5,37,,
37,37,37,37,37,37,21,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,4,37,37,37,37,37,2,37,1,37,37,37,,
37,37,37,37,37,37,37,37,3,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,2,4,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
16,35,16,35,16,32,7,16,2,20,23,26,18,25,22,19,29,16,9,27,29,31,6,17,35,24,16,3,18,30,37,1,8,4,21,36,5,,
35,28,35,8,28,28,1,28,28,28,28,28,28,28,28,28,37,36,28,28,28,35,4,35,2,3,28,28,28,35,28,35,7,6,35,28,5,,
37,37,37,37,37,37,37,1,37,37,1,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,1,1,37,37,37,1,,
37,37,4,3,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,2,37,37,37,,
37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,3,37,37,37,37,,
37,37,5,37,37,2,7,37,3,37,1,37,37,37,37,37,37,37,37,37,37,37,6,37,37,4,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,5,37,37,37,37,6,2,37,37,37,37,37,37,37,37,37,3,1,37,37,37,37,37,37,37,37,37,4,37,,
37,37,37,1,6,37,37,37,3,10,37,7,37,37,37,4,37,37,37,37,37,37,8,37,37,2,37,37,37,37,37,9,5,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,2,37,37,37,3,37,37,37,37,37,,
37,37,37,37,37,37,37,37,3,37,37,37,37,37,4,37,37,5,37,37,37,37,6,37,2,4,37,4,37,37,37,37,37,4,37,1,37,,
37,37,37,37,37,37,4,37,37,37,37,37,37,37,37,37,37,37,37,1,37,2,37,37,3,3,37,37,5,37,37,37,2,37,37,37,37,,
33,33,33,2,33,7,33,33,9,33,33,10,25,33,37,33,34,33,33,6,33,7,25,5,36,1,33,33,33,33,25,4,3,9,33,36,33,,
37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,2,37,3,1,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,6,37,37,37,37,37,37,3,37,37,37,5,37,4,37,37,37,2,1,37,37,37,37,37,37,6,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,5,37,37,37,37,37,2,1,4,37,37,37,37,37,37,37,37,6,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,,
37,37,5,37,37,37,37,37,3,37,37,37,37,37,4,37,37,1,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,3,37,37,37,37,37,37,37,37,37,4,1,37,37,37,37,37,37,37,2,37,5,37,,
14,37,5,2,37,10,37,37,7,37,37,37,37,1,37,37,37,3,37,15,37,9,37,37,37,37,11,37,37,8,37,4,12,6,37,37,37,,
37,37,37,3,37,37,37,37,4,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,5,37,37,37,2,37,,
37,37,37,2,37,37,6,37,37,37,37,37,37,37,1,37,37,5,37,37,37,37,37,37,37,3,37,37,37,37,37,37,37,37,37,4,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,3,37,9,37,4,37,6,8,37,37,1,7,37,37,37,37,2,5,37,37,37,37,,
20,10,16,18,2,37,34,25,14,23,11,6,7,32,31,7,35,4,22,30,1,17,12,17,5,33,13,28,24,19,15,9,3,36,26,29,21,,
27,11,34,28,17,31,9,13,35,32,22,26,19,33,15,4,37,6,25,14,8,24,30,23,3,7,1,20,5,12,18,2,29,36,24,10,16,,
37,37,37,37,37,37,37,37,3,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,1,37,37,37,37,,
37,37,1,37,37,37,37,37,7,37,37,37,37,37,3,37,37,37,37,37,37,37,37,37,2,37,5,37,37,37,37,37,37,37,37,6,4,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,2,37,37,37,37,2,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,,
15,19,31,1,24,14,18,10,6,36,17,24,37,35,8,29,10,3,35,7,35,14,9,25,24,32,16,24,24,27,27,2,4,5,11,31,28,,
36,36,37,36,36,35,37,37,37,36,36,36,36,37,1,37,37,37,36,35,36,35,35,36,35,2,37,36,37,35,35,34,36,37,36,35,37,,
11,7,3,13,13,13,9,13,13,13,13,13,13,7,1,8,13,4,13,13,13,13,13,13,13,13,2,13,10,13,13,5,12,13,13,13,13,,
32,34,12,32,34,24,3,24,24,24,12,32,24,12,12,24,32,12,24,32,12,24,24,24,2,37,32,12,35,24,4,34,1,32,12,36,24,,
