rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,Num Cands,Num Seats
36,36,36,4,36,36,36,3,36,36,36,36,36,36,36,36,5,36,36,36,2,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36.0,1.0
33,33,33,1,33,33,33,33,33,33,36,4,33,33,33,33,33,33,33,33,33,33,33,33,2,33,33,33,33,33,33,3,5,33,33,35,,
36,36,36,36,36,36,36,36,36,9,36,36,36,36,8,4,36,36,36,36,7,36,36,6,36,36,36,2,36,36,36,36,3,36,5,1,,
36,36,36,4,36,36,36,2,36,36,36,36,36,36,36,36,3,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,3,36,36,36,36,36,2,36,36,36,5,36,4,,
2,17,36,2,17,17,6,6,17,17,6,17,6,1,2,17,17,17,17,36,6,6,36,6,17,6,6,6,36,17,36,36,17,2,6,17,,
8,36,36,7,36,11,36,36,36,9,36,10,36,36,5,12,36,14,4,36,2,36,36,4,3,36,36,6,36,36,36,36,1,36,36,13,,
15,5,22,9,7,25,1,27,4,3,32,20,31,13,36,30,35,2,11,34,21,17,28,6,8,19,33,14,18,24,26,16,23,12,29,10,,
36,36,36,36,36,36,36,36,36,3,36,1,36,36,36,36,36,36,36,36,3,36,2,36,36,36,36,36,36,36,36,36,36,36,36,36,,
17,12,36,5,36,36,36,18,36,9,14,7,36,36,19,36,16,1,10,36,2,36,36,13,3,36,15,11,36,36,36,3,8,36,36,6,,
19,26,20,8,36,36,36,36,36,18,36,9,23,13,18,26,10,25,1,35,13,29,25,23,9,18,18,28,36,6,34,25,2,3,33,17,,
33,23,19,11,2,2,26,11,25,20,2,14,31,24,1,27,18,32,22,29,1,28,34,11,3,15,36,3,16,11,35,30,2,17,2,1,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,3,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,2,36,36,,
36,36,6,1,36,36,36,36,36,36,36,36,36,36,8,36,36,36,3,36,36,36,9,5,36,7,36,4,36,36,36,36,2,36,36,36,,
5,4,36,6,36,36,36,36,36,12,36,36,36,36,1,8,36,10,2,36,3,36,36,36,36,36,36,36,36,36,36,7,9,36,36,36,,
36,34,36,1,36,36,36,36,3,4,36,36,36,36,36,36,36,2,36,36,36,36,36,24,6,36,36,36,36,36,36,36,5,36,36,7,,
36,36,36,6,36,36,9,36,36,4,36,7,36,36,2,36,36,3,5,36,36,36,36,36,1,36,36,36,36,36,36,8,36,36,36,36,,
36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2,,
3,36,36,36,36,36,36,4,36,36,36,36,36,36,36,36,1,36,36,36,36,2,36,36,36,36,36,36,36,36,5,36,36,36,36,36,,
15,4,20,5,32,27,3,16,9,8,36,25,29,6,35,31,11,23,22,12,2,13,34,21,18,14,1,17,28,24,26,33,10,7,19,30,,
15,30,1,30,36,36,30,17,35,13,30,36,36,1,1,36,30,2,25,17,1,35,36,14,35,3,20,2,36,1,2,36,13,1,10,17,,
36,36,36,5,36,36,36,36,36,6,36,3,36,36,7,36,36,1,36,36,36,36,36,2,4,36,8,36,36,36,36,36,36,36,36,36,,
5,36,36,36,36,36,36,36,36,36,36,36,36,36,6,2,36,36,3,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,4,36,,
36,36,4,36,36,36,36,1,36,36,36,36,36,36,36,36,6,36,36,2,5,3,36,36,7,36,36,36,36,36,36,36,36,36,36,36,,
36,3,36,36,36,36,36,36,36,4,36,36,36,36,36,36,6,36,5,36,36,36,36,36,36,36,1,36,36,2,36,36,36,36,36,36,,
31,15,5,16,16,16,4,5,15,31,13,31,16,5,5,16,16,36,16,5,2,5,16,16,5,16,14,5,16,16,16,16,16,1,3,16,,
36,17,36,21,36,36,36,6,36,20,11,15,36,36,2,36,36,1,5,36,10,36,36,12,4,36,8,13,36,14,36,3,18,16,9,7,,
36,7,36,36,36,36,8,36,36,10,36,36,36,3,36,36,36,36,1,36,36,36,36,6,36,36,4,36,36,2,36,36,36,5,36,9,,
36,4,36,5,36,36,36,36,36,36,36,36,36,36,36,36,1,3,36,36,36,36,36,36,36,36,2,36,36,36,36,36,36,36,36,36,,
35,4,36,5,36,36,35,36,36,35,36,1,2,36,36,36,35,2,35,3,3,36,35,35,2,4,3,36,36,3,35,36,3,36,36,4,,
36,36,36,3,36,36,36,36,36,8,36,8,36,36,5,36,36,36,36,36,1,36,4,9,36,36,36,36,36,36,36,36,6,36,7,2,,
36,36,36,36,36,3,1,36,2,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,5,4,36,36,36,36,3,6,1,2,36,36,36,36,36,36,36,36,36,,
1,36,36,11,36,36,36,10,36,36,36,9,36,36,7,36,36,36,8,36,36,36,36,6,36,36,36,5,36,36,36,36,2,36,4,3,,
36,36,4,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,5,36,6,36,36,36,36,36,36,2,36,36,3,,
36,10,36,36,36,36,11,6,4,12,5,11,36,2,36,36,36,36,7,36,9,1,36,36,36,36,36,36,36,6,36,36,36,36,36,8,,
1,4,36,5,36,36,1,36,29,3,36,36,36,36,36,36,36,11,36,36,36,36,36,36,36,36,5,36,36,36,36,36,36,36,36,36,,
36,9,5,2,36,36,3,11,36,7,36,36,36,1,36,36,36,12,6,36,36,36,36,36,36,10,36,36,36,4,36,36,36,36,36,8,,
4,11,36,2,36,36,12,17,36,15,36,1,36,36,36,14,5,16,8,36,3,36,18,9,6,10,19,36,36,36,36,13,7,36,36,36,,
19,5,10,9,36,36,12,16,36,4,36,36,15,11,36,36,36,18,6,36,3,21,13,7,8,36,2,20,36,36,36,36,17,36,14,1,,
1,3,34,15,34,34,34,6,30,12,36,34,34,15,4,34,34,34,15,36,7,33,8,34,15,34,34,5,34,36,36,30,34,2,34,9,,
36,36,36,4,36,36,36,3,36,36,1,36,36,36,2,36,36,5,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,36,36,36,36,36,36,36,6,36,10,36,36,36,36,36,4,36,36,3,36,8,7,9,36,10,36,36,36,36,1,4,36,36,2,,
36,36,36,36,36,3,36,36,36,36,36,7,5,36,36,36,36,36,36,36,4,36,36,6,36,1,36,36,36,36,36,36,36,2,36,36,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2,36,,
4,2,12,10,16,36,9,36,7,3,36,8,19,1,17,36,36,36,13,18,11,36,36,36,15,6,5,36,36,36,36,36,20,21,36,14,,
36,36,36,36,36,36,36,36,36,2,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,6,36,36,36,36,36,5,36,36,36,36,36,36,2,36,36,36,36,36,36,36,36,3,36,36,36,36,36,36,36,36,4,1,36,36,,
36,36,36,2,36,36,36,36,36,3,36,36,36,36,1,5,36,36,36,36,36,36,36,36,36,36,4,36,36,36,36,36,36,36,36,36,,
1,3,14,25,25,25,6,12,11,25,36,25,25,2,11,25,35,25,25,16,25,11,25,25,25,4,15,25,25,9,25,25,25,7,13,5,,
5,36,36,2,36,36,36,6,8,9,1,36,7,3,36,36,36,36,36,36,36,4,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,36,4,36,36,36,36,36,6,7,36,36,36,2,5,36,36,36,36,1,36,36,36,36,36,36,3,36,36,36,36,36,36,36,36,,
3,7,36,9,4,2,29,29,23,13,17,29,16,29,32,6,19,11,36,30,36,12,22,19,29,15,29,29,1,31,29,14,10,8,5,36,,
2,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,3,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
1,2,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
4,8,36,36,5,36,36,36,36,2,36,36,36,36,36,36,36,36,7,36,36,36,36,36,36,36,36,36,36,36,36,36,36,3,1,6,,
30,23,2,15,31,26,16,24,21,12,9,19,32,6,7,35,18,36,14,11,1,3,25,13,17,22,10,8,34,27,20,29,28,5,4,33,,
14,16,36,6,36,36,36,36,36,10,36,3,36,17,11,15,36,8,5,36,1,36,36,9,2,36,36,13,36,36,36,12,4,36,36,7,,
