rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num Cands,Num Seats
9,8,3,4,7,2,2,6,9,9.0,1.0
7,3,8,1,5,6,9,2,4,,
9,9,9,9,9,1,9,9,9,,
1,3,5,9,4,6,2,8,7,,
8,2,9,6,3,1,7,4,5,,
9,9,9,9,9,9,9,1,9,,
9,6,3,2,4,5,7,1,9,,
2,9,4,3,5,7,6,1,9,,
2,5,1,7,6,3,4,8,9,,
5,9,4,6,3,3,7,6,1,,
8,5,4,9,3,2,1,7,6,,
9,5,3,6,9,1,5,9,2,,
8,4,7,6,1,2,3,5,9,,
9,9,9,9,1,9,9,9,9,,
2,5,3,8,6,1,4,9,7,,
7,8,3,1,6,2,5,4,9,,
9,9,9,9,9,2,9,1,9,,
9,9,9,9,9,1,9,9,9,,
9,5,6,3,4,2,7,1,9,,
6,9,4,7,5,3,2,8,1,,
8,5,8,9,2,8,3,1,9,,
9,9,9,9,9,9,9,9,9,,
3,4,7,8,1,2,9,6,5,,
5,6,3,9,2,4,8,7,1,,
3,2,6,6,7,8,6,1,9,,
6,2,7,8,3,9,4,5,1,,
6,7,2,9,4,3,5,1,9,,
7,4,5,1,3,9,2,6,8,,
9,9,9,9,9,1,9,9,9,,
5,4,8,8,2,9,1,3,8,,
1,1,1,1,8,9,8,1,1,,
6,2,8,3,1,5,4,9,7,,
9,9,9,9,9,9,9,1,9,,
9,8,2,7,1,6,6,6,6,,
9,9,5,1,2,4,3,9,6,,
8,6,7,2,1,4,3,9,5,,
9,4,8,2,5,3,1,7,6,,
9,9,9,9,1,9,9,9,9,,
6,8,9,2,7,3,5,1,4,,
5,4,6,3,7,1,2,9,8,,
9,9,9,9,1,9,9,9,9,,
9,9,9,9,1,9,9,9,9,,
4,5,1,7,6,8,2,3,9,,
5,4,1,8,2,3,7,9,6,,
