rank1,rank2,rank3,rank4,rank5,rank6,rank7,Num Cands,Num Seats
7,1,7,7,7,1,7,7.0,1.0
7,7,1,3,7,2,7,,
6,5,2,1,4,7,3,,
3,4,2,1,5,7,7,,
6,5,7,3,2,1,4,,
7,7,7,7,1,1,1,,
7,7,7,7,7,7,7,,
7,7,1,3,7,2,7,,
3,2,1,5,7,6,4,,
2,7,1,6,3,5,4,,
2,6,7,5,3,1,4,,
5,3,4,1,7,2,6,,
2,4,1,6,5,7,3,,
5,7,1,4,7,2,7,,
1,5,2,7,3,7,4,,
7,2,1,3,6,4,4,,
7,1,4,2,6,3,5,,
3,7,2,6,6,1,4,,
1,6,7,5,3,4,2,,
2,6,7,4,5,1,3,,
4,3,1,5,6,2,7,,
7,4,6,7,3,2,1,,
3,1,2,2,3,2,3,,
7,7,1,7,3,7,2,,
5,7,1,3,2,6,4,,
6,5,7,1,4,3,2,,
7,1,7,2,7,3,7,,
7,7,1,3,7,2,7,,
3,2,7,6,6,1,6,,
1,4,5,7,7,3,2,,
3,6,1,5,2,7,4,,
