voterId,rank1,rank2,rank3,numSeats,numCands
0,Iain Taylor (UNKNOWN),skipped,skipped,,3
1,Iain Taylor (UNKNOWN),skipped,skipped,,3
2,Iain Taylor (UNKNOWN),skipped,skipped,,3
3,Iain Taylor (UNKNOWN),skipped,skipped,,3
4,Iain Taylor (UNKNOWN),skipped,skipped,,3
5,Iain Taylor (UNKNOWN),skipped,skipped,,3
6,Iain Taylor (UNKNOWN),skipped,skipped,,3
7,Iain Taylor (UNKNOWN),skipped,skipped,,3
8,Iain Taylor (UNKNOWN),skipped,skipped,,3
9,Iain Taylor (UNKNOWN),skipped,skipped,,3
10,Iain Taylor (UNKNOWN),skipped,skipped,,3
11,Iain Taylor (UNKNOWN),skipped,skipped,,3
12,Iain Taylor (UNKNOWN),skipped,skipped,,3
13,Iain Taylor (UNKNOWN),skipped,skipped,,3
14,Iain Taylor (UNKNOWN),skipped,skipped,,3
15,Iain Taylor (UNKNOWN),skipped,skipped,,3
16,Iain Taylor (UNKNOWN),skipped,skipped,,3
17,Iain Taylor (UNKNOWN),skipped,skipped,,3
18,Iain Taylor (UNKNOWN),skipped,skipped,,3
19,Iain Taylor (UNKNOWN),skipped,skipped,,3
20,Iain Taylor (UNKNOWN),skipped,skipped,,3
21,Iain Taylor (UNKNOWN),skipped,skipped,,3
22,Iain Taylor (UNKNOWN),skipped,skipped,,3
23,Iain Taylor (UNKNOWN),skipped,skipped,,3
24,Iain Taylor (UNKNOWN),skipped,skipped,,3
25,Iain Taylor (UNKNOWN),skipped,skipped,,3
26,Iain Taylor (UNKNOWN),skipped,skipped,,3
27,Iain Taylor (UNKNOWN),skipped,skipped,,3
28,Iain Taylor (UNKNOWN),skipped,skipped,,3
29,Iain Taylor (UNKNOWN),skipped,skipped,,3
30,Iain Taylor (UNKNOWN),skipped,skipped,,3
31,Iain Taylor (UNKNOWN),skipped,skipped,,3
32,Iain Taylor (UNKNOWN),skipped,skipped,,3
33,Iain Taylor (UNKNOWN),skipped,skipped,,3
34,Iain Taylor (UNKNOWN),skipped,skipped,,3
35,Iain Taylor (UNKNOWN),skipped,skipped,,3
36,Iain Taylor (UNKNOWN),skipped,skipped,,3
37,Iain Taylor (UNKNOWN),skipped,skipped,,3
38,Iain Taylor (UNKNOWN),skipped,skipped,,3
39,Iain Taylor (UNKNOWN),skipped,skipped,,3
40,Iain Taylor (UNKNOWN),skipped,skipped,,3
41,Iain Taylor (UNKNOWN),skipped,skipped,,3
42,Iain Taylor (UNKNOWN),skipped,skipped,,3
43,Iain Taylor (UNKNOWN),skipped,skipped,,3
44,Iain Taylor (UNKNOWN),skipped,skipped,,3
45,Iain Taylor (UNKNOWN),skipped,skipped,,3
46,Iain Taylor (UNKNOWN),skipped,skipped,,3
47,Iain Taylor (UNKNOWN),skipped,skipped,,3
48,Iain Taylor (UNKNOWN),skipped,skipped,,3
49,Iain Taylor (UNKNOWN),skipped,skipped,,3
50,Iain Taylor (UNKNOWN),skipped,skipped,,3
51,Iain Taylor (UNKNOWN),skipped,skipped,,3
52,Iain Taylor (UNKNOWN),skipped,skipped,,3
53,Iain Taylor (UNKNOWN),skipped,skipped,,3
54,Iain Taylor (UNKNOWN),skipped,skipped,,3
55,Iain Taylor (UNKNOWN),skipped,skipped,,3
56,Iain Taylor (UNKNOWN),skipped,skipped,,3
57,Iain Taylor (UNKNOWN),skipped,skipped,,3
58,Iain Taylor (UNKNOWN),skipped,skipped,,3
59,Iain Taylor (UNKNOWN),skipped,skipped,,3
60,Iain Taylor (UNKNOWN),skipped,skipped,,3
61,Iain Taylor (UNKNOWN),skipped,skipped,,3
62,Iain Taylor (UNKNOWN),skipped,skipped,,3
63,Iain Taylor (UNKNOWN),skipped,skipped,,3
64,Iain Taylor (UNKNOWN),skipped,skipped,,3
65,Iain Taylor (UNKNOWN),skipped,skipped,,3
66,Iain Taylor (UNKNOWN),skipped,skipped,,3
67,Iain Taylor (UNKNOWN),skipped,skipped,,3
68,Iain Taylor (UNKNOWN),skipped,skipped,,3
69,Iain Taylor (UNKNOWN),skipped,skipped,,3
70,Iain Taylor (UNKNOWN),skipped,skipped,,3
71,Iain Taylor (UNKNOWN),skipped,skipped,,3
72,Iain Taylor (UNKNOWN),skipped,skipped,,3
73,Iain Taylor (UNKNOWN),skipped,skipped,,3
74,Iain Taylor (UNKNOWN),skipped,skipped,,3
75,Iain Taylor (UNKNOWN),skipped,skipped,,3
76,Iain Taylor (UNKNOWN),skipped,skipped,,3
77,Iain Taylor (UNKNOWN),skipped,skipped,,3
78,Iain Taylor (UNKNOWN),skipped,skipped,,3
79,Iain Taylor (UNKNOWN),skipped,skipped,,3
80,Iain Taylor (UNKNOWN),skipped,skipped,,3
81,Iain Taylor (UNKNOWN),skipped,skipped,,3
82,Iain Taylor (UNKNOWN),skipped,skipped,,3
83,Iain Taylor (UNKNOWN),skipped,skipped,,3
84,Iain Taylor (UNKNOWN),skipped,skipped,,3
85,Iain Taylor (UNKNOWN),skipped,skipped,,3
86,Iain Taylor (UNKNOWN),skipped,skipped,,3
87,Iain Taylor (UNKNOWN),skipped,skipped,,3
88,Iain Taylor (UNKNOWN),skipped,skipped,,3
89,Iain Taylor (UNKNOWN),skipped,skipped,,3
90,Iain Taylor (UNKNOWN),skipped,skipped,,3
91,Iain Taylor (UNKNOWN),skipped,skipped,,3
92,Iain Taylor (UNKNOWN),skipped,skipped,,3
93,Iain Taylor (UNKNOWN),skipped,skipped,,3
94,Iain Taylor (UNKNOWN),skipped,skipped,,3
95,Iain Taylor (UNKNOWN),skipped,skipped,,3
96,Iain Taylor (UNKNOWN),skipped,skipped,,3
97,Iain Taylor (UNKNOWN),skipped,skipped,,3
98,Iain Taylor (UNKNOWN),skipped,skipped,,3
99,Iain Taylor (UNKNOWN),skipped,skipped,,3
100,Iain Taylor (UNKNOWN),skipped,skipped,,3
101,Iain Taylor (UNKNOWN),skipped,skipped,,3
102,Iain Taylor (UNKNOWN),skipped,skipped,,3
103,Iain Taylor (UNKNOWN),skipped,skipped,,3
104,Iain Taylor (UNKNOWN),skipped,skipped,,3
105,Iain Taylor (UNKNOWN),skipped,skipped,,3
106,Iain Taylor (UNKNOWN),skipped,skipped,,3
107,Iain Taylor (UNKNOWN),skipped,skipped,,3
108,Iain Taylor (UNKNOWN),skipped,skipped,,3
109,Iain Taylor (UNKNOWN),skipped,skipped,,3
110,Iain Taylor (UNKNOWN),skipped,skipped,,3
111,Iain Taylor (UNKNOWN),skipped,skipped,,3
112,Iain Taylor (UNKNOWN),skipped,skipped,,3
113,Iain Taylor (UNKNOWN),skipped,skipped,,3
114,Iain Taylor (UNKNOWN),skipped,skipped,,3
115,Iain Taylor (UNKNOWN),skipped,skipped,,3
116,Iain Taylor (UNKNOWN),skipped,skipped,,3
117,Iain Taylor (UNKNOWN),skipped,skipped,,3
118,Iain Taylor (UNKNOWN),skipped,skipped,,3
119,Iain Taylor (UNKNOWN),skipped,skipped,,3
120,Iain Taylor (UNKNOWN),skipped,skipped,,3
121,Iain Taylor (UNKNOWN),skipped,skipped,,3
122,Iain Taylor (UNKNOWN),skipped,skipped,,3
123,Iain Taylor (UNKNOWN),skipped,skipped,,3
124,Iain Taylor (UNKNOWN),skipped,skipped,,3
125,Iain Taylor (UNKNOWN),skipped,skipped,,3
126,Iain Taylor (UNKNOWN),skipped,skipped,,3
127,Iain Taylor (UNKNOWN),skipped,skipped,,3
128,Iain Taylor (UNKNOWN),skipped,skipped,,3
129,Iain Taylor (UNKNOWN),skipped,skipped,,3
130,Iain Taylor (UNKNOWN),skipped,skipped,,3
131,Iain Taylor (UNKNOWN),skipped,skipped,,3
132,Iain Taylor (UNKNOWN),skipped,skipped,,3
133,Iain Taylor (UNKNOWN),skipped,skipped,,3
134,Iain Taylor (UNKNOWN),skipped,skipped,,3
135,Iain Taylor (UNKNOWN),skipped,skipped,,3
136,Iain Taylor (UNKNOWN),skipped,skipped,,3
137,Iain Taylor (UNKNOWN),skipped,skipped,,3
138,Iain Taylor (UNKNOWN),skipped,skipped,,3
139,Iain Taylor (UNKNOWN),skipped,skipped,,3
140,Iain Taylor (UNKNOWN),skipped,skipped,,3
141,Iain Taylor (UNKNOWN),skipped,skipped,,3
142,Iain Taylor (UNKNOWN),skipped,skipped,,3
143,Iain Taylor (UNKNOWN),skipped,skipped,,3
144,Iain Taylor (UNKNOWN),skipped,skipped,,3
145,Iain Taylor (UNKNOWN),skipped,skipped,,3
146,Iain Taylor (UNKNOWN),skipped,skipped,,3
147,Iain Taylor (UNKNOWN),skipped,skipped,,3
148,Iain Taylor (UNKNOWN),skipped,skipped,,3
149,Iain Taylor (UNKNOWN),skipped,skipped,,3
150,Iain Taylor (UNKNOWN),skipped,skipped,,3
151,Iain Taylor (UNKNOWN),skipped,skipped,,3
152,Iain Taylor (UNKNOWN),skipped,skipped,,3
153,Iain Taylor (UNKNOWN),skipped,skipped,,3
154,Iain Taylor (UNKNOWN),skipped,skipped,,3
155,Iain Taylor (UNKNOWN),skipped,skipped,,3
156,Iain Taylor (UNKNOWN),skipped,skipped,,3
157,Iain Taylor (UNKNOWN),skipped,skipped,,3
158,Iain Taylor (UNKNOWN),skipped,skipped,,3
159,Iain Taylor (UNKNOWN),skipped,skipped,,3
160,Iain Taylor (UNKNOWN),skipped,skipped,,3
161,Iain Taylor (UNKNOWN),skipped,skipped,,3
162,Iain Taylor (UNKNOWN),skipped,skipped,,3
163,Iain Taylor (UNKNOWN),skipped,skipped,,3
164,Iain Taylor (UNKNOWN),skipped,skipped,,3
165,Iain Taylor (UNKNOWN),skipped,skipped,,3
166,Iain Taylor (UNKNOWN),skipped,skipped,,3
167,Iain Taylor (UNKNOWN),skipped,skipped,,3
168,Iain Taylor (UNKNOWN),skipped,skipped,,3
169,Iain Taylor (UNKNOWN),skipped,skipped,,3
170,Iain Taylor (UNKNOWN),skipped,skipped,,3
171,Iain Taylor (UNKNOWN),skipped,skipped,,3
172,Iain Taylor (UNKNOWN),skipped,skipped,,3
173,Iain Taylor (UNKNOWN),skipped,skipped,,3
174,Iain Taylor (UNKNOWN),skipped,skipped,,3
175,Iain Taylor (UNKNOWN),skipped,skipped,,3
176,Iain Taylor (UNKNOWN),skipped,skipped,,3
177,Iain Taylor (UNKNOWN),skipped,skipped,,3
178,Iain Taylor (UNKNOWN),skipped,skipped,,3
179,Iain Taylor (UNKNOWN),skipped,skipped,,3
180,Iain Taylor (UNKNOWN),skipped,skipped,,3
181,Iain Taylor (UNKNOWN),skipped,skipped,,3
182,Iain Taylor (UNKNOWN),skipped,skipped,,3
183,Iain Taylor (UNKNOWN),skipped,skipped,,3
184,Iain Taylor (UNKNOWN),skipped,skipped,,3
185,Iain Taylor (UNKNOWN),skipped,skipped,,3
186,Iain Taylor (UNKNOWN),skipped,skipped,,3
187,Iain Taylor (UNKNOWN),skipped,skipped,,3
188,Iain Taylor (UNKNOWN),skipped,skipped,,3
189,Iain Taylor (UNKNOWN),skipped,skipped,,3
190,Iain Taylor (UNKNOWN),skipped,skipped,,3
191,Iain Taylor (UNKNOWN),skipped,skipped,,3
