file,numCands,plurality,plurality_rank,IRV,IRV_rank,top-two,top-two_rank,borda-pm,borda-pm_rank,borda-om-no-uwi,borda-om-no-uwi_rank,borda-avg-no-uwi,borda-avg-no-uwi_rank,top-3-truncation,top-3-truncation_rank,condorcet,condorcet_rank,minimax,minimax_rank,smith_plurality,smith_plurality_rank,smith_irv,smith_irv_rank,smith-minimax,smith-minimax_rank,ranked-pairs,ranked-pairs_rank,bucklin,bucklin_rank,approval,approval_rank,smith,smith_rank
"Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",7,['Cardi DeMonaco Jr.'],1,['Cardi DeMonaco Jr.'],1,['Cardi DeMonaco Jr.'],1,['Cardi DeMonaco Jr.'],1,['Cardi DeMonaco Jr.'],1,['Cardi DeMonaco Jr.'],1,['Cardi DeMonaco Jr.'],1,['Cardi DeMonaco Jr.'],1,['Cardi DeMonaco Jr.'],1,['Cardi DeMonaco Jr.'],1,['Cardi DeMonaco Jr.'],1,['Cardi DeMonaco Jr.'],1,['Cardi DeMonaco Jr.'],1,['Cardi DeMonaco Jr.'],1,['Cardi DeMonaco Jr.'],1,['Cardi DeMonaco Jr.'],1
"Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",6,['Sarah A. Lucido'],1,['Sarah A. Lucido'],1,['Sarah A. Lucido'],1,['Sarah A. Lucido'],1,['Sarah A. Lucido'],1,['Sarah A. Lucido'],1,['Sarah A. Lucido'],1,['Sarah A. Lucido'],1,['Sarah A. Lucido'],1,['Sarah A. Lucido'],1,['Sarah A. Lucido'],1,['Sarah A. Lucido'],1,['Sarah A. Lucido'],1,['Sarah A. Lucido'],1,['Sarah A. Lucido'],1,['Sarah A. Lucido'],1
St Louis Park/StLouisPark_11022021_CityCouncilWard3.csv,5,['Sue Budd'],1,['Sue Budd'],1,['Sue Budd'],1,['Sue Budd'],1,['Sue Budd'],1,['Sue Budd'],1,['Sue Budd'],1,['Sue Budd'],1,['Sue Budd'],1,['Sue Budd'],1,['Sue Budd'],1,['Sue Budd'],1,['Sue Budd'],1,['Sue Budd'],1,['Jim Leuthner'],2,['Sue Budd'],1
St Louis Park/StLouisPark_11022021_CityCouncilWard2.csv,4,['Lynette Lungay Dumalag'],1,['Lynette Lungay Dumalag'],1,['Lynette Lungay Dumalag'],1,['Lynette Lungay Dumalag'],1,['Lynette Lungay Dumalag'],1,['Lynette Lungay Dumalag'],1,['Lynette Lungay Dumalag'],1,['Lynette Lungay Dumalag'],1,['Lynette Lungay Dumalag'],1,['Lynette Lungay Dumalag'],1,['Lynette Lungay Dumalag'],1,['Lynette Lungay Dumalag'],1,['Lynette Lungay Dumalag'],1,['Lynette Lungay Dumalag'],1,['Lynette Lungay Dumalag'],1,['Lynette Lungay Dumalag'],1
St Louis Park/StLouisPark_11022021_CityCouncilWard1.csv,3,['Margaret Rog'],1,['Margaret Rog'],1,['Margaret Rog'],1,['Margaret Rog'],1,['Margaret Rog'],1,['Margaret Rog'],1,['Margaret Rog'],1,['Margaret Rog'],1,['Margaret Rog'],1,['Margaret Rog'],1,['Margaret Rog'],1,['Margaret Rog'],1,['Margaret Rog'],1,['Margaret Rog'],1,['Margaret Rog'],1,['Margaret Rog'],1
St Louis Park/StLouisPark_11022021_CityCouncilWard4.csv,3,['Tim Brausen'],1,['Tim Brausen'],1,['Tim Brausen'],1,['Tim Brausen'],1,['Tim Brausen'],1,['Tim Brausen'],1,['Tim Brausen'],1,['Tim Brausen'],1,['Tim Brausen'],1,['Tim Brausen'],1,['Tim Brausen'],1,['Tim Brausen'],1,['Tim Brausen'],1,['Tim Brausen'],1,['Tim Brausen'],1,['Tim Brausen'],1
Alaska/Alaska_11082022_HouseDistrict23.csv,4,"['Allard, Jamie']",1,"['Allard, Jamie']",1,"['Allard, Jamie']",1,"['Allard, Jamie']",1,"['Allard, Jamie']",1,"['Allard, Jamie']",1,"['Allard, Jamie']",1,"['Allard, Jamie']",1,"['Allard, Jamie']",1,"['Allard, Jamie']",1,"['Allard, Jamie']",1,"['Allard, Jamie']",1,"['Allard, Jamie']",1,"['Allard, Jamie']",1,"['Allard, Jamie']",1,"['Allard, Jamie']",1
Alaska/Alaska_11082022_HouseDistrict37.csv,3,"['Edgmon, Bryce']",1,"['Edgmon, Bryce']",1,"['Edgmon, Bryce']",1,"['Edgmon, Bryce']",1,"['Edgmon, Bryce']",1,"['Edgmon, Bryce']",1,"['Edgmon, Bryce']",1,"['Edgmon, Bryce']",1,"['Edgmon, Bryce']",1,"['Edgmon, Bryce']",1,"['Edgmon, Bryce']",1,"['Edgmon, Bryce']",1,"['Edgmon, Bryce']",1,"['Edgmon, Bryce']",1,"['Edgmon, Bryce']",1,"['Edgmon, Bryce']",1
Alaska/Alaska_11082022_HouseDistrict36.csv,4,"['Cronk, Mike']",1,"['Cronk, Mike']",1,"['Cronk, Mike']",1,"['Cronk, Mike']",1,"['Cronk, Mike']",1,"['Cronk, Mike']",1,"['Cronk, Mike']",1,"['Cronk, Mike']",1,"['Cronk, Mike']",1,"['Cronk, Mike']",1,"['Cronk, Mike']",1,"['Cronk, Mike']",1,"['Cronk, Mike']",1,"['Cronk, Mike']",1,"['Cronk, Mike']",1,"['Cronk, Mike']",1
Alaska/Alaska_11082022_HouseDistrict22.csv,4,"['Wright, Stanley A.']",1,"['Wright, Stanley A.']",1,"['Wright, Stanley A.']",1,"['Wright, Stanley A.']",1,"['Wright, Stanley A.']",1,"['Wright, Stanley A.']",1,"['Wright, Stanley A.']",1,"['Wright, Stanley A.']",1,"['Wright, Stanley A.']",1,"['Wright, Stanley A.']",1,"['Wright, Stanley A.']",1,"['Wright, Stanley A.']",1,"['Wright, Stanley A.']",1,"['Wright, Stanley A.']",1,"['Wright, Stanley A.']",1,"['Wright, Stanley A.']",1
