file,numCands,plurality,plurality_rank,IRV,IRV_rank,top-two,top-two_rank,borda-pm,borda-pm_rank,borda-om-no-uwi,borda-om-no-uwi_rank,borda-avg-no-uwi,borda-avg-no-uwi_rank,top-3-truncation,top-3-truncation_rank,condorcet,condorcet_rank,minimax,minimax_rank,smith_plurality,smith_plurality_rank,smith_irv,smith_irv_rank,smith-minimax,smith-minimax_rank,ranked-pairs,ranked-pairs_rank,bucklin,bucklin_rank,approval,approval_rank,smith,smith_rank
Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Brighton with candidates.csv,10,['James Newbury'],1,['James Newbury'],1,['James Newbury'],1,['James Newbury'],1,['James Newbury'],1,['James Newbury'],1,['James Newbury'],1,['James Newbury'],1,['James Newbury'],1,['James Newbury'],1,['James Newbury'],1,['James Newbury'],1,['James Newbury'],1,['James Newbury'],1,['Allan L. Timms'],9,['James Newbury'],1
Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Northcote with candidates.csv,12,['Kat Theophanous'],1,['Kat Theophanous'],1,['Kat Theophanous'],1,['Campbell Gome'],2,['Campbell Gome'],2,['Campbell Gome'],2,['Kat Theophanous'],1,['Kat Theophanous'],1,['Kat Theophanous'],1,['Kat Theophanous'],1,['Kat Theophanous'],1,['Kat Theophanous'],1,['Kat Theophanous'],1,['Kat Theophanous'],1,['Campbell Gome'],2,['Kat Theophanous'],1
Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,9,['John Pesutto'],1,['John Pesutto'],1,['John Pesutto'],1,['John Pesutto'],1,['John Pesutto'],1,['John Pesutto'],1,['John Pesutto'],1,['John Pesutto'],1,['John Pesutto'],1,['John Pesutto'],1,['John Pesutto'],1,['John Pesutto'],1,['John Pesutto'],1,['John Pesutto'],1,['Faith Fuhrer'],5,['John Pesutto'],1
Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Preston with Candidates.csv,11,['Nathan Lambert'],1,['Nathan Lambert'],1,['Nathan Lambert'],1,['Nathan Lambert'],1,['Nathan Lambert'],1,['Nathan Lambert'],1,['Nathan Lambert'],1,['Nathan Lambert'],1,['Nathan Lambert'],1,['Nathan Lambert'],1,['Nathan Lambert'],1,['Nathan Lambert'],1,['Nathan Lambert'],1,['Nathan Lambert'],1,['Gaetano Greco'],4,['Nathan Lambert'],1
Australia_NewSouthWales_Mayorals_2021/Ballina-mayoral-finalpreferencedatafile (1).csv,6,['CADWALLADER Sharon'],1,['CADWALLADER Sharon'],1,['CADWALLADER Sharon'],1,['CADWALLADER Sharon'],1,['CADWALLADER Sharon'],1,['CADWALLADER Sharon'],1,['CADWALLADER Sharon'],1,['CADWALLADER Sharon'],1,['CADWALLADER Sharon'],1,['CADWALLADER Sharon'],1,['CADWALLADER Sharon'],1,['CADWALLADER Sharon'],1,['CADWALLADER Sharon'],1,['CADWALLADER Sharon'],1,['CADWALLADER Sharon'],1,['CADWALLADER Sharon'],1
Australia_NewSouthWales_Mayorals_2021/The_Hills_Shire-mayoral-finalpreferencedatafile.csv,6,['GANGEMI Peter'],1,['GANGEMI Peter'],1,['GANGEMI Peter'],1,['GANGEMI Peter'],1,['GANGEMI Peter'],1,['GANGEMI Peter'],1,['GANGEMI Peter'],1,['GANGEMI Peter'],1,['GANGEMI Peter'],1,['GANGEMI Peter'],1,['GANGEMI Peter'],1,['GANGEMI Peter'],1,['GANGEMI Peter'],1,['GANGEMI Peter'],1,['GANGEMI Peter'],1,['GANGEMI Peter'],1
Australia_NewSouthWales_Mayorals_2021/Nambucca_Valley-mayoral-finalpreferencedatafile.csv,3,['HOBAN Rhonda'],1,['HOBAN Rhonda'],1,['HOBAN Rhonda'],1,['HOBAN Rhonda'],1,['HOBAN Rhonda'],1,['HOBAN Rhonda'],1,['HOBAN Rhonda'],1,['HOBAN Rhonda'],1,['HOBAN Rhonda'],1,['HOBAN Rhonda'],1,['HOBAN Rhonda'],1,['HOBAN Rhonda'],1,['HOBAN Rhonda'],1,['HOBAN Rhonda'],1,['HOBAN Rhonda'],1,['HOBAN Rhonda'],1
Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,7,['MOORE Clover'],1,['MOORE Clover'],1,['MOORE Clover'],1,['MOORE Clover'],1,['MOORE Clover'],1,['MOORE Clover'],1,['MOORE Clover'],1,['MOORE Clover'],1,['MOORE Clover'],1,['MOORE Clover'],1,['MOORE Clover'],1,['MOORE Clover'],1,['MOORE Clover'],1,['MOORE Clover'],1,['MOORE Clover'],1,['MOORE Clover'],1
Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,11,['AMOS Paul'],1,['AMOS Paul'],1,['AMOS Paul'],1,['AMOS Paul'],1,['AMOS Paul'],1,['AMOS Paul'],1,['AMOS Paul'],1,['AMOS Paul'],1,['AMOS Paul'],1,['AMOS Paul'],1,['AMOS Paul'],1,['AMOS Paul'],1,['AMOS Paul'],1,['AMOS Paul'],1,['AMOS Paul'],1,['AMOS Paul'],1
Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,7,['KRIEG Steve'],1,['KRIEG Steve'],1,['KRIEG Steve'],1,['KRIEG Steve'],1,['KRIEG Steve'],1,['KRIEG Steve'],1,['KRIEG Steve'],1,['KRIEG Steve'],1,['KRIEG Steve'],1,['KRIEG Steve'],1,['KRIEG Steve'],1,['KRIEG Steve'],1,['KRIEG Steve'],1,['KRIEG Steve'],1,['KRIEG Steve'],1,['KRIEG Steve'],1
