file,plurality,top4_plurality,IRV,top4_IRV,top-two,top4_top-two,borda-pm,top4_borda-pm,top-3-truncation,top4_top-3-truncation,condorcet,top4_condorcet,minimax,top4_minimax,smith,top4_smith,smith-minimax,top4_smith-minimax,ranked-pairs,top4_ranked-pairs
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Brighton with candidates.csv,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury,James Newbury
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Northcote with candidates.csv,Kat Theophanous,Kat Theophanous,Kat Theophanous,Kat Theophanous,Kat Theophanous,Kat Theophanous,Campbell Gome,Campbell Gome,Kat Theophanous,Campbell Gome,Kat Theophanous,Kat Theophanous,Kat Theophanous,Kat Theophanous,Kat Theophanous,Kat Theophanous,Kat Theophanous,Kat Theophanous,Kat Theophanous,Kat Theophanous
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Werribee with candidates.csv,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas,Tim Pallas
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Point Cook with candidates.csv,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari,Mathew Hilakari
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,Melissa Lowe,John Pesutto,Melissa Lowe,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Preston with Candidates.csv,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert,Nathan Lambert
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Melton with candidates.csv,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie,Steve McGhie
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Ballina-mayoral-finalpreferencedatafile (1).csv,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/The_Hills_Shire-mayoral-finalpreferencedatafile.csv,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter,GANGEMI Peter
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Nambucca_Valley-mayoral-finalpreferencedatafile.csv,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda,HOBAN Rhonda
