file,numCands,plurality,IRV,top-two,borda-pm,borda-om-no-uwi,borda-avg-no-uwi,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,top4_plurality,top4_IRV,top4_top-two,top4_borda-pm,top4_borda-om-no-uwi,top4_borda-avg-no-uwi,top4_top-3-truncation,top4_condorcet,top4_minimax,top4_smith_plurality,top4_smith_irv,top4_smith-minimax,top4_ranked-pairs,top4_bucklin,top4_approval
raw_data/american/processed_data/Alaska/Alaska_08162022_HouseofRepresentativesSpecial.csv,5,"['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick', 'Palin, Sarah', 'Peltola, Mary S.']","['Begich, Nick']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick']","['Peltola, Mary S.']","['Peltola, Mary S.']","['Begich, Nick']","['Begich, Nick']","['Begich, Nick', 'Palin, Sarah', 'Peltola, Mary S.']","['Begich, Nick']"
raw_data/american/processed_data/Alaska/Alaska_11082022_HouseDistrict34.csv,5,"['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['DeMars, Nate', 'Hopkins, Grier H.', 'Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']","['DeMars, Nate', 'Hopkins, Grier H.', 'Tomaszewski, Frank J.']","['Tomaszewski, Frank J.']"
raw_data/american/processed_data/Alaska/Alaska_11082022_HouseDistrict20.csv,6,"['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']","['Gray, Andrew T.']"
raw_data/american/processed_data/Alaska/Alaska_11082022_HouseDistrict21.csv,4,"['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Wolfe, Forrest M.']","['Mears, Donna C.']","['Wolfe, Forrest M.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Wolfe, Forrest M.']","['Mears, Donna C.']","['Wolfe, Forrest M.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']","['Mears, Donna C.']"
raw_data/american/processed_data/Alaska/Alaska_11082022_HouseDistrict35.csv,6,"['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']","['Carrick, Ashley E.']"
raw_data/american/processed_data/Alaska/Alaska_11082022_HouseDistrict19.csv,4,"['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']","['Mina, Genevieve G.']"
raw_data/american/processed_data/Alaska/Alaska_11082022_HouseDistrict31.csv,5,"['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.', 'Nash, Kelly', 'LeBon, Barton S.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.']","['Dibert, Maxine L.', 'Nash, Kelly', 'LeBon, Barton S.']","['Dibert, Maxine L.']"
raw_data/american/processed_data/Alaska/Alaska_11082022_HouseDistrict25.csv,4,"['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']","['Johnson, DeLena M.']"
raw_data/american/processed_data/Alaska/Alaska_11082022_HouseDistrict24.csv,5,"['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']","['Saddler, Dan']"
raw_data/american/processed_data/Alaska/Alaska_11082022_HouseDistrict30.csv,5,"['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.', 'Holmes, Doyle E.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.']","['McCabe, Kevin J.', 'Holmes, Doyle E.']","['McCabe, Kevin J.']"
raw_data/american/processed_data/Alaska/Alaska_11082022_HouseDistrict18.csv,5,"['Nelson, David']","['Groh, Cliff']","['Groh, Cliff']","['Nelson, David']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Nelson, David']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff', 'Nelson, David', 'Franks, Lyn D.']","['Groh, Cliff']","['Nelson, David']","['Groh, Cliff']","['Groh, Cliff']","['Nelson, David']","['Groh, Cliff']","['Nelson, David']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Nelson, David']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff']","['Groh, Cliff', 'Nelson, David', 'Franks, Lyn D.']","['Groh, Cliff']"
raw_data/american/processed_data/Alaska/Alaska_11082022_HouseDistrict26.csv,4,"['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']","['Tilton, Cathy L.']"
raw_data/american/processed_data/Alaska/Alaska_11082022_HouseDistrict32.csv,5,"['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']","['Stapp, Will B.']"
raw_data/american/processed_data/Alaska/Alaska_11052024_StateHouseD40.csv,5,"['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Chase, Saima ""Ikrik""', 'Baker, Thomas C. ""Ikaaq""', 'Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']","['Chase, Saima ""Ikrik""', 'Baker, Thomas C. ""Ikaaq""', 'Burke, Robyn ""Niayuq""']","['Burke, Robyn ""Niayuq""']"
raw_data/american/processed_data/Alaska/Alaska_11082022_HouseDistrict33.csv,3,"['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']","['Prax, Glenn M. ""Mike""']"
raw_data/american/processed_data/Alaska/Alaska_11082022_HouseDistrict27.csv,5,"['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']","['Eastman, David']"
raw_data/american/processed_data/Alaska/Alaska_11082022_HouseDistrict40.csv,3,"['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']","['Patkotak, Josiah B. ""Aullaqsruaq""']"
raw_data/american/processed_data/Alaska/Alaska_11052024_StateHouseD33.csv,3,"['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']","['Prax, Glenn ""Mike""']"
