ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,numSeats,numCands
91300_00004_000040,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Bynum, Jeremy T.",skipped,skipped,skipped,1,4
91300_00004_000039,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Echohawk, Grant",skipped,skipped,skipped,1,4
91300_00004_000024,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Bynum, Jeremy T.","Echohawk, Grant","Moran, Agnes C.",skipped,1,4
91300_00004_000019,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Bynum, Jeremy T.",skipped,skipped,skipped,1,4
91300_00004_000016,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Bynum, Jeremy T.",skipped,skipped,skipped,1,4
91300_00004_000064,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Echohawk, Grant",skipped,skipped,skipped,1,4
91300_00004_000063,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Bynum, Jeremy T.",skipped,skipped,skipped,1,4
91300_00004_000042,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Echohawk, Grant","Moran, Agnes C.",skipped,skipped,1,4
91300_00004_000020,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Bynum, Jeremy T.",skipped,skipped,skipped,1,4
91300_00004_000001,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Bynum, Jeremy T.",skipped,skipped,skipped,1,4
91300_00004_000060,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Bynum, Jeremy T.",skipped,skipped,skipped,1,4
91300_00004_000059,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Bynum, Jeremy T.",skipped,skipped,skipped,1,4
91300_00004_000046,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Echohawk, Grant",skipped,skipped,skipped,1,4
91300_00004_000021,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Echohawk, Grant",skipped,skipped,skipped,1,4
91300_00004_000005,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Bynum, Jeremy T.","Echohawk, Grant","Moran, Agnes C.",skipped,1,4
91300_00004_000055,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Echohawk, Grant","Moran, Agnes C.",skipped,skipped,1,4
91300_00004_000054,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Moran, Agnes C.",skipped,skipped,skipped,1,4
91300_00004_000038,Ballot 1 - Type 1,Question,Judicial 1,Judicial,District 1  - Question,District 1  - Question,Region I,"Bynum, Jeremy T.","Echohawk, Grant","Moran, Agnes C.",skipped,1,4
