ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,numSeats,numCands
92200_00082_000100,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Merrick, Kelly R.","Hammermeister, Lee E.",skipped,skipped,1,4
92200_00082_000099,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Hammermeister, Lee E.",skipped,skipped,skipped,1,4
92200_00082_000056,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Merrick, Kelly R.","Goecker, Jared D.",Write-in,skipped,1,4
92200_00082_000055,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Merrick, Kelly R.",skipped,skipped,skipped,1,4
92200_00082_000037,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Merrick, Kelly R.","Goecker, Jared D.",skipped,skipped,1,4
92200_00082_000019,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Goecker, Jared D.","Merrick, Kelly R.",skipped,skipped,1,4
92200_00082_000007,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Hammermeister, Lee E.",skipped,skipped,skipped,1,4
92200_00082_000059,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Merrick, Kelly R.","Goecker, Jared D.","Hammermeister, Lee E.",skipped,1,4
92200_00082_000039,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Merrick, Kelly R.",skipped,skipped,skipped,1,4
92200_00082_000020,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Goecker, Jared D.","Merrick, Kelly R.",skipped,skipped,1,4
92200_00082_000008,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Goecker, Jared D.",skipped,skipped,skipped,1,4
92200_00082_000096,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Hammermeister, Lee E.","Merrick, Kelly R.","Goecker, Jared D.",skipped,1,4
92200_00082_000095,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Goecker, Jared D.",skipped,skipped,skipped,1,4
92200_00082_000058,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Merrick, Kelly R.","Goecker, Jared D.","Hammermeister, Lee E.",skipped,1,4
92200_00082_000057,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Merrick, Kelly R.","Goecker, Jared D.",skipped,skipped,1,4
92200_00082_000038,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Merrick, Kelly R.",skipped,skipped,skipped,1,4
92200_00082_000021,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Merrick, Kelly R.","Goecker, Jared D.",skipped,skipped,1,4
92200_00082_000006,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Goecker, Jared D.",skipped,skipped,skipped,1,4
92200_00082_000098,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Goecker, Jared D.",skipped,skipped,skipped,1,4
92200_00082_000097,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Merrick, Kelly R.",skipped,skipped,skipped,1,4
92200_00082_000062,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Hammermeister, Lee E.",skipped,skipped,skipped,1,4
92200_00082_000061,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Hammermeister, Lee E.","Merrick, Kelly R.","Goecker, Jared D.",skipped,1,4
92200_00082_000041,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Goecker, Jared D.",skipped,skipped,skipped,1,4
92200_00082_000022,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Goecker, Jared D.","Merrick, Kelly R.",skipped,skipped,1,4
92200_00082_000017,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Goecker, Jared D.","Merrick, Kelly R.",skipped,skipped,1,4
92200_00082_000092,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Goecker, Jared D.",skipped,skipped,skipped,1,4
92200_00082_000091,Ballot 24 - Type 24,Absentee,Judicial 3,Judicial,District 23 - Absentee,District 23 - Absentee,Region II,"Hammermeister, Lee E.",skipped,skipped,skipped,1,4
