ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,numSeats,numCands
40020_00001_000026,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000009,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000027,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000017,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000044,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000028,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000006,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000041,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000029,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000008,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
