ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,numSeats,numCands
92700_00015_000038,Ballot 14 - Type 14,Early Voting,Judicial 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region II,"Josephson, Andrew L. ""Andy""",skipped,skipped,1,3
92700_00015_000019,Ballot 14 - Type 14,Early Voting,Judicial 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region II,"Josephson, Andrew L. ""Andy""",skipped,skipped,1,3
92700_00015_000002,Ballot 14 - Type 14,Early Voting,Judicial 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region II,"Josephson, Andrew L. ""Andy""",skipped,skipped,1,3
92700_00015_000032,Ballot 14 - Type 14,Early Voting,Judicial 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region II,"Gottshall, Heather",skipped,skipped,1,3
92700_00015_000020,Ballot 14 - Type 14,Early Voting,Judicial 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region II,"Josephson, Andrew L. ""Andy""",skipped,skipped,1,3
92700_00015_000001,Ballot 14 - Type 14,Early Voting,Judicial 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region II,"Josephson, Andrew L. ""Andy""","Gottshall, Heather",skipped,1,3
92700_00015_000039,Ballot 14 - Type 14,Early Voting,Judicial 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region II,"Josephson, Andrew L. ""Andy""","Gottshall, Heather",skipped,1,3
92700_00015_000021,Ballot 14 - Type 14,Early Voting,Judicial 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region II,"Josephson, Andrew L. ""Andy""",skipped,skipped,1,3
92700_00015_000005,Ballot 14 - Type 14,Early Voting,Judicial 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region II,"Gottshall, Heather",skipped,skipped,1,3
92700_00015_000040,Ballot 14 - Type 14,Early Voting,Judicial 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region II,"Josephson, Andrew L. ""Andy""",skipped,skipped,1,3
92700_00015_000022,Ballot 14 - Type 14,Early Voting,Judicial 3,Judicial,District 13 - Early Voting,District 13 - Early Voting,Region II,"Gottshall, Heather","Josephson, Andrew L. ""Andy""",skipped,1,3
