ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,numSeats,numCands
34265_00000_937648_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Tomaszewski, Frank",skipped,skipped,1,3
34265_00000_936360_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Cottle, Joy ""Joy Beth""",skipped,skipped,1,3
34265_00000_935253_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Cottle, Joy ""Joy Beth""",skipped,skipped,1,3
34265_00000_933233_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Cottle, Joy ""Joy Beth""","Tomaszewski, Frank",skipped,1,3
34265_00000_931850_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Tomaszewski, Frank",skipped,skipped,1,3
34265_00000_931213_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Tomaszewski, Frank",skipped,skipped,1,3
34265_00000_930002_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Cottle, Joy ""Joy Beth""",skipped,skipped,1,3
34265_00000_929627_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Tomaszewski, Frank",skipped,skipped,1,3
34265_00000_927009_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Tomaszewski, Frank",skipped,skipped,1,3
34265_00000_926918_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Tomaszewski, Frank","Cottle, Joy ""Joy Beth""",skipped,1,3
34265_00000_926536_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Cottle, Joy ""Joy Beth""",skipped,skipped,1,3
34265_00000_925677_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Tomaszewski, Frank","Cottle, Joy ""Joy Beth""",skipped,1,3
34265_00000_925325_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Cottle, Joy ""Joy Beth""",skipped,skipped,1,3
34265_00000_924516_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Tomaszewski, Frank",Write-in,"Cottle, Joy ""Joy Beth""",1,3
34265_00000_715028_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Cottle, Joy ""Joy Beth""","Tomaszewski, Frank",skipped,1,3
34265_00000_714595_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Tomaszewski, Frank",skipped,skipped,1,3
34265_00000_713670_,Ballot 36 - Type 36,Election Day,Judicial 4,Judicial,34-265 Steese,34-265 Steese,Region III,"Cottle, Joy ""Joy Beth""",skipped,skipped,1,3
