7 1
104 1 0
4 1 2 0
1 1 2 4 0
1 1 2 6 0
5 1 3 0
2 1 3 2 0
2 1 4 0
1 1 4 2 0
2 1 4 3 0
2 1 5 4 0
2 1 5 6 0
2 1 5 7 0
1 1 6 4 0
1 1 7 0
1 1 7 3 0
1 1 7 5 0
902 2 0
17 2 1 0
1 2 1 4 0
1 2 1 6 0
47 2 3 0
1 2 3 1 0
140 2 3 4 0
36 2 3 5 0
57 2 3 6 0
143 2 3 7 0
237 2 4 0
5 2 4 1 0
247 2 4 3 0
189 2 4 5 0
361 2 4 6 0
534 2 4 7 0
61 2 5 0
1 2 5 1 0
61 2 5 3 0
115 2 5 4 0
99 2 5 6 0
104 2 5 7 0
83 2 6 0
3 2 6 1 0
69 2 6 3 0
197 2 6 4 0
109 2 6 5 0
160 2 6 7 0
186 2 7 0
4 2 7 1 0
246 2 7 3 0
372 2 7 4 0
211 2 7 5 0
208 2 7 6 0
456 3 0
9 3 1 0
2 3 1 4 0
3 3 1 5 0
40 3 2 0
145 3 2 4 0
30 3 2 5 0
43 3 2 6 0
133 3 2 7 0
59 3 4 0
3 3 4 1 0
120 3 4 2 0
67 3 4 5 0
69 3 4 6 0
98 3 4 7 0
16 3 5 0
18 3 5 2 0
38 3 5 4 0
21 3 5 6 0
25 3 5 7 0
21 3 6 0
2 3 6 1 0
46 3 6 2 0
62 3 6 4 0
15 3 6 5 0
33 3 6 7 0
96 3 7 0
114 3 7 2 0
92 3 7 4 0
64 3 7 5 0
63 3 7 6 0
871 4 0
7 4 1 0
2 4 1 2 0
1 4 1 5 0
2 4 1 6 0
167 4 2 0
5 4 2 1 0
233 4 2 3 0
209 4 2 5 0
276 4 2 6 0
302 4 2 7 0
67 4 3 0
4 4 3 1 0
94 4 3 2 0
85 4 3 5 0
108 4 3 6 0
84 4 3 7 0
48 4 5 0
1 4 5 1 0
122 4 5 2 0
66 4 5 3 0
70 4 5 6 0
51 4 5 7 0
89 4 6 0
2 4 6 1 0
218 4 6 2 0
73 4 6 3 0
102 4 6 5 0
85 4 6 7 0
67 4 7 0
1 4 7 1 0
183 4 7 2 0
79 4 7 3 0
66 4 7 5 0
66 4 7 6 0
440 5 0
6 5 1 0
44 5 2 0
2 5 2 1 0
38 5 2 3 0
66 5 2 4 0
65 5 2 6 0
79 5 2 7 0
18 5 3 0
22 5 3 2 0
29 5 3 4 0
23 5 3 6 0
27 5 3 7 0
44 5 4 0
126 5 4 2 0
84 5 4 3 0
57 5 4 6 0
39 5 4 7 0
30 5 6 0
1 5 6 1 0
133 5 6 2 0
59 5 6 3 0
75 5 6 4 0
57 5 6 7 0
49 5 7 0
2 5 7 1 0
111 5 7 2 0
43 5 7 3 0
77 5 7 4 0
113 5 7 6 0
670 6 0
6 6 1 0
1 6 1 2 0
1 6 1 7 0
83 6 2 0
2 6 2 1 0
72 6 2 3 0
190 6 2 4 0
127 6 2 5 0
127 6 2 7 0
22 6 3 0
2 6 3 1 0
34 6 3 2 0
44 6 3 4 0
26 6 3 5 0
26 6 3 7 0
105 6 4 0
3 6 4 1 0
684 6 4 2 0
86 6 4 3 0
106 6 4 5 0
64 6 4 7 0
42 6 5 0
1 6 5 1 0
83 6 5 2 0
43 6 5 3 0
89 6 5 4 0
56 6 5 7 0
49 6 7 0
116 6 7 2 0
49 6 7 3 0
82 6 7 4 0
61 6 7 5 0
1282 7 0
21 7 1 0
1 7 1 2 0
1 7 1 6 0
234 7 2 0
8 7 2 1 0
358 7 2 3 0
410 7 2 4 0
221 7 2 5 0
316 7 2 6 0
138 7 3 0
3 7 3 1 0
497 7 3 2 0
156 7 3 4 0
101 7 3 5 0
91 7 3 6 0
128 7 4 0
4 7 4 1 0
324 7 4 2 0
200 7 4 3 0
91 7 4 5 0
90 7 4 6 0
56 7 5 0
1 7 5 1 0
130 7 5 2 0
60 7 5 3 0
85 7 5 4 0
72 7 5 6 0
120 7 6 0
2 7 6 1 0
214 7 6 2 0
86 7 6 3 0
146 7 6 4 0
89 7 6 5 0
0
writein
LYNETTE GIBSON-MCELHANEY
ALEX MILLER-COLE
NYEISHA DEWITT
"LARRY LIONEL YOUNG, JR."
DERRICK MUHAMMAD
SEAN SULLIVAN
