voter_id,rank1,rank2,rank3,rank4,rank5,num_positions
0,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
1,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
2,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
3,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
4,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
5,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
6,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
7,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
8,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
9,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
10,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
11,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
12,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
13,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
14,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
15,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
16,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
17,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
18,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
19,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
20,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
21,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
22,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
23,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
24,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
25,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
26,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
27,Marion Anne BUCHAN (Con),skipped,skipped,skipped,skipped,4
