ballotID,ward,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
3034,600,Ambroise Agosse,Mike Moore,Jason Small,skipped,skipped,1,5
2951,600,Ambroise Agosse,Jason Small,Raju Charles,skipped,skipped,1,5
5291,600,Raju Charles,Mike Moore,Jason Small,Ambroise Agosse,skipped,1,5
5596,600,writein,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,1,5
2662,600,Mike Moore,Jason Small,writein,Raju Charles,Ambroise Agosse,1,5
589,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
2055,600,Jason Small,skipped,skipped,skipped,skipped,1,5
2660,600,Jason Small,skipped,skipped,skipped,skipped,1,5
4191,600,Jason Small,skipped,skipped,skipped,skipped,1,5
92,600,Ambroise Agosse,skipped,skipped,skipped,skipped,1,5
341,600,Ambroise Agosse,Raju Charles,Mike Moore,writein,Jason Small,1,5
5306,600,Raju Charles,Mike Moore,skipped,skipped,skipped,1,5
5735,600,writein,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,1,5
2092,600,Mike Moore,Jason Small,writein,Ambroise Agosse,Raju Charles,1,5
2093,600,Mike Moore,Jason Small,writein,Ambroise Agosse,Raju Charles,1,5
4995,600,Ambroise Agosse,Mike Moore,writein,Raju Charles,skipped,1,5
5968,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
4434,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,1,5
2245,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,writein,1,5
2926,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,writein,1,5
4413,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,writein,1,5
4830,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,writein,1,5
1688,600,Raju Charles,Mike Moore,Jason Small,Ambroise Agosse,skipped,1,5
2304,600,Raju Charles,Mike Moore,Jason Small,Ambroise Agosse,skipped,1,5
4780,600,Raju Charles,Mike Moore,Jason Small,Ambroise Agosse,skipped,1,5
6313,600,Raju Charles,Mike Moore,Jason Small,Ambroise Agosse,skipped,1,5
911,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,1,5
1276,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,1,5
1277,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,1,5
2876,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,1,5
2930,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,1,5
4398,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,1,5
4422,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,1,5
4775,600,Mike Moore,Raju Charles,Jason Small,Ambroise Agosse,skipped,1,5
6222,600,Raju Charles,Jason Small,Mike Moore,Ambroise Agosse,skipped,1,5
4725,600,writein,Jason Small,Mike Moore,Ambroise Agosse,skipped,1,5
3665,600,Jason Small,Raju Charles,Mike Moore,Ambroise Agosse,skipped,1,5
4010,600,Jason Small,Raju Charles,Mike Moore,Ambroise Agosse,skipped,1,5
4433,600,Jason Small,Raju Charles,Mike Moore,Ambroise Agosse,skipped,1,5
4642,600,Jason Small,Raju Charles,Mike Moore,Ambroise Agosse,skipped,1,5
572,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
1175,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
1207,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
1377,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
1391,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
1445,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
1843,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
2150,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
2284,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
2334,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
3540,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
3849,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
4758,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
4769,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
5341,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
5377,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
5901,600,Mike Moore,Jason Small,Raju Charles,Ambroise Agosse,skipped,1,5
473,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
650,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
1142,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
1942,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
1943,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
2021,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
2022,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
2029,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
2156,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
2628,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
3289,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
3487,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
4108,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
4436,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
4472,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
4716,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
