voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
5908,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 2: Michael Cobley (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5909,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 2: Michael Cobley (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5910,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 2: Michael Cobley (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5911,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 2: Michael Cobley (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5912,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 2: Michael Cobley (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5913,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 2: Michael Cobley (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5914,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 2: Michael Cobley (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5915,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 2: Michael Cobley (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5916,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 2: Michael Cobley (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5917,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 8: Irene Lang (Sol),# ALTERNATIVE NAME 4: John Flanagan (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5918,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 8: Irene Lang (Sol),# ALTERNATIVE NAME 4: John Flanagan (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5919,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 8: Irene Lang (Sol),# ALTERNATIVE NAME 4: John Flanagan (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5920,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 8: Irene Lang (Sol),# ALTERNATIVE NAME 4: John Flanagan (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5921,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 8: Irene Lang (Sol),# ALTERNATIVE NAME 4: John Flanagan (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5922,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 8: Irene Lang (Sol),# ALTERNATIVE NAME 4: John Flanagan (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5923,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 8: Irene Lang (Sol),# ALTERNATIVE NAME 4: John Flanagan (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5924,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 8: Irene Lang (Sol),# ALTERNATIVE NAME 4: John Flanagan (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5925,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 8: Irene Lang (Sol),# ALTERNATIVE NAME 4: John Flanagan (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5926,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 8: Irene Lang (Sol),# ALTERNATIVE NAME 4: John Flanagan (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5927,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 8: Irene Lang (Sol),# ALTERNATIVE NAME 4: John Flanagan (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5928,# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5929,# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5930,# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5931,# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5932,# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5933,# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5934,# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5935,# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5936,# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5937,# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5938,# ALTERNATIVE NAME 1: Shaukat Butt (Lab),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 6: Allison Hunter (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5939,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
