precinct,rank1,rank2,rank3,numSeats,numCands
MINNEAPOLIS W-11 P-05,JOHN ERWIN,TOM NORDYKE,ANNIE YOUNG,3.0,11
MINNEAPOLIS W-10 P-03A,MEG FORNEY,skipped,skipped,,11
MINNEAPOLIS W-1 P-03,JOHN ERWIN,MARY LYNN MCPHERSON,MEG FORNEY,,11
MINNEAPOLIS W-2 P-01,STEVE BARLAND,MEG FORNEY,CASPER HILL,,11
MINNEAPOLIS W-6 P-09,ANNIE YOUNG,MEG FORNEY,JASON STONE,,11
MINNEAPOLIS W-1 P-09,MARY LYNN MCPHERSON,MEG FORNEY,ANNIE YOUNG,,11
MINNEAPOLIS W-4 P-02,JOHN ERWIN,JASON STONE,skipped,,11
MINNEAPOLIS W-4 P-02,JOHN ERWIN,ANNIE YOUNG,TOM NORDYKE,,11
MINNEAPOLIS W-6 P-03,HASHIM YONIS,skipped,skipped,,11
MINNEAPOLIS W-6 P-05,HASHIM YONIS,skipped,skipped,,11
MINNEAPOLIS W-12 P-03,TOM NORDYKE,JOHN ERWIN,JASON STONE,,11
MINNEAPOLIS W-7 P-02D,MEG FORNEY,JOHN ERWIN,STEVE BARLAND,,11
MINNEAPOLIS W-12 P-01,JOHN ERWIN,JASON STONE,ANNIE YOUNG,,11
MINNEAPOLIS W-13 P-05,JOHN ERWIN,JASON STONE,skipped,,11
MINNEAPOLIS W-1 P-01,JOHN ERWIN,TOM NORDYKE,skipped,,11
MINNEAPOLIS W-13 P-05,ANNIE YOUNG,MEG FORNEY,CASPER HILL,,11
MINNEAPOLIS W-12 P-05,STEVE BARLAND,ISHMAEL ISRAEL,ANNIE YOUNG,,11
MINNEAPOLIS W-3 P-04,JOHN ERWIN,JASON STONE,skipped,,11
MINNEAPOLIS W-11 P-07,MEG FORNEY,STEVE BARLAND,MARY LYNN MCPHERSON,,11
MINNEAPOLIS W-6 P-09,ANNIE YOUNG,skipped,skipped,,11
MINNEAPOLIS W-13 P-05,STEVE BARLAND,skipped,skipped,,11
MINNEAPOLIS W-8 P-08,MEG FORNEY,ANNIE YOUNG,MARY LYNN MCPHERSON,,11
MINNEAPOLIS W-3 P-07,ANNIE YOUNG,JOHN ERWIN,TOM NORDYKE,,11
MINNEAPOLIS W-2 P-02,JOHN ERWIN,JASON STONE,ANNIE YOUNG,,11
MINNEAPOLIS W-11 P-06,MEG FORNEY,JOHN ERWIN,skipped,,11
MINNEAPOLIS W-13 P-06,MARY LYNN MCPHERSON,skipped,skipped,,11
MINNEAPOLIS W-9 P-02,MEG FORNEY,JOHN ERWIN,MARY LYNN MCPHERSON,,11
MINNEAPOLIS W-12 P-06,MARY LYNN MCPHERSON,skipped,skipped,,11
MINNEAPOLIS W-4 P-01,MEG FORNEY,skipped,skipped,,11
MINNEAPOLIS W-11 P-06,TOM NORDYKE,JOHN ERWIN,skipped,,11
MINNEAPOLIS W-7 P-06,MARY LYNN MCPHERSON,MEG FORNEY,JASON STONE,,11
MINNEAPOLIS W-11 P-02,ANNIE YOUNG,MEG FORNEY,skipped,,11
MINNEAPOLIS W-13 P-05,JOHN ERWIN,TOM NORDYKE,skipped,,11
MINNEAPOLIS W-11 P-04,JASON STONE,JOHN ERWIN,ANNIE YOUNG,,11
MINNEAPOLIS W-5 P-02,JOHN ERWIN,TOM NORDYKE,skipped,,11
MINNEAPOLIS W-4 P-05,MARY LYNN MCPHERSON,HASHIM YONIS,MEG FORNEY,,11
MINNEAPOLIS W-13 P-09,MEG FORNEY,skipped,skipped,,11
MINNEAPOLIS W-9 P-07,ANNIE YOUNG,skipped,skipped,,11
MINNEAPOLIS W-8 P-01,HASHIM YONIS,skipped,skipped,,11
MINNEAPOLIS W-3 P-08,JASON STONE,TOM NORDYKE,JOHN ERWIN,,11
MINNEAPOLIS W-12 P-08,TOM NORDYKE,skipped,skipped,,11
MINNEAPOLIS W-4 P-03,JOHN ERWIN,skipped,skipped,,11
MINNEAPOLIS W-1 P-05,ISHMAEL ISRAEL,HASHIM YONIS,TOM NORDYKE,,11
MINNEAPOLIS W-6 P-06,JOHN ERWIN,TOM NORDYKE,MEG FORNEY,,11
MINNEAPOLIS W-8 P-01,HASHIM YONIS,skipped,skipped,,11
MINNEAPOLIS W-12 P-08,TOM NORDYKE,JOHN ERWIN,MEG FORNEY,,11
MINNEAPOLIS W-8 P-05,ANNIE YOUNG,JOHN ERWIN,JASON STONE,,11
MINNEAPOLIS W-12 P-09,TOM NORDYKE,skipped,skipped,,11
MINNEAPOLIS W-4 P-07,ISHMAEL ISRAEL,HASHIM YONIS,JASON STONE,,11
MINNEAPOLIS W-2 P-08,JOHN ERWIN,JASON STONE,skipped,,11
MINNEAPOLIS W-6 P-02,JOHN ERWIN,TOM NORDYKE,skipped,,11
MINNEAPOLIS W-10 P-05A,ANNIE YOUNG,TOM NORDYKE,MEG FORNEY,,11
MINNEAPOLIS W-5 P-07,JOHN ERWIN,TOM NORDYKE,skipped,,11
MINNEAPOLIS W-13 P-04,JOHN ERWIN,MEG FORNEY,ISHMAEL ISRAEL,,11
MINNEAPOLIS W-2 P-01,ANNIE YOUNG,ISHMAEL ISRAEL,HASHIM YONIS,,11
MINNEAPOLIS W-5 P-02,CASPER HILL,MARY LYNN MCPHERSON,JOHN ERWIN,,11
MINNEAPOLIS W-11 P-04,JOHN ERWIN,MEG FORNEY,MARY LYNN MCPHERSON,,11
MINNEAPOLIS W-12 P-01,JOHN ERWIN,ANNIE YOUNG,TOM NORDYKE,,11
MINNEAPOLIS W-9 P-01,CASPER HILL,MEG FORNEY,skipped,,11
MINNEAPOLIS W-7 P-07,JOHN ERWIN,TOM NORDYKE,JASON STONE,,11
MINNEAPOLIS W-8 P-02,ANNIE YOUNG,MARY LYNN MCPHERSON,MEG FORNEY,,11
MINNEAPOLIS W-1 P-02,JOHN ERWIN,TOM NORDYKE,skipped,,11
MINNEAPOLIS W-1 P-03,MARY LYNN MCPHERSON,JOHN ERWIN,JASON STONE,,11
MINNEAPOLIS W-12 P-02,ISHMAEL ISRAEL,JOHN ERWIN,HASHIM YONIS,,11
MINNEAPOLIS W-1 P-09,MARY LYNN MCPHERSON,MEG FORNEY,ANNIE YOUNG,,11
MINNEAPOLIS W-13 P-09,JOHN ERWIN,TOM NORDYKE,MEG FORNEY,,11
MINNEAPOLIS W-7 P-04D,MEG FORNEY,JASON STONE,JOHN ERWIN,,11
MINNEAPOLIS W-12 P-02,TOM NORDYKE,MEG FORNEY,JASON STONE,,11
MINNEAPOLIS W-1 P-09,JOHN ERWIN,JASON STONE,STEVE BARLAND,,11
MINNEAPOLIS W-11 P-01,STEVE BARLAND,skipped,skipped,,11
MINNEAPOLIS W-7 P-08,JOHN ERWIN,TOM NORDYKE,skipped,,11
MINNEAPOLIS W-8 P-07,JOHN ERWIN,ISHMAEL ISRAEL,JASON STONE,,11
MINNEAPOLIS W-8 P-05,HASHIM YONIS,skipped,skipped,,11
MINNEAPOLIS W-4 P-04,STEVE BARLAND,skipped,skipped,,11
MINNEAPOLIS W-8 P-02,JOHN ERWIN,TOM NORDYKE,JASON STONE,,11
MINNEAPOLIS W-8 P-05,STEVE BARLAND,skipped,skipped,,11
MINNEAPOLIS W-8 P-05,JASON STONE,skipped,skipped,,11
MINNEAPOLIS W-13 P-03,JOHN ERWIN,JASON STONE,ISHMAEL ISRAEL,,11
MINNEAPOLIS W-3 P-06,ISHMAEL ISRAEL,CASPER HILL,MEG FORNEY,,11
MINNEAPOLIS W-13 P-04,MEG FORNEY,ANNIE YOUNG,MARY LYNN MCPHERSON,,11
MINNEAPOLIS W-8 P-06,MEG FORNEY,ANNIE YOUNG,STEVE BARLAND,,11
MINNEAPOLIS W-12 P-09,ANNIE YOUNG,STEVE BARLAND,JASON STONE,,11
MINNEAPOLIS W-4 P-01,JOHN ERWIN,TOM NORDYKE,MEG FORNEY,,11
MINNEAPOLIS W-11 P-10,CASPER HILL,JOHN ERWIN,ANNIE YOUNG,,11
MINNEAPOLIS W-8 P-07,JOHN ERWIN,TOM NORDYKE,skipped,,11
MINNEAPOLIS W-4 P-03,JOHN ERWIN,ANNIE YOUNG,JASON STONE,,11
MINNEAPOLIS W-12 P-03,ISHMAEL ISRAEL,skipped,skipped,,11
MINNEAPOLIS W-12 P-02,ANNIE YOUNG,JASON STONE,JOHN ERWIN,,11
MINNEAPOLIS W-7 P-10,MEG FORNEY,ANNIE YOUNG,TOM NORDYKE,,11
MINNEAPOLIS W-6 P-04,HASHIM YONIS,skipped,skipped,,11
MINNEAPOLIS W-6 P-03,HASHIM YONIS,skipped,skipped,,11
MINNEAPOLIS W-10 P-09,JASON STONE,skipped,skipped,,11
MINNEAPOLIS W-10 P-04,JOHN ERWIN,ANNIE YOUNG,skipped,,11
MINNEAPOLIS W-3 P-02,HASHIM YONIS,ISHMAEL ISRAEL,ANNIE YOUNG,,11
MINNEAPOLIS W-2 P-10,CASPER HILL,ANNIE YOUNG,ISHMAEL ISRAEL,,11
MINNEAPOLIS W-8 P-08,MARY LYNN MCPHERSON,ISHMAEL ISRAEL,MEG FORNEY,,11
MINNEAPOLIS W-7 P-03,HASHIM YONIS,skipped,skipped,,11
MINNEAPOLIS W-9 P-05,STEVE BARLAND,skipped,skipped,,11
MINNEAPOLIS W-9 P-01,ANNIE YOUNG,skipped,skipped,,11
MINNEAPOLIS W-3 P-08,JASON STONE,CASPER HILL,ANNIE YOUNG,,11
MINNEAPOLIS W-11 P-08,TOM NORDYKE,skipped,skipped,,11
MINNEAPOLIS W-13 P-06,MEG FORNEY,skipped,skipped,,11
MINNEAPOLIS W-11 P-01,JASON STONE,ANNIE YOUNG,MEG FORNEY,,11
MINNEAPOLIS W-11 P-02,MEG FORNEY,TOM NORDYKE,skipped,,11
MINNEAPOLIS W-7 P-08,JASON STONE,ANNIE YOUNG,MEG FORNEY,,11
MINNEAPOLIS W-10 P-06,ANNIE YOUNG,MEG FORNEY,JOHN ERWIN,,11
MINNEAPOLIS W-9 P-06,ISHMAEL ISRAEL,HASHIM YONIS,MEG FORNEY,,11
MINNEAPOLIS W-13 P-05,MEG FORNEY,JOHN ERWIN,MARY LYNN MCPHERSON,,11
MINNEAPOLIS W-12 P-02,TOM NORDYKE,JOHN ERWIN,skipped,,11
MINNEAPOLIS W-8 P-08,TOM NORDYKE,CASPER HILL,JOHN ERWIN,,11
MINNEAPOLIS W-6 P-05,HASHIM YONIS,skipped,skipped,,11
MINNEAPOLIS W-3 P-07,MARY LYNN MCPHERSON,ANNIE YOUNG,TOM NORDYKE,,11
MINNEAPOLIS W-12 P-09,JOHN ERWIN,ANNIE YOUNG,TOM NORDYKE,,11
MINNEAPOLIS W-1 P-02,STEVE BARLAND,MEG FORNEY,ANNIE YOUNG,,11
MINNEAPOLIS W-7 P-03,TOM NORDYKE,JOHN ERWIN,skipped,,11
MINNEAPOLIS W-4 P-04,ANNIE YOUNG,ISHMAEL ISRAEL,JOHN ERWIN,,11
MINNEAPOLIS W-4 P-07,HASHIM YONIS,ANNIE YOUNG,ISHMAEL ISRAEL,,11
MINNEAPOLIS W-9 P-02,TOM NORDYKE,MARY LYNN MCPHERSON,JOHN ERWIN,,11
MINNEAPOLIS W-4 P-08,TOM NORDYKE,JOHN ERWIN,ANNIE YOUNG,,11
MINNEAPOLIS W-12 P-04,JOHN ERWIN,TOM NORDYKE,skipped,,11
MINNEAPOLIS W-13 P-03,MEG FORNEY,MARY LYNN MCPHERSON,ANNIE YOUNG,,11
MINNEAPOLIS W-1 P-05,JASON STONE,TOM NORDYKE,JOHN ERWIN,,11
MINNEAPOLIS W-11 P-08,TOM NORDYKE,JOHN ERWIN,skipped,,11
MINNEAPOLIS W-3 P-05,ANNIE YOUNG,ISHMAEL ISRAEL,skipped,,11
MINNEAPOLIS W-9 P-07,ISHMAEL ISRAEL,skipped,skipped,,11
MINNEAPOLIS W-7 P-04D,TOM NORDYKE,JOHN ERWIN,MEG FORNEY,,11
MINNEAPOLIS W-8 P-02,ISHMAEL ISRAEL,HASHIM YONIS,MEG FORNEY,,11
MINNEAPOLIS W-4 P-07,ANNIE YOUNG,TOM NORDYKE,MEG FORNEY,,11
MINNEAPOLIS W-9 P-02,ANNIE YOUNG,skipped,skipped,,11
MINNEAPOLIS W-7 P-02D,TOM NORDYKE,JOHN ERWIN,skipped,,11
MINNEAPOLIS W-8 P-04,JASON STONE,ANNIE YOUNG,JOHN ERWIN,,11
MINNEAPOLIS W-12 P-08,TOM NORDYKE,skipped,skipped,,11
MINNEAPOLIS W-3 P-09,ANNIE YOUNG,JOHN ERWIN,JASON STONE,,11
MINNEAPOLIS W-11 P-01,MEG FORNEY,ISHMAEL ISRAEL,CASPER HILL,,11
MINNEAPOLIS W-11 P-08,TOM NORDYKE,MARY LYNN MCPHERSON,ISHMAEL ISRAEL,,11
MINNEAPOLIS W-7 P-08,ANNIE YOUNG,JOHN ERWIN,JASON STONE,,11
MINNEAPOLIS W-9 P-02,JOHN ERWIN,ANNIE YOUNG,JASON STONE,,11
MINNEAPOLIS W-10 P-06,MEG FORNEY,skipped,skipped,,11
MINNEAPOLIS W-7 P-04D,TOM NORDYKE,ANNIE YOUNG,skipped,,11
MINNEAPOLIS W-13 P-02,TOM NORDYKE,MEG FORNEY,skipped,,11
MINNEAPOLIS W-13 P-03,TOM NORDYKE,JOHN ERWIN,skipped,,11
MINNEAPOLIS W-1 P-09,JOHN ERWIN,TOM NORDYKE,skipped,,11
MINNEAPOLIS W-2 P-01,JOHN ERWIN,skipped,skipped,,11
MINNEAPOLIS W-7 P-04D,TOM NORDYKE,skipped,skipped,,11
MINNEAPOLIS W-12 P-03,JOHN ERWIN,ANNIE YOUNG,JASON STONE,,11
MINNEAPOLIS W-1 P-06,STEVE BARLAND,ISHMAEL ISRAEL,HASHIM YONIS,,11
MINNEAPOLIS W-12 P-02,ANNIE YOUNG,MEG FORNEY,skipped,,11
MINNEAPOLIS W-4 P-02,CASPER HILL,MARY LYNN MCPHERSON,MEG FORNEY,,11
MINNEAPOLIS W-7 P-01C,TOM NORDYKE,JOHN ERWIN,ANNIE YOUNG,,11
MINNEAPOLIS W-8 P-07,JOHN ERWIN,skipped,skipped,,11
MINNEAPOLIS W-2 P-01,ANNIE YOUNG,JASON STONE,ISHMAEL ISRAEL,,11
MINNEAPOLIS W-8 P-05,TOM NORDYKE,JOHN ERWIN,JASON STONE,,11
MINNEAPOLIS W-9 P-04,JOHN ERWIN,skipped,skipped,,11
MINNEAPOLIS W-4 P-01,ANNIE YOUNG,MEG FORNEY,JASON STONE,,11
MINNEAPOLIS W-11 P-05,ISHMAEL ISRAEL,HASHIM YONIS,MEG FORNEY,,11
MINNEAPOLIS W-7 P-02D,JOHN ERWIN,ANNIE YOUNG,JASON STONE,,11
MINNEAPOLIS W-6 P-05,ISHMAEL ISRAEL,ANNIE YOUNG,JASON STONE,,11
