precinct,rank1,rank2,rank3,numSeats,numCands
MINNEAPOLIS W-5 P-09,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann,1,5
MINNEAPOLIS W-5 P-03,Jeremiah Ellison,Cathy Spann,Blong Yang,1,5
MINNEAPOLIS W-5 P-05,Cathy Spann,Jeremiah Ellison,Blong Yang,1,5
MINNEAPOLIS W-5 P-09,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-08,Blong Yang,Cathy Spann,Jeremiah Ellison,1,5
MINNEAPOLIS W-5 P-04,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann,1,5
MINNEAPOLIS W-5 P-03,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-08,Cathy Spann,Jeremiah Ellison,Blong Yang,1,5
MINNEAPOLIS W-5 P-6C,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann,1,5
MINNEAPOLIS W-5 P-08,Jeremiah Ellison,Blong Yang,skipped,1,5
MINNEAPOLIS W-5 P-07,Jeremiah Ellison,skipped,skipped,1,5
MINNEAPOLIS W-5 P-05,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-01,Jeremiah Ellison,Blong Yang,skipped,1,5
MINNEAPOLIS W-5 P-01,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann,1,5
MINNEAPOLIS W-5 P-08,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang,1,5
MINNEAPOLIS W-5 P-07,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-03,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-03,Raeisha (RA) Williams,skipped,skipped,1,5
MINNEAPOLIS W-5 P-02,Cathy Spann,Blong Yang,Jeremiah Ellison,1,5
MINNEAPOLIS W-5 P-03,Jeremiah Ellison,skipped,skipped,1,5
MINNEAPOLIS W-5 P-09,Blong Yang,Jeremiah Ellison,Cathy Spann,1,5
MINNEAPOLIS W-5 P-09,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-03,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-05,Jeremiah Ellison,skipped,skipped,1,5
MINNEAPOLIS W-5 P-02,Blong Yang,Cathy Spann,Raeisha (RA) Williams,1,5
MINNEAPOLIS W-5 P-07,Jeremiah Ellison,Blong Yang,Cathy Spann,1,5
MINNEAPOLIS W-5 P-09,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang,1,5
MINNEAPOLIS W-5 P-07,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-04,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann,1,5
MINNEAPOLIS W-5 P-09,Jeremiah Ellison,skipped,skipped,1,5
MINNEAPOLIS W-5 P-01,Blong Yang,Jeremiah Ellison,Cathy Spann,1,5
MINNEAPOLIS W-5 P-07,Jeremiah Ellison,Cathy Spann,Raeisha (RA) Williams,1,5
MINNEAPOLIS W-5 P-03,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-08,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-03,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-08,Jeremiah Ellison,Raeisha (RA) Williams,skipped,1,5
MINNEAPOLIS W-5 P-05,Blong Yang,Jeremiah Ellison,skipped,1,5
MINNEAPOLIS W-5 P-09,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-04,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann,1,5
MINNEAPOLIS W-5 P-04,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang,1,5
MINNEAPOLIS W-5 P-04,Jeremiah Ellison,Raeisha (RA) Williams,skipped,1,5
MINNEAPOLIS W-5 P-6C,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams,1,5
MINNEAPOLIS W-5 P-6C,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-09,Jeremiah Ellison,Cathy Spann,Raeisha (RA) Williams,1,5
MINNEAPOLIS W-5 P-03,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-6C,Jeremiah Ellison,skipped,skipped,1,5
MINNEAPOLIS W-5 P-07,Jeremiah Ellison,skipped,skipped,1,5
MINNEAPOLIS W-5 P-01,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-05,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams,1,5
MINNEAPOLIS W-5 P-05,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams,1,5
MINNEAPOLIS W-5 P-09,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang,1,5
MINNEAPOLIS W-5 P-05,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-05,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-02,Blong Yang,Cathy Spann,Jeremiah Ellison,1,5
MINNEAPOLIS W-5 P-05,Jeremiah Ellison,Blong Yang,skipped,1,5
MINNEAPOLIS W-5 P-09,Jeremiah Ellison,skipped,skipped,1,5
MINNEAPOLIS W-5 P-04,Raeisha (RA) Williams,Jeremiah Ellison,Cathy Spann,1,5
MINNEAPOLIS W-5 P-07,Raeisha (RA) Williams,skipped,skipped,1,5
MINNEAPOLIS W-5 P-09,Blong Yang,Cathy Spann,Raeisha (RA) Williams,1,5
MINNEAPOLIS W-5 P-09,Jeremiah Ellison,skipped,skipped,1,5
MINNEAPOLIS W-5 P-09,Jeremiah Ellison,Blong Yang,skipped,1,5
MINNEAPOLIS W-5 P-02,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang,1,5
MINNEAPOLIS W-5 P-01,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang,1,5
MINNEAPOLIS W-5 P-01,Jeremiah Ellison,Blong Yang,Raeisha (RA) Williams,1,5
MINNEAPOLIS W-5 P-07,Blong Yang,skipped,skipped,1,5
MINNEAPOLIS W-5 P-07,Jeremiah Ellison,skipped,skipped,1,5
