file,plurality,top4_plurality,IRV,top4_IRV,top-two,top4_top-two,borda-pm,top4_borda-pm,top-3-truncation,top4_top-3-truncation,condorcet,top4_condorcet,minimax,top4_minimax,smith,top4_smith,smith-minimax,top4_smith-minimax,ranked-pairs,top4_ranked-pairs
"american/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
"american/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
american/St Louis Park/StLouisPark_11022021_CityCouncilWard3.csv,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd
american/St Louis Park/StLouisPark_11022021_CityCouncilWard2.csv,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag,Lynette Lungay Dumalag,John Basill,John Basill,John Basill,John Basill,John Basill,John Basill,John Basill,John Basill,John Basill,John Basill
american/St Louis Park/StLouisPark_11022021_CityCouncilWard1.csv,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog
american/St Louis Park/StLouisPark_11022021_CityCouncilWard4.csv,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen
american/Alaska/Alaska_11082022_HouseDistrict23.csv,"Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie"
american/Alaska/Alaska_11082022_HouseDistrict37.csv,"Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce",unknown,"Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce"
american/Alaska/Alaska_11082022_HouseDistrict36.csv,"Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike"
american/Alaska/Alaska_11082022_HouseDistrict22.csv,"Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J."
