voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,num_positions
750,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
751,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
752,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
753,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
754,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
755,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
756,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
757,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
758,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
759,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
760,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
761,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
762,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
763,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
764,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
765,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
766,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
767,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
768,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
769,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
770,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
771,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
772,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
773,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
774,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
775,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
776,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
777,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
778,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
779,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
780,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
781,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
782,Yvonne ALLAN Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
783,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
784,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
785,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
786,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
787,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
788,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
789,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
790,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
791,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
792,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
793,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
794,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
795,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
796,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
797,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
798,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
799,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
800,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
801,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
802,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
803,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
804,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
805,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
806,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
807,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
808,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
809,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
810,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
811,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
812,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
813,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
814,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
815,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
816,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
817,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
818,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
819,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
820,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
821,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
822,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
823,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
824,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
825,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
826,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
827,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
828,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
829,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
830,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
831,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
832,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
833,George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
