District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4,rank5,rank6
Willoughby,Absent,11225,Formal,JAMES Tim,skipped,skipped,skipped,skipped,skipped
Willoughby,Absent,11226,Formal,JAMES Tim,skipped,skipped,skipped,skipped,skipped
Willoughby,Absent,11227,Formal,JAMES Tim,skipped,skipped,skipped,skipped,skipped
Willoughby,Absent,11228,Formal,JAMES Tim,skipped,skipped,skipped,skipped,skipped
Willoughby,Absent,11229,Formal,JAMES Tim,skipped,skipped,skipped,skipped,skipped
Willoughby,Absent,11230,Formal,JAMES Tim,skipped,skipped,skipped,skipped,skipped
Willoughby,Absent,11231,Formal,JAMES Tim,skipped,skipped,skipped,skipped,skipped
Willoughby,Absent,11232,Formal,PENN Larissa,skipped,skipped,skipped,skipped,skipped
Willoughby,Absent,11233,Formal,PENN Larissa,skipped,skipped,skipped,skipped,skipped
Willoughby,Absent,11234,Formal,PENN Larissa,skipped,skipped,skipped,skipped,skipped
Willoughby,Absent,35651,Formal,GUNNING Samuel,PENN Larissa,JAMES Tim,HACKETT Penny,BOURKE William,SAVILLE Lynne
Willoughby,Absent,35652,Formal,HACKETT Penny,PENN Larissa,JAMES Tim,skipped,skipped,skipped
Willoughby,Absent,35653,Formal,HACKETT Penny,PENN Larissa,SAVILLE Lynne,BOURKE William,GUNNING Samuel,JAMES Tim
Willoughby,Absent,35654,Formal,JAMES Tim,GUNNING Samuel,PENN Larissa,skipped,skipped,skipped
Willoughby,Absent,35655,Formal,JAMES Tim,PENN Larissa,BOURKE William,GUNNING Samuel,SAVILLE Lynne,HACKETT Penny
Willoughby,Absent,35656,Formal,PENN Larissa,SAVILLE Lynne,BOURKE William,HACKETT Penny,GUNNING Samuel,JAMES Tim
Willoughby,Absent,35657,Formal,PENN Larissa,SAVILLE Lynne,BOURKE William,HACKETT Penny,GUNNING Samuel,JAMES Tim
Willoughby,Absent,35658,Formal,PENN Larissa,SAVILLE Lynne,HACKETT Penny,BOURKE William,GUNNING Samuel,JAMES Tim
Willoughby,Absent,35659,Formal,PENN Larissa,HACKETT Penny,SAVILLE Lynne,skipped,skipped,skipped
Willoughby,Absent,35660,Formal,SAVILLE Lynne,PENN Larissa,BOURKE William,HACKETT Penny,GUNNING Samuel,JAMES Tim
Willoughby,Absent,35661,Formal,SAVILLE Lynne,BOURKE William,skipped,skipped,skipped,skipped
Willoughby,Anzac Pk Public,28803,Formal,BOURKE William,PENN Larissa,HACKETT Penny,SAVILLE Lynne,skipped,skipped
