file,numCands,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,top4_plurality,top4_IRV,top4_top-two,top4_borda-pm,top4_borda-om,top4_borda-avg,top4_top-3-truncation,top4_condorcet,top4_minimax,top4_smith_plurality,top4_smith_irv,top4_smith-minimax,top4_ranked-pairs,top4_bucklin,top4_approval
analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/dumgal17-ballots/Nith_dumgal17-09.csv,10,['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)'],['Malcolm JOHNSTONE (Con)']
analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,7,['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Richard BRODIE (LD)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Ian CARRUTHERS (Con)'],['Richard BRODIE (LD)'],['Ian CARRUTHERS (Con)']
analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/dumgal17-ballots/AnnandaleNorth_dumgal17-11.csv,5,['Doug FAIRBAIRN (Con)'],['Stephen THOMPSON (SNP)'],['Doug FAIRBAIRN (Con)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Doug FAIRBAIRN (Con)'],['Stephen THOMPSON (SNP)'],['Doug FAIRBAIRN (Con)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)'],['Adam WILSON (Lab)']
analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,9,['David INGLIS (Con)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['David INGLIS (Con)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)']
analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/dumgal17-ballots/CastleDouglasandCrocketford_dumgal17-04.csv,6,['David JAMES (Con)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['David JAMES (Con)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['David JAMES (Con)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)']
analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/dumgal17-ballots/NorthWestDumfries_dumgal17-06.csv,7,['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)'],['Graham BELL (Con)']
analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/dumgal17-ballots/DeeandGlenkens_dumgal17-03.csv,9,['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Jane MAITLAND (Ind)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Patsy GILROY (Con)'],['Jane MAITLAND (Ind)'],['Patsy GILROY (Con)']
analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/dumgal17-ballots/Lochar_dumgal17-08.csv,9,['John CHARTERIS (Con)'],['Yen HONGMEI JIN (Ind)'],['John CHARTERIS (Con)'],['Yen HONGMEI JIN (Ind)'],['Yen HONGMEI JIN (Ind)'],['Yen HONGMEI JIN (Ind)'],['John CHARTERIS (Con)'],['Yen HONGMEI JIN (Ind)'],['Yen HONGMEI JIN (Ind)'],['Yen HONGMEI JIN (Ind)'],['Yen HONGMEI JIN (Ind)'],['Yen HONGMEI JIN (Ind)'],['Yen HONGMEI JIN (Ind)'],['Yen HONGMEI JIN (Ind)'],['Yen HONGMEI JIN (Ind)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)'],['John CHARTERIS (Con)']
analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/dumgal17-ballots/AnnandaleEastandEskdale_dumgal17-12.csv,6,['Karen CARRUTHERS (Con)'],['Denis MALE (Ind)'],['Karen CARRUTHERS (Con)'],['Karen CARRUTHERS (Con)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Karen CARRUTHERS (Con)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Karen CARRUTHERS (Con)'],['Denis MALE (Ind)'],['Archie DRYBURGH (Lab)'],['Karen CARRUTHERS (Con)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Denis MALE (Ind)'],['Denis MALE (Ind)']
analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/dumgal17-ballots/Abbey_dumgal17-05.csv,7,['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Davie STITT (Lab)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)'],['Ian BLAKE (Con)']
