file,numCands_multi,numCands_single,IRV_multi,IRV_single,approval_multi,approval_single,borda-avg_multi,borda-avg_single,borda-om_multi,borda-om_single,borda-pm_multi,borda-pm_single,bucklin_multi,bucklin_single,condorcet_multi,condorcet_single,file_multi,file_single,minimax_multi,minimax_single,plurality_multi,plurality_single,ranked-pairs_multi,ranked-pairs_single,smith-minimax_multi,smith-minimax_single,smith_irv_multi,smith_irv_single,smith_plurality_multi,smith_plurality_single,top-3-truncation_multi,top-3-truncation_single,top-two_multi,top-two_single
raw_data/scotland/processed_data/dumgal17-ballots/MidandUpperNithsdale_dumgal17-07.csv,4,4,['Jim DEMPSTER (Lab)'],['Matthew RONNIE (Con)'],['Jim DEMPSTER (Lab)'],['Matthew RONNIE (Con)'],['Jim DEMPSTER (Lab)'],['Matthew RONNIE (Con)'],['Jim DEMPSTER (Lab)'],['Matthew RONNIE (Con)'],['Jim DEMPSTER (Lab)'],['Matthew RONNIE (Con)'],['Jim DEMPSTER (Lab)'],['Matthew RONNIE (Con)'],['Jim DEMPSTER (Lab)'],['Matthew RONNIE (Con)'],raw_data/scotland/processed_data/dumgal17-ballots/MidandUpperNithsdale_dumgal17-07.csv,analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/dumgal17-ballots/MidandUpperNithsdale_dumgal17-07.csv,['Jim DEMPSTER (Lab)'],['Matthew RONNIE (Con)'],['Matthew RONNIE (Con)'],['Matthew RONNIE (Con)'],['Jim DEMPSTER (Lab)'],['Matthew RONNIE (Con)'],['Jim DEMPSTER (Lab)'],['Matthew RONNIE (Con)'],['Jim DEMPSTER (Lab)'],['Matthew RONNIE (Con)'],['Jim DEMPSTER (Lab)'],['Matthew RONNIE (Con)'],['Jim DEMPSTER (Lab)'],['Matthew RONNIE (Con)'],['Jim DEMPSTER (Lab)'],['Matthew RONNIE (Con)']
raw_data/scotland/processed_data/dumgal17-ballots/StranraerandtheRhins_dumgal17-01.csv,7,7,['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],raw_data/scotland/processed_data/dumgal17-ballots/StranraerandtheRhins_dumgal17-01.csv,analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/dumgal17-ballots/StranraerandtheRhins_dumgal17-01.csv,['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)']
"raw_data/scotland/processed_data/w-lothian17-ballots/Ward2-Broxburn,UphallandWinchburgh_w-lothian17-02.csv",8,8,['Diane CALDER (SNP)'],['Chris HORNE (Con)'],['Diane CALDER (SNP)'],['Chris HORNE (Con)'],['Diane CALDER (SNP)'],['Chris HORNE (Con)'],['Diane CALDER (SNP)'],['Chris HORNE (Con)'],['Diane CALDER (SNP)'],['Chris HORNE (Con)'],['Diane CALDER (SNP)'],['Chris HORNE (Con)'],['Diane CALDER (SNP)'],['Chris HORNE (Con)'],"raw_data/scotland/processed_data/w-lothian17-ballots/Ward2-Broxburn,UphallandWinchburgh_w-lothian17-02.csv","analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/w-lothian17-ballots/Ward2-Broxburn,UphallandWinchburgh_w-lothian17-02.csv",['Diane CALDER (SNP)'],['Chris HORNE (Con)'],['Diane CALDER (SNP)'],['Diane CALDER (SNP)'],['Diane CALDER (SNP)'],['Chris HORNE (Con)'],['Diane CALDER (SNP)'],['Chris HORNE (Con)'],['Diane CALDER (SNP)'],['Chris HORNE (Con)'],['Diane CALDER (SNP)'],['Chris HORNE (Con)'],['Diane CALDER (SNP)'],['Chris HORNE (Con)'],['Diane CALDER (SNP)'],['Chris HORNE (Con)']
raw_data/scotland/processed_data/w-lothian17-ballots/Ward6-FauldhouseandtheBreichValley_w-lothian17-06.csv,6,6,['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],raw_data/scotland/processed_data/w-lothian17-ballots/Ward6-FauldhouseandtheBreichValley_w-lothian17-06.csv,analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/w-lothian17-ballots/Ward6-FauldhouseandtheBreichValley_w-lothian17-06.csv,['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)'],['David DODDS (Lab)']
raw_data/scotland/processed_data/w-lothian17-ballots/Ward7-WhitburnandBlackburn_w-lothian17-07.csv,6,6,['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],raw_data/scotland/processed_data/w-lothian17-ballots/Ward7-WhitburnandBlackburn_w-lothian17-07.csv,analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/w-lothian17-ballots/Ward7-WhitburnandBlackburn_w-lothian17-07.csv,['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)'],['George PAUL (Lab)']
raw_data/scotland/processed_data/w-lothian17-ballots/Ward4-LivingstonSouth_w-lothian17-04.csv,7,7,['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],raw_data/scotland/processed_data/w-lothian17-ballots/Ward4-LivingstonSouth_w-lothian17-04.csv,analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/w-lothian17-ballots/Ward4-LivingstonSouth_w-lothian17-04.csv,['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)'],['Lawrence FITZPATRICK (Lab)']
raw_data/scotland/processed_data/w-lothian17-ballots/Ward1-Linlithgow_w-lothian17-01.csv,6,6,['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],raw_data/scotland/processed_data/w-lothian17-ballots/Ward1-Linlithgow_w-lothian17-01.csv,analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/w-lothian17-ballots/Ward1-Linlithgow_w-lothian17-01.csv,['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)'],['Tom KERR (Con)']
raw_data/scotland/processed_data/w-lothian17-ballots/Ward8-Bathgate_w-lothian17-08.csv,8,8,['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Jim WALKER (Ind)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Jim WALKER (Ind)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],raw_data/scotland/processed_data/w-lothian17-ballots/Ward8-Bathgate_w-lothian17-08.csv,analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/w-lothian17-ballots/Ward8-Bathgate_w-lothian17-08.csv,['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)'],['Harry CARTMILL (Lab)']
raw_data/scotland/processed_data/w-lothian17-ballots/Ward5-EastLivingstonandEastCalder_w-lothian17-05.csv,7,7,['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Carl JOHN (SNP)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],raw_data/scotland/processed_data/w-lothian17-ballots/Ward5-EastLivingstonandEastCalder_w-lothian17-05.csv,analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/w-lothian17-ballots/Ward5-EastLivingstonandEastCalder_w-lothian17-05.csv,['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)'],['Dave KING (Lab)']
raw_data/scotland/processed_data/w-lothian17-ballots/Ward9-ArmadaleandBlackridge_w-lothian17-09.csv,5,5,['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],raw_data/scotland/processed_data/w-lothian17-ballots/Ward9-ArmadaleandBlackridge_w-lothian17-09.csv,analysis/mimic_single_party/methods/first_last_mentioned/keep_first/processed_data/w-lothian17-ballots/Ward9-ArmadaleandBlackridge_w-lothian17-09.csv,['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)'],['Stuart BORROWMAN (Ind)']
