voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
0,SNP,Ian MURDOCH (Ind),Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5,12
1,SNP,Ian MURDOCH (Ind),Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5,12
2,SNP,Ian MURDOCH (Ind),Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5,12
3,SNP,Ian MURDOCH (Ind),Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5,12
4,SNP,Ian MURDOCH (Ind),Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5,12
5,SNP,Ian MURDOCH (Ind),Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5,12
6,SNP,Ian MURDOCH (Ind),Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5,12
7,SNP,SNP,Grn,Alba,Nick HOBSON Independence for Scotland Party (UNKNOWN),Wendy LOW-THOMSON (Ind),Ian MURDOCH (Ind),Soc Lab,Lab,LD,Con,Con,5,12
8,Con,Con,Lab,Ian MURDOCH (Ind),LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5,12
9,Con,Soc Lab,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5,12
10,Con,Soc Lab,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5,12
11,Con,LD,Nick HOBSON Independence for Scotland Party (UNKNOWN),Con,Wendy LOW-THOMSON (Ind),Ian MURDOCH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,5,12
12,Ian MURDOCH (Ind),Nick HOBSON Independence for Scotland Party (UNKNOWN),Wendy LOW-THOMSON (Ind),Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5,12
13,Ian MURDOCH (Ind),Lab,Con,Wendy LOW-THOMSON (Ind),Soc Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5,12
14,SNP,Con,Wendy LOW-THOMSON (Ind),Ian MURDOCH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5,12
15,Grn,Lab,SNP,SNP,Soc Lab,Wendy LOW-THOMSON (Ind),LD,Alba,Ian MURDOCH (Ind),Nick HOBSON Independence for Scotland Party (UNKNOWN),Con,Con,5,12
