Index,rank1,rank2,rank3,numSeats,numCands
ER01,GORDON REYNOLDS,skipped,skipped,1,3
ER02,GEORGE D. POTTER,GORDON REYNOLDS,ROBERT HADDOCK,1,3
ER03,GORDON REYNOLDS,ROBERT HADDOCK,skipped,1,3
ER04,GORDON REYNOLDS,GEORGE D. POTTER,ROBERT HADDOCK,1,3
ER05,ROBERT HADDOCK,skipped,skipped,1,3
ER06,GORDON REYNOLDS,ROBERT HADDOCK,GEORGE D. POTTER,1,3
ER07,GORDON REYNOLDS,ROBERT HADDOCK,skipped,1,3
ER08,GEORGE D. POTTER,skipped,skipped,1,3
ER09,ROBERT HADDOCK,GEORGE D. POTTER,GORDON REYNOLDS,1,3
ER10,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,1,3
ER11,ROBERT HADDOCK,GORDON REYNOLDS,GEORGE D. POTTER,1,3
ER12,ROBERT HADDOCK,GORDON REYNOLDS,GEORGE D. POTTER,1,3
ER13,GORDON REYNOLDS,skipped,skipped,1,3
ER14,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,1,3
ER15,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,1,3
ER16,ROBERT HADDOCK,GORDON REYNOLDS,GEORGE D. POTTER,1,3
ER17,GORDON REYNOLDS,ROBERT HADDOCK,skipped,1,3
ER18,GORDON REYNOLDS,GEORGE D. POTTER,ROBERT HADDOCK,1,3
ER19,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,1,3
ER20,GORDON REYNOLDS,ROBERT HADDOCK,GEORGE D. POTTER,1,3
ER21,GORDON REYNOLDS,ROBERT HADDOCK,skipped,1,3
ER22,GORDON REYNOLDS,ROBERT HADDOCK,GEORGE D. POTTER,1,3
ER23,GEORGE D. POTTER,GORDON REYNOLDS,ROBERT HADDOCK,1,3
ER24,GORDON REYNOLDS,GEORGE D. POTTER,ROBERT HADDOCK,1,3
ER25,ROBERT HADDOCK,GORDON REYNOLDS,GEORGE D. POTTER,1,3
ER26,ROBERT HADDOCK,GORDON REYNOLDS,GEORGE D. POTTER,1,3
ER27,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,1,3
ER28,ROBERT HADDOCK,GEORGE D. POTTER,GORDON REYNOLDS,1,3
ER29,GEORGE D. POTTER,skipped,skipped,1,3
