Index,rank1,rank2,rank3,numSeats,numCands
WH01,BENJAMIN J HILLYARD,skipped,skipped,1,3
WH02,BENJAMIN J HILLYARD,BRENT WINDER,MIKE LAURITZEN,1,3
WH03,MIKE LAURITZEN,skipped,skipped,1,3
WH04,MIKE LAURITZEN,skipped,skipped,1,3
WH05,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,1,3
WH06,BRENT WINDER,skipped,skipped,1,3
WH07,BENJAMIN J HILLYARD,skipped,skipped,1,3
WH08,BENJAMIN J HILLYARD,BRENT WINDER,MIKE LAURITZEN,1,3
WH09,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,1,3
WH10,MIKE LAURITZEN,skipped,skipped,1,3
WH11,BENJAMIN J HILLYARD,BRENT WINDER,skipped,1,3
WH12,BRENT WINDER,BENJAMIN J HILLYARD,skipped,1,3
WH13,BENJAMIN J HILLYARD,BRENT WINDER,skipped,1,3
WH14,BRENT WINDER,BENJAMIN J HILLYARD,skipped,1,3
WH15,BENJAMIN J HILLYARD,BRENT WINDER,MIKE LAURITZEN,1,3
WH16,BRENT WINDER,BENJAMIN J HILLYARD,skipped,1,3
WH17,MIKE LAURITZEN,BENJAMIN J HILLYARD,BRENT WINDER,1,3
WH18,BRENT WINDER,BENJAMIN J HILLYARD,skipped,1,3
WH19,BRENT WINDER,BENJAMIN J HILLYARD,skipped,1,3
WH20,BENJAMIN J HILLYARD,skipped,skipped,1,3
WH21,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,1,3
WH22,MIKE LAURITZEN,BRENT WINDER,BENJAMIN J HILLYARD,1,3
WH23,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,1,3
WH24,MIKE LAURITZEN,skipped,skipped,1,3
WH25,MIKE LAURITZEN,BRENT WINDER,skipped,1,3
WH26,MIKE LAURITZEN,BRENT WINDER,BENJAMIN J HILLYARD,1,3
WH27,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,1,3
WH28,BRENT WINDER,skipped,skipped,1,3
WH29,BENJAMIN J HILLYARD,BRENT WINDER,MIKE LAURITZEN,1,3
WH30,MIKE LAURITZEN,BRENT WINDER,BENJAMIN J HILLYARD,1,3
WH31,BENJAMIN J HILLYARD,BRENT WINDER,MIKE LAURITZEN,1,3
WH32,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,1,3
WH33,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,1,3
WH34,MIKE LAURITZEN,BENJAMIN J HILLYARD,BRENT WINDER,1,3
WH35,MIKE LAURITZEN,BRENT WINDER,BENJAMIN J HILLYARD,1,3
WH36,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,1,3
WH37,BENJAMIN J HILLYARD,BRENT WINDER,MIKE LAURITZEN,1,3
WH38,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,1,3
WH39,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,1,3
WH40,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,1,3
WH41,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,1,3
WH42,MIKE LAURITZEN,BRENT WINDER,BENJAMIN J HILLYARD,1,3
WH43,MIKE LAURITZEN,BENJAMIN J HILLYARD,BRENT WINDER,1,3
WH44,BRENT WINDER,BENJAMIN J HILLYARD,skipped,1,3
WH45,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,1,3
WH46,BENJAMIN J HILLYARD,BRENT WINDER,skipped,1,3
WH47,BENJAMIN J HILLYARD,BRENT WINDER,skipped,1,3
WH48,MIKE LAURITZEN,BRENT WINDER,BENJAMIN J HILLYARD,1,3
WH49,BENJAMIN J HILLYARD,BRENT WINDER,skipped,1,3
WH50,BENJAMIN J HILLYARD,BRENT WINDER,skipped,1,3
WH51,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,1,3
WH52,MIKE LAURITZEN,BRENT WINDER,BENJAMIN J HILLYARD,1,3
WH53,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,1,3
