Vote,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
1125,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,2,6
1126,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES,JASON TAYLOR,2,6
1127,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1128,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,skipped,skipped,2,6
1129,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,2,6
1130,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1131,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,2,6
1132,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1133,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1134,JOSIE KOVASH,LUKE WOJCIECHOWSKI,RANDALL FOX,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,2,6
1135,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1136,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,2,6
1137,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,JOSIE KOVASH,2,6
1138,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,skipped,skipped,2,6
1139,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1140,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1141,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,RANDALL FOX,ANTHONY CHARLES,MIKE MCCURDY,2,6
1142,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1143,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,2,6
1144,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1145,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1146,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1147,JOSIE KOVASH,skipped,skipped,skipped,skipped,skipped,2,6
1149,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,RANDALL FOX,MIKE MCCURDY,JASON TAYLOR,2,6
1150,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped,skipped,skipped,2,6
1151,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1152,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,2,6
1153,JASON TAYLOR,LUKE WOJCIECHOWSKI,RANDALL FOX,JOSIE KOVASH,skipped,skipped,2,6
1154,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1155,JOSIE KOVASH,RANDALL FOX,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JASON TAYLOR,2,6
1156,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,2,6
1157,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,2,6
1158,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,RANDALL FOX,2,6
1159,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,RANDALL FOX,2,6
1160,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1161,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1162,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1163,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,2,6
1164,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1165,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,skipped,2,6
1166,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,JASON TAYLOR,2,6
1167,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1168,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,2,6
1169,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,JOSIE KOVASH,2,6
1170,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped,2,6
1171,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1172,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,2,6
1173,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1174,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,RANDALL FOX,2,6
1175,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,2,6
1176,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,RANDALL FOX,JASON TAYLOR,2,6
1177,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1178,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1179,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,2,6
1180,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,2,6
1181,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1182,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,2,6
1183,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,2,6
1184,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped,2,6
1185,JASON TAYLOR,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,2,6
1186,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1187,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,2,6
1188,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1189,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1190,JASON TAYLOR,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,2,6
1191,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1192,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1193,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1194,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,skipped,2,6
1195,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1196,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1197,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1198,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1199,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1200,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,2,6
1201,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1202,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,skipped,skipped,2,6
1203,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1204,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,2,6
1205,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,2,6
1206,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1207,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,skipped,2,6
1208,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1209,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1210,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped,skipped,2,6
1211,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,skipped,2,6
1212,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1213,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1214,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped,2,6
1215,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1216,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1217,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1218,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1219,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1220,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1221,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,2,6
1222,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1223,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,2,6
1224,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1225,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1226,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1227,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1228,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,2,6
1229,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped,2,6
1230,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1231,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1232,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,2,6
1233,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,2,6
1234,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1235,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1236,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1237,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
1238,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1239,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1240,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1241,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1242,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1243,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,2,6
1244,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1245,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1246,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1247,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1248,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1249,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,2,6
1251,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1252,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,2,6
1253,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1254,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,2,6
1255,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1256,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1257,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped,2,6
1258,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1259,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1260,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1261,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,skipped,2,6
1262,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped,2,6
1263,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1264,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1265,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,2,6
1266,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,skipped,skipped,2,6
1267,JOSIE KOVASH,skipped,skipped,skipped,skipped,skipped,2,6
1268,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1269,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1270,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1271,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1272,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1273,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1274,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1275,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,2,6
1276,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1277,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1278,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1279,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,2,6
1280,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,skipped,2,6
1281,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped,2,6
1282,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1283,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1284,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1285,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,2,6
1286,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1287,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped,2,6
1288,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1289,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped,2,6
1290,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1291,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1292,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1293,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1294,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1295,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1296,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1297,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1299,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1300,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1301,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1302,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1303,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1304,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,skipped,2,6
1305,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1306,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1307,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1308,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,2,6
1310,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
1311,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1312,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,2,6
1313,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,skipped,skipped,2,6
1314,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,2,6
1315,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,2,6
1316,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1317,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,2,6
1318,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1319,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1320,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,skipped,2,6
1321,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,2,6
1322,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1323,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,2,6
1324,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1325,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1326,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1327,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1328,JOSIE KOVASH,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
1329,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,2,6
1330,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1331,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1332,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped,skipped,skipped,2,6
1333,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1334,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,2,6
1335,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1336,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,2,6
1337,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped,2,6
1338,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,2,6
1339,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,skipped,2,6
1340,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
1341,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1342,JASON TAYLOR,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JOSIE KOVASH,skipped,2,6
1343,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,skipped,2,6
1344,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1345,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,2,6
1346,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,2,6
1347,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1348,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped,2,6
1349,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,2,6
1350,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1351,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1352,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1353,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1354,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1355,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1356,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1357,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,skipped,skipped,2,6
1358,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,2,6
