Vote,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
945,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,2,6
946,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
947,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
948,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,2,6
949,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
950,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
951,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
952,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES,2,6
953,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
954,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
955,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
956,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
957,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
958,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
959,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,2,6
960,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX,2,6
961,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,2,6
962,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,RANDALL FOX,2,6
963,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
964,JASON TAYLOR,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES,MIKE MCCURDY,LUKE WOJCIECHOWSKI,2,6
965,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
966,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
967,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
968,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX,MIKE MCCURDY,JASON TAYLOR,2,6
969,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,skipped,skipped,2,6
970,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
