Index,rank1,rank2,rank3,Num cands,Num seats
ER01,GORDON REYNOLDS,skipped,skipped,3,1
ER02,GEORGE D. POTTER,GORDON REYNOLDS,ROBERT HADDOCK,3,1
ER03,GORDON REYNOLDS,ROBERT HADDOCK,skipped,3,1
ER04,GORDON REYNOLDS,GEORGE D. POTTER,ROBERT HADDOCK,3,1
ER05,ROBERT HADDOCK,skipped,skipped,3,1
ER06,GORDON REYNOLDS,ROBERT HADDOCK,GEORGE D. POTTER,3,1
ER07,GORDON REYNOLDS,ROBERT HADDOCK,skipped,3,1
ER08,GEORGE D. POTTER,skipped,skipped,3,1
ER09,ROBERT HADDOCK,GEORGE D. POTTER,GORDON REYNOLDS,3,1
ER10,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,3,1
ER11,ROBERT HADDOCK,GORDON REYNOLDS,GEORGE D. POTTER,3,1
ER12,ROBERT HADDOCK,GORDON REYNOLDS,GEORGE D. POTTER,3,1
ER13,GORDON REYNOLDS,skipped,skipped,3,1
ER14,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,3,1
ER15,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,3,1
ER16,ROBERT HADDOCK,GORDON REYNOLDS,GEORGE D. POTTER,3,1
ER17,GORDON REYNOLDS,ROBERT HADDOCK,skipped,3,1
ER18,GORDON REYNOLDS,GEORGE D. POTTER,ROBERT HADDOCK,3,1
ER19,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,3,1
ER20,GORDON REYNOLDS,ROBERT HADDOCK,GEORGE D. POTTER,3,1
ER21,GORDON REYNOLDS,ROBERT HADDOCK,skipped,3,1
ER22,GORDON REYNOLDS,ROBERT HADDOCK,GEORGE D. POTTER,3,1
ER23,GEORGE D. POTTER,GORDON REYNOLDS,ROBERT HADDOCK,3,1
ER24,GORDON REYNOLDS,GEORGE D. POTTER,ROBERT HADDOCK,3,1
ER25,ROBERT HADDOCK,GORDON REYNOLDS,GEORGE D. POTTER,3,1
ER26,ROBERT HADDOCK,GORDON REYNOLDS,GEORGE D. POTTER,3,1
ER27,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,3,1
ER28,ROBERT HADDOCK,GEORGE D. POTTER,GORDON REYNOLDS,3,1
ER29,GEORGE D. POTTER,skipped,skipped,3,1
ER30,GEORGE D. POTTER,GORDON REYNOLDS,ROBERT HADDOCK,3,1
ER31,ROBERT HADDOCK,GEORGE D. POTTER,GORDON REYNOLDS,3,1
ER32,ROBERT HADDOCK,GORDON REYNOLDS,GEORGE D. POTTER,3,1
ER33,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,3,1
ER34,ROBERT HADDOCK,GORDON REYNOLDS,GEORGE D. POTTER,3,1
ER35,GORDON REYNOLDS,skipped,skipped,3,1
ER36,ROBERT HADDOCK,skipped,skipped,3,1
ER37,ROBERT HADDOCK,GEORGE D. POTTER,GORDON REYNOLDS,3,1
ER38,GORDON REYNOLDS,ROBERT HADDOCK,skipped,3,1
ER39,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,3,1
ER40,GORDON REYNOLDS,ROBERT HADDOCK,GEORGE D. POTTER,3,1
ER41,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,3,1
ER42,ROBERT HADDOCK,GORDON REYNOLDS,GEORGE D. POTTER,3,1
ER43,GORDON REYNOLDS,skipped,skipped,3,1
ER44,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,3,1
ER45,GORDON REYNOLDS,ROBERT HADDOCK,GEORGE D. POTTER,3,1
ER46,ROBERT HADDOCK,GORDON REYNOLDS,GEORGE D. POTTER,3,1
ER47,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,3,1
ER48,GORDON REYNOLDS,skipped,skipped,3,1
ER49,GORDON REYNOLDS,GEORGE D. POTTER,ROBERT HADDOCK,3,1
ER50,GEORGE D. POTTER,ROBERT HADDOCK,GORDON REYNOLDS,3,1
ER51,GORDON REYNOLDS,GEORGE D. POTTER,ROBERT HADDOCK,3,1
ER52,GORDON REYNOLDS,GEORGE D. POTTER,ROBERT HADDOCK,3,1
