Index,rank1,rank2,rank3,rank4,Num cands,Num seats
GE01,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE02,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE03,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE04,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE06,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE07,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE09,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE10,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE11,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE12,HALE ROBISON,skipped,skipped,skipped,3,2
GE13,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE14,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE15,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE16,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE17,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE18,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,3,2
GE19,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE20,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE21,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE22,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE23,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE24,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE26,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,3,2
GE27,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE29,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE30,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,3,2
GE31,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE32,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE33,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE34,HALE ROBISON,skipped,skipped,skipped,3,2
GE35,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE36,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE37,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE38,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE39,GRANT LUNDBERG,skipped,skipped,skipped,3,2
GE40,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE41,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE42,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE43,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE44,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE45,GRANT LUNDBERG,skipped,skipped,skipped,3,2
GE46,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE47,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE48,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE49,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE50,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE51,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE52,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE53,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE54,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE55,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE56,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE57,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE58,DARON S. HUGHES,skipped,skipped,skipped,3,2
GE59,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE60,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE61,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE62,DARON S. HUGHES,skipped,skipped,skipped,3,2
GE63,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE64,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE65,DARON S. HUGHES,skipped,skipped,skipped,3,2
GE66,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE67,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE68,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
