Index,rank1,rank2,rank3,rank4,Num cands,Num seats
WH01,JANET LUNT,CODY CHAMBERLAIN,skipped,skipped,4,2
WH02,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,4,2
WH03,TOBY M. HARDING,CODY CHAMBERLAIN,skipped,skipped,4,2
WH04,TOBY M. HARDING,DOREL B. KYNASTON,skipped,skipped,4,2
WH05,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,4,2
WH07,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,skipped,4,2
WH08,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,4,2
WH09,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,4,2
WH10,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,4,2
WH11,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,skipped,4,2
WH13,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,skipped,4,2
WH14,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,skipped,4,2
WH15,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,4,2
WH16,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,4,2
WH17,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,4,2
WH18,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,4,2
WH19,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,skipped,4,2
WH20,JANET LUNT,skipped,skipped,skipped,4,2
WH21,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,4,2
WH22,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,4,2
WH23,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,4,2
WH24,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,4,2
WH25,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,skipped,4,2
WH26,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,4,2
WH27,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,4,2
WH28,CODY CHAMBERLAIN,TOBY M. HARDING,skipped,skipped,4,2
WH29,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,4,2
WH30,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,4,2
WH31,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,4,2
WH32,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,4,2
WH33,CODY CHAMBERLAIN,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,4,2
WH34,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,4,2
