Index,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num cands,Num seats
LE3364,MICHELLE MILES,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,AARON BULLEN,MONTANE C HAMILTON,CHRIS CONDIE,ETHAN M. ERICKSON,PAUL HANCOCK,9,2
LE3365,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,ETHAN M. ERICKSON,MONTANE C HAMILTON,9,2
LE3366,CAMI PURTSCHERT,AARON BULLEN,ETHAN M. ERICKSON,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,9,2
LE3367,MICHELLE MILES,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,AARON BULLEN,MONTANE C HAMILTON,CHRIS CONDIE,ETHAN M. ERICKSON,PAUL HANCOCK,9,2
LE3368,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,9,2
LE3369,PAUL HANCOCK,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,CHRIS CONDIE,9,2
LE3370,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3371,CHRIS CONDIE,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3372,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE3374,LORI MCINTOSH LE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,CHRIS CONDIE,AARON BULLEN,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE3375,PAUL HANCOCK,CHRIS CONDIE,MONTANE C HAMILTON,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE3376,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,MICHELLE MILES,9,2
LE3377,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,CAMI PURTSCHERT,PAUL HANCOCK,skipped,skipped,skipped,skipped,9,2
LE3378,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,PAUL HANCOCK,CHRIS CONDIE,ETHAN M. ERICKSON,9,2
LE3379,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,CHRIS CONDIE,9,2
LE3380,MICHELLE MILES,CHRIS CONDIE,AARON BULLEN,NICOLE KUNZE,PAUL HANCOCK,skipped,skipped,skipped,skipped,9,2
LE3381,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3382,LORI MCINTOSH LE,NICOLE KUNZE,PAUL HANCOCK,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,CHRIS CONDIE,MICHELLE MILES,CAMI PURTSCHERT,9,2
LE3383,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,MONTANE C HAMILTON,AARON BULLEN,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE3385,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3386,CAMI PURTSCHERT,NICOLE KUNZE,PAUL HANCOCK,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,ETHAN M. ERICKSON,9,2
LE3387,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE3388,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3389,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3390,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,9,2
LE3391,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,MONTANE C HAMILTON,ETHAN M. ERICKSON,CAMI PURTSCHERT,9,2
LE3392,CAMI PURTSCHERT,LORI MCINTOSH LE,AARON BULLEN,MICHELLE MILES,PAUL HANCOCK,NICOLE KUNZE,CHRIS CONDIE,ETHAN M. ERICKSON,MONTANE C HAMILTON,9,2
LE3393,PAUL HANCOCK,CHRIS CONDIE,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3394,PAUL HANCOCK,MONTANE C HAMILTON,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,ETHAN M. ERICKSON,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,9,2
LE3395,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3397,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,ETHAN M. ERICKSON,PAUL HANCOCK,9,2
LE3398,MICHELLE MILES,MONTANE C HAMILTON,NICOLE KUNZE,ETHAN M. ERICKSON,LORI MCINTOSH LE,PAUL HANCOCK,AARON BULLEN,CAMI PURTSCHERT,CHRIS CONDIE,9,2
LE3399,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,CAMI PURTSCHERT,MONTANE C HAMILTON,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE3400,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,MONTANE C HAMILTON,9,2
LE3401,MICHELLE MILES,MONTANE C HAMILTON,NICOLE KUNZE,ETHAN M. ERICKSON,LORI MCINTOSH LE,PAUL HANCOCK,AARON BULLEN,CHRIS CONDIE,CAMI PURTSCHERT,9,2
LE3402,CHRIS CONDIE,MONTANE C HAMILTON,CAMI PURTSCHERT,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE3403,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,skipped,skipped,skipped,skipped,9,2
LE3404,MONTANE C HAMILTON,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,CAMI PURTSCHERT,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE3405,LORI MCINTOSH LE,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE3406,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3407,AARON BULLEN,MICHELLE MILES,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,9,2
LE3408,NICOLE KUNZE,CAMI PURTSCHERT,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,PAUL HANCOCK,MONTANE C HAMILTON,CHRIS CONDIE,ETHAN M. ERICKSON,9,2
LE3409,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3410,PAUL HANCOCK,MICHELLE MILES,CHRIS CONDIE,MONTANE C HAMILTON,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,LORI MCINTOSH LE,9,2
LE3411,CHRIS CONDIE,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,PAUL HANCOCK,MICHELLE MILES,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,9,2
LE3412,NICOLE KUNZE,CHRIS CONDIE,CAMI PURTSCHERT,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,LORI MCINTOSH LE,skipped,skipped,9,2
LE3413,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,ETHAN M. ERICKSON,AARON BULLEN,9,2
LE3414,NICOLE KUNZE,CHRIS CONDIE,CAMI PURTSCHERT,MICHELLE MILES,PAUL HANCOCK,AARON BULLEN,MONTANE C HAMILTON,LORI MCINTOSH LE,ETHAN M. ERICKSON,9,2
LE3415,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,NICOLE KUNZE,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,CHRIS CONDIE,ETHAN M. ERICKSON,9,2
LE3416,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3417,CAMI PURTSCHERT,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE3418,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3419,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,ETHAN M. ERICKSON,NICOLE KUNZE,LORI MCINTOSH LE,CAMI PURTSCHERT,MONTANE C HAMILTON,9,2
LE3420,PAUL HANCOCK,MONTANE C HAMILTON,NICOLE KUNZE,LORI MCINTOSH LE,CAMI PURTSCHERT,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE3421,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,AARON BULLEN,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,9,2
LE3422,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,NICOLE KUNZE,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE3423,PAUL HANCOCK,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,LORI MCINTOSH LE,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE3424,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3425,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE3427,PAUL HANCOCK,MICHELLE MILES,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,NICOLE KUNZE,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE3428,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3429,NICOLE KUNZE,CHRIS CONDIE,CAMI PURTSCHERT,MICHELLE MILES,PAUL HANCOCK,AARON BULLEN,MONTANE C HAMILTON,LORI MCINTOSH LE,ETHAN M. ERICKSON,9,2
LE3430,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3431,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,MICHELLE MILES,CHRIS CONDIE,AARON BULLEN,NICOLE KUNZE,ETHAN M. ERICKSON,CAMI PURTSCHERT,9,2
LE3432,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,MICHELLE MILES,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE3433,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE3434,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,MONTANE C HAMILTON,PAUL HANCOCK,CAMI PURTSCHERT,CHRIS CONDIE,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE3435,MICHELLE MILES,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,AARON BULLEN,ETHAN M. ERICKSON,MONTANE C HAMILTON,9,2
LE3436,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3437,MONTANE C HAMILTON,CAMI PURTSCHERT,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3438,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3439,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,AARON BULLEN,MONTANE C HAMILTON,9,2
LE3440,LORI MCINTOSH LE,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,9,2
LE3441,LORI MCINTOSH LE,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3442,PAUL HANCOCK,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,CHRIS CONDIE,skipped,skipped,skipped,skipped,9,2
LE3443,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3444,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3445,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,9,2
LE3446,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,CAMI PURTSCHERT,MICHELLE MILES,9,2
LE3447,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,MICHELLE MILES,9,2
LE3448,NICOLE KUNZE,AARON BULLEN,PAUL HANCOCK,CAMI PURTSCHERT,MONTANE C HAMILTON,MICHELLE MILES,CHRIS CONDIE,LORI MCINTOSH LE,ETHAN M. ERICKSON,9,2
LE3449,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,9,2
LE3450,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE3451,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,9,2
LE3452,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3453,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,ETHAN M. ERICKSON,skipped,9,2
LE3454,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE3455,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,PAUL HANCOCK,CHRIS CONDIE,9,2
LE3457,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,NICOLE KUNZE,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE3458,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3459,CAMI PURTSCHERT,LORI MCINTOSH LE,AARON BULLEN,MICHELLE MILES,PAUL HANCOCK,NICOLE KUNZE,CHRIS CONDIE,ETHAN M. ERICKSON,MONTANE C HAMILTON,9,2
LE3460,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3461,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3462,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3463,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,9,2
LE3464,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,9,2
LE3465,LORI MCINTOSH LE,CHRIS CONDIE,NICOLE KUNZE,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,PAUL HANCOCK,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE3466,CAMI PURTSCHERT,PAUL HANCOCK,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,CHRIS CONDIE,NICOLE KUNZE,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE3467,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,MONTANE C HAMILTON,MICHELLE MILES,CAMI PURTSCHERT,CHRIS CONDIE,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE3468,AARON BULLEN,PAUL HANCOCK,ETHAN M. ERICKSON,CAMI PURTSCHERT,CHRIS CONDIE,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,9,2
LE3469,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,CHRIS CONDIE,MONTANE C HAMILTON,PAUL HANCOCK,CAMI PURTSCHERT,ETHAN M. ERICKSON,MICHELLE MILES,9,2
LE3470,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,ETHAN M. ERICKSON,AARON BULLEN,9,2
LE3471,AARON BULLEN,PAUL HANCOCK,ETHAN M. ERICKSON,CAMI PURTSCHERT,CHRIS CONDIE,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,9,2
LE3472,CAMI PURTSCHERT,PAUL HANCOCK,AARON BULLEN,CHRIS CONDIE,MONTANE C HAMILTON,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,ETHAN M. ERICKSON,9,2
LE3473,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE3474,NICOLE KUNZE,PAUL HANCOCK,MONTANE C HAMILTON,CAMI PURTSCHERT,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,LORI MCINTOSH LE,ETHAN M. ERICKSON,9,2
LE3475,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,NICOLE KUNZE,CAMI PURTSCHERT,MONTANE C HAMILTON,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,9,2
LE3476,NICOLE KUNZE,MICHELLE MILES,CAMI PURTSCHERT,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE3477,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,NICOLE KUNZE,ETHAN M. ERICKSON,9,2
LE3478,CAMI PURTSCHERT,MONTANE C HAMILTON,MICHELLE MILES,ETHAN M. ERICKSON,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,PAUL HANCOCK,CHRIS CONDIE,9,2
LE3479,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3480,CAMI PURTSCHERT,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,CHRIS CONDIE,9,2
LE3481,NICOLE KUNZE,PAUL HANCOCK,CAMI PURTSCHERT,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,9,2
LE3482,MICHELLE MILES,AARON BULLEN,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,PAUL HANCOCK,NICOLE KUNZE,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE3483,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,CHRIS CONDIE,PAUL HANCOCK,9,2
LE3484,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,9,2
LE3485,CAMI PURTSCHERT,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,ETHAN M. ERICKSON,skipped,9,2
LE3486,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,9,2
LE3487,MICHELLE MILES,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,CAMI PURTSCHERT,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE3488,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,9,2
LE3489,ETHAN M. ERICKSON,PAUL HANCOCK,NICOLE KUNZE,CAMI PURTSCHERT,CHRIS CONDIE,MONTANE C HAMILTON,LORI MCINTOSH LE,AARON BULLEN,MICHELLE MILES,9,2
LE3490,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3491,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,LORI MCINTOSH LE,NICOLE KUNZE,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,MONTANE C HAMILTON,9,2
LE3492,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3493,AARON BULLEN,MICHELLE MILES,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,ETHAN M. ERICKSON,skipped,9,2
LE3494,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,NICOLE KUNZE,CHRIS CONDIE,skipped,skipped,skipped,skipped,9,2
LE3495,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,LORI MCINTOSH LE,ETHAN M. ERICKSON,9,2
LE3496,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,PAUL HANCOCK,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,CHRIS CONDIE,skipped,9,2
LE3497,MONTANE C HAMILTON,PAUL HANCOCK,CAMI PURTSCHERT,LORI MCINTOSH LE,AARON BULLEN,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE3498,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE3499,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,9,2
LE3500,PAUL HANCOCK,CHRIS CONDIE,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,NICOLE KUNZE,9,2
LE3501,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3502,AARON BULLEN,MICHELLE MILES,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3503,PAUL HANCOCK,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,MONTANE C HAMILTON,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE3504,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE3505,NICOLE KUNZE,PAUL HANCOCK,CAMI PURTSCHERT,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,9,2
LE3506,CHRIS CONDIE,AARON BULLEN,CAMI PURTSCHERT,NICOLE KUNZE,PAUL HANCOCK,ETHAN M. ERICKSON,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,9,2
LE3507,NICOLE KUNZE,CAMI PURTSCHERT,MONTANE C HAMILTON,CHRIS CONDIE,AARON BULLEN,ETHAN M. ERICKSON,MICHELLE MILES,LORI MCINTOSH LE,PAUL HANCOCK,9,2
LE3508,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,AARON BULLEN,skipped,skipped,skipped,9,2
LE3509,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,CAMI PURTSCHERT,MICHELLE MILES,ETHAN M. ERICKSON,AARON BULLEN,9,2
LE3510,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,9,2
LE3511,PAUL HANCOCK,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,CAMI PURTSCHERT,MICHELLE MILES,AARON BULLEN,9,2
