Index,rank1,rank2,rank3,Num cands,Num seats
SP01,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP02,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP03,MATT PACKARD,RYAN MILLER,skipped,3,1
SP04,MATT PACKARD,MATTHEW NORMAN BRADLEY,skipped,3,1
SP06,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP07,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP08,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP09,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP10,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP11,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP12,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP13,MATT PACKARD,skipped,skipped,3,1
SP14,MATT PACKARD,skipped,skipped,3,1
SP15,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP16,MATT PACKARD,skipped,skipped,3,1
SP17,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP18,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP19,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP20,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP21,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP22,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP23,MATT PACKARD,skipped,skipped,3,1
SP24,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP25,MATT PACKARD,skipped,skipped,3,1
SP26,RYAN MILLER,skipped,skipped,3,1
SP27,RYAN MILLER,MATTHEW NORMAN BRADLEY,MATT PACKARD,3,1
SP28,MATT PACKARD,MATTHEW NORMAN BRADLEY,skipped,3,1
SP29,RYAN MILLER,MATTHEW NORMAN BRADLEY,MATT PACKARD,3,1
SP30,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP31,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP32,MATT PACKARD,MATTHEW NORMAN BRADLEY,skipped,3,1
SP33,MATT PACKARD,skipped,skipped,3,1
SP34,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP35,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP36,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP37,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP38,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP39,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP40,MATT PACKARD,skipped,skipped,3,1
SP41,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP42,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP43,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP44,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP45,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP46,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP47,MATT PACKARD,skipped,skipped,3,1
SP48,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP49,MATT PACKARD,skipped,skipped,3,1
SP50,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP51,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP52,MATT PACKARD,skipped,skipped,3,1
SP53,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP54,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP55,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP56,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP57,MATT PACKARD,skipped,skipped,3,1
SP58,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP60,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP61,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP62,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP63,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP64,MATT PACKARD,skipped,skipped,3,1
SP65,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP66,MATT PACKARD,skipped,skipped,3,1
SP67,RYAN MILLER,MATTHEW NORMAN BRADLEY,MATT PACKARD,3,1
SP68,MATT PACKARD,skipped,skipped,3,1
SP69,MATT PACKARD,skipped,skipped,3,1
SP70,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP71,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP72,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP73,MATT PACKARD,skipped,skipped,3,1
SP74,RYAN MILLER,MATTHEW NORMAN BRADLEY,skipped,3,1
