Vote,rank1,rank2,rank3,rank4,rank5,rank6,Num cands,Num seats
1118,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1119,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1120,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1121,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,RANDALL FOX,JOSIE KOVASH,6,2
1122,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,6,2
1123,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1124,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1125,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,6,2
1126,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES,JASON TAYLOR,6,2
1127,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1128,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,skipped,skipped,6,2
1129,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,6,2
1130,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1131,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,6,2
1132,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1133,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1134,JOSIE KOVASH,LUKE WOJCIECHOWSKI,RANDALL FOX,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,6,2
1135,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,skipped,skipped,6,2
1136,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,6,2
1137,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,JOSIE KOVASH,6,2
1138,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,skipped,skipped,6,2
1139,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1140,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1141,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,RANDALL FOX,ANTHONY CHARLES,MIKE MCCURDY,6,2
1142,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1143,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,6,2
1144,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1145,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1146,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,6,2
1147,JOSIE KOVASH,skipped,skipped,skipped,skipped,skipped,6,2
1149,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,RANDALL FOX,MIKE MCCURDY,JASON TAYLOR,6,2
1150,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped,skipped,skipped,6,2
1151,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1152,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,6,2
1153,JASON TAYLOR,LUKE WOJCIECHOWSKI,RANDALL FOX,JOSIE KOVASH,skipped,skipped,6,2
1154,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,6,2
1155,JOSIE KOVASH,RANDALL FOX,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JASON TAYLOR,6,2
1156,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,6,2
1157,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,6,2
1158,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,RANDALL FOX,6,2
1159,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,RANDALL FOX,6,2
1160,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1161,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,6,2
1162,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1163,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,6,2
1164,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1165,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,skipped,6,2
1166,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,JASON TAYLOR,6,2
1167,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1168,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,6,2
1169,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,JOSIE KOVASH,6,2
1170,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped,6,2
1171,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1172,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,6,2
1173,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1174,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,RANDALL FOX,6,2
1175,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,6,2
1176,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,RANDALL FOX,JASON TAYLOR,6,2
1177,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1178,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,6,2
1179,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,6,2
1180,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,6,2
1181,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,skipped,6,2
1182,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,6,2
1183,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,6,2
1184,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped,6,2
1185,JASON TAYLOR,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,6,2
1186,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped,skipped,6,2
1187,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,6,2
1188,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1189,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,skipped,6,2
1190,JASON TAYLOR,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,6,2
1191,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1192,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1193,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,6,2
1194,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,skipped,6,2
1195,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,6,2
1196,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1197,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1198,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1199,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1200,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,6,2
1201,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1202,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,skipped,skipped,6,2
1203,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,6,2
1204,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,6,2
1205,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,6,2
1206,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1207,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,skipped,6,2
1208,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,6,2
1209,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,6,2
1210,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped,skipped,6,2
1211,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,skipped,6,2
1212,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1213,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1214,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped,6,2
1215,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,skipped,6,2
1216,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,6,2
1217,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1218,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1219,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,6,2
1220,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,6,2
1221,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,6,2
1222,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1223,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,6,2
1224,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1225,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1226,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1227,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1228,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,6,2
1229,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped,6,2
1230,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1231,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1232,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,6,2
1233,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,6,2
1234,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1235,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1236,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,6,2
1237,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,6,2
1238,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1239,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1240,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1241,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1242,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1243,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,6,2
1244,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1245,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,6,2
1246,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1247,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,6,2
1248,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped,6,2
1249,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,6,2
1251,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,6,2
1252,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,6,2
1253,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,6,2
1254,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,6,2
1255,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1256,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1257,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped,6,2
1258,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,6,2
1259,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1260,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1261,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,skipped,6,2
1262,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped,6,2
1263,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1264,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1265,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,6,2
1266,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,skipped,skipped,6,2
1267,JOSIE KOVASH,skipped,skipped,skipped,skipped,skipped,6,2
1268,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped,6,2
1269,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,6,2
1270,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1271,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1272,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,6,2
1273,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,6,2
1274,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,6,2
1275,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,6,2
1276,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1277,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1278,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1279,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,6,2
1280,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,skipped,6,2
1281,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped,6,2
1282,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1283,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1284,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1285,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,6,2
1286,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1287,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped,6,2
1288,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,6,2
1289,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped,6,2
1290,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1291,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,6,2
1292,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped,6,2
1293,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1294,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1295,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped,skipped,6,2
1296,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1297,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1299,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1300,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1301,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1302,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1303,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1304,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,skipped,6,2
1305,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1306,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1307,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1308,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,6,2
1310,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,6,2
1311,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1312,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,6,2
1313,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,skipped,skipped,6,2
1314,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,6,2
1315,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,6,2
1316,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,6,2
1317,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,6,2
1318,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1319,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1320,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,skipped,6,2
1321,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,6,2
1322,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1323,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,6,2
1324,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1325,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1326,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1327,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1328,JOSIE KOVASH,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,6,2
1329,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,6,2
1330,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1331,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1332,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped,skipped,skipped,6,2
1333,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1334,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,6,2
1335,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1336,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,6,2
1337,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped,6,2
1338,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,6,2
1339,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,skipped,6,2
1340,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,6,2
1341,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1342,JASON TAYLOR,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JOSIE KOVASH,skipped,6,2
1343,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,skipped,6,2
1344,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,6,2
1345,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,6,2
1346,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,6,2
1347,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,6,2
1348,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped,6,2
1349,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,6,2
1350,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1351,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1352,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
