Vote,rank1,rank2,rank3,rank4,rank5,rank6,Num cands,Num seats
998,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
999,JASON TAYLOR,LUKE WOJCIECHOWSKI,RANDALL FOX,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,6,2
1000,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,6,2
1001,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,6,2
1003,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1004,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1005,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped,6,2
1006,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,6,2
1007,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,JOSIE KOVASH,LUKE WOJCIECHOWSKI,6,2
1008,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,MIKE MCCURDY,JASON TAYLOR,RANDALL FOX,6,2
1009,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,6,2
1010,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1011,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,6,2
1012,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,6,2
1013,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1014,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,6,2
1015,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1016,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped,6,2
1017,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1018,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,6,2
1020,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,JOSIE KOVASH,RANDALL FOX,MIKE MCCURDY,6,2
1021,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,RANDALL FOX,JOSIE KOVASH,6,2
1022,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,skipped,skipped,6,2
1023,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,6,2
