Index,rank1,rank2,rank3,Num cands,Num seats
VI01,JULIE FULLMER,skipped,skipped,3,1
VI02,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI03,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI04,MARC BRIMHALL,MARIA GUADALUPE CANE,JULIE FULLMER,3,1
VI05,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI06,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI07,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI08,JULIE FULLMER,skipped,skipped,3,1
VI09,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI10,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI11,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI12,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI13,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI14,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI15,JULIE FULLMER,skipped,skipped,3,1
VI16,MARC BRIMHALL,MARIA GUADALUPE CANE,JULIE FULLMER,3,1
VI17,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI18,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI19,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI20,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI21,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI22,JULIE FULLMER,skipped,skipped,3,1
VI23,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI24,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI25,MARIA GUADALUPE CANE,JULIE FULLMER,MARC BRIMHALL,3,1
VI26,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI27,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
