Index,rank1,rank2,rank3,Num cands,Num seats
WH01,BENJAMIN J HILLYARD,skipped,skipped,3,1
WH02,BENJAMIN J HILLYARD,BRENT WINDER,MIKE LAURITZEN,3,1
WH03,MIKE LAURITZEN,skipped,skipped,3,1
WH04,MIKE LAURITZEN,skipped,skipped,3,1
WH05,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,3,1
WH06,BRENT WINDER,skipped,skipped,3,1
WH07,BENJAMIN J HILLYARD,skipped,skipped,3,1
WH08,BENJAMIN J HILLYARD,BRENT WINDER,MIKE LAURITZEN,3,1
WH09,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,3,1
WH10,MIKE LAURITZEN,skipped,skipped,3,1
WH11,BENJAMIN J HILLYARD,BRENT WINDER,skipped,3,1
WH12,BRENT WINDER,BENJAMIN J HILLYARD,skipped,3,1
WH13,BENJAMIN J HILLYARD,BRENT WINDER,skipped,3,1
WH14,BRENT WINDER,BENJAMIN J HILLYARD,skipped,3,1
WH15,BENJAMIN J HILLYARD,BRENT WINDER,MIKE LAURITZEN,3,1
WH16,BRENT WINDER,BENJAMIN J HILLYARD,skipped,3,1
WH17,MIKE LAURITZEN,BENJAMIN J HILLYARD,BRENT WINDER,3,1
WH18,BRENT WINDER,BENJAMIN J HILLYARD,skipped,3,1
WH19,BRENT WINDER,BENJAMIN J HILLYARD,skipped,3,1
WH20,BENJAMIN J HILLYARD,skipped,skipped,3,1
WH21,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,3,1
WH22,MIKE LAURITZEN,BRENT WINDER,BENJAMIN J HILLYARD,3,1
WH23,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,3,1
WH24,MIKE LAURITZEN,skipped,skipped,3,1
WH25,MIKE LAURITZEN,BRENT WINDER,skipped,3,1
WH26,MIKE LAURITZEN,BRENT WINDER,BENJAMIN J HILLYARD,3,1
WH27,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,3,1
WH28,BRENT WINDER,skipped,skipped,3,1
WH29,BENJAMIN J HILLYARD,BRENT WINDER,MIKE LAURITZEN,3,1
WH30,MIKE LAURITZEN,BRENT WINDER,BENJAMIN J HILLYARD,3,1
WH31,BENJAMIN J HILLYARD,BRENT WINDER,MIKE LAURITZEN,3,1
WH32,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,3,1
WH33,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,3,1
WH34,MIKE LAURITZEN,BENJAMIN J HILLYARD,BRENT WINDER,3,1
WH35,MIKE LAURITZEN,BRENT WINDER,BENJAMIN J HILLYARD,3,1
WH36,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,3,1
WH37,BENJAMIN J HILLYARD,BRENT WINDER,MIKE LAURITZEN,3,1
WH38,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,3,1
WH39,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,3,1
WH40,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,3,1
WH41,BRENT WINDER,BENJAMIN J HILLYARD,MIKE LAURITZEN,3,1
WH42,MIKE LAURITZEN,BRENT WINDER,BENJAMIN J HILLYARD,3,1
