file,numCands,plurality,plurality_rank,IRV,IRV_rank,top-two,top-two_rank,borda-pm,borda-pm_rank,top-3-truncation,top-3-truncation_rank,condorcet,condorcet_rank,minimax,minimax_rank,smith,smith_rank,smith-minimax,smith-minimax_rank,ranked-pairs,ranked-pairs_rank
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Brighton with candidates.csv,9,James Newbury,1,James Newbury,1,James Newbury,1,James Newbury,1,James Newbury,1,James Newbury,1,James Newbury,1,James Newbury,1,James Newbury,1,James Newbury,1
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Northcote with candidates.csv,11,Kat Theophanous,1,Kat Theophanous,1,Kat Theophanous,1,Campbell Gome,2,Kat Theophanous,1,Kat Theophanous,1,Kat Theophanous,1,Kat Theophanous,1,Kat Theophanous,1,Kat Theophanous,1
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Werribee with candidates.csv,15,Tim Pallas,1,Tim Pallas,1,Tim Pallas,1,Tim Pallas,1,Tim Pallas,1,Tim Pallas,1,Tim Pallas,1,Tim Pallas,1,Tim Pallas,1,Tim Pallas,1
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Point Cook with candidates.csv,15,Mathew Hilakari,1,Mathew Hilakari,1,Mathew Hilakari,1,Mathew Hilakari,1,Mathew Hilakari,1,Mathew Hilakari,1,Mathew Hilakari,1,Mathew Hilakari,1,Mathew Hilakari,1,Mathew Hilakari,1
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,8,John Pesutto,1,John Pesutto,1,John Pesutto,1,John Pesutto,1,John Pesutto,1,John Pesutto,1,John Pesutto,1,John Pesutto,1,John Pesutto,1,John Pesutto,1
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Preston with Candidates.csv,10,Nathan Lambert,1,Nathan Lambert,1,Nathan Lambert,1,Nathan Lambert,1,Nathan Lambert,1,Nathan Lambert,1,Nathan Lambert,1,Nathan Lambert,1,Nathan Lambert,1,Nathan Lambert,1
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Melton with candidates.csv,14,Steve McGhie,1,Steve McGhie,1,Steve McGhie,1,Steve McGhie,1,Steve McGhie,1,Steve McGhie,1,Steve McGhie,1,Steve McGhie,1,Steve McGhie,1,Steve McGhie,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Ballina-mayoral-finalpreferencedatafile (1).csv,5,CADWALLADER Sharon,1,CADWALLADER Sharon,1,CADWALLADER Sharon,1,CADWALLADER Sharon,1,CADWALLADER Sharon,1,CADWALLADER Sharon,1,CADWALLADER Sharon,1,CADWALLADER Sharon,1,CADWALLADER Sharon,1,CADWALLADER Sharon,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/The_Hills_Shire-mayoral-finalpreferencedatafile.csv,5,GANGEMI Peter,1,GANGEMI Peter,1,GANGEMI Peter,1,GANGEMI Peter,1,GANGEMI Peter,1,GANGEMI Peter,1,GANGEMI Peter,1,GANGEMI Peter,1,GANGEMI Peter,1,GANGEMI Peter,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Nambucca_Valley-mayoral-finalpreferencedatafile.csv,2,HOBAN Rhonda,1,HOBAN Rhonda,1,HOBAN Rhonda,1,HOBAN Rhonda,1,HOBAN Rhonda,1,HOBAN Rhonda,1,HOBAN Rhonda,1,HOBAN Rhonda,1,HOBAN Rhonda,1,HOBAN Rhonda,1
