voterId,rank1,rank2,rank3,numSeats,numCands
0,Uisdean ROBERTSON (Ind),skipped,skipped,,3
1,Uisdean ROBERTSON (Ind),skipped,skipped,,3
2,Uisdean ROBERTSON (Ind),skipped,skipped,,3
3,Uisdean ROBERTSON (Ind),skipped,skipped,,3
4,Uisdean ROBERTSON (Ind),skipped,skipped,,3
5,Uisdean ROBERTSON (Ind),skipped,skipped,,3
6,Uisdean ROBERTSON (Ind),skipped,skipped,,3
7,Uisdean ROBERTSON (Ind),skipped,skipped,,3
8,Uisdean ROBERTSON (Ind),skipped,skipped,,3
9,Uisdean ROBERTSON (Ind),skipped,skipped,,3
10,Uisdean ROBERTSON (Ind),skipped,skipped,,3
11,Uisdean ROBERTSON (Ind),skipped,skipped,,3
12,Uisdean ROBERTSON (Ind),skipped,skipped,,3
13,Uisdean ROBERTSON (Ind),skipped,skipped,,3
14,Uisdean ROBERTSON (Ind),skipped,skipped,,3
15,Uisdean ROBERTSON (Ind),skipped,skipped,,3
16,Uisdean ROBERTSON (Ind),skipped,skipped,,3
17,Uisdean ROBERTSON (Ind),skipped,skipped,,3
18,Uisdean ROBERTSON (Ind),skipped,skipped,,3
19,Uisdean ROBERTSON (Ind),skipped,skipped,,3
20,Uisdean ROBERTSON (Ind),skipped,skipped,,3
21,Uisdean ROBERTSON (Ind),skipped,skipped,,3
22,Uisdean ROBERTSON (Ind),skipped,skipped,,3
23,Uisdean ROBERTSON (Ind),skipped,skipped,,3
24,Uisdean ROBERTSON (Ind),skipped,skipped,,3
25,Uisdean ROBERTSON (Ind),skipped,skipped,,3
26,Uisdean ROBERTSON (Ind),skipped,skipped,,3
27,Uisdean ROBERTSON (Ind),skipped,skipped,,3
28,Uisdean ROBERTSON (Ind),skipped,skipped,,3
29,Uisdean ROBERTSON (Ind),skipped,skipped,,3
30,Uisdean ROBERTSON (Ind),skipped,skipped,,3
31,Uisdean ROBERTSON (Ind),skipped,skipped,,3
32,Uisdean ROBERTSON (Ind),skipped,skipped,,3
33,Uisdean ROBERTSON (Ind),skipped,skipped,,3
34,Uisdean ROBERTSON (Ind),skipped,skipped,,3
35,Uisdean ROBERTSON (Ind),skipped,skipped,,3
36,Uisdean ROBERTSON (Ind),skipped,skipped,,3
37,Uisdean ROBERTSON (Ind),skipped,skipped,,3
38,Uisdean ROBERTSON (Ind),skipped,skipped,,3
39,Uisdean ROBERTSON (Ind),skipped,skipped,,3
40,Uisdean ROBERTSON (Ind),skipped,skipped,,3
41,Uisdean ROBERTSON (Ind),skipped,skipped,,3
42,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
43,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
44,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
45,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
46,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
47,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
48,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
49,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
50,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
51,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
52,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
53,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
54,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
55,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
56,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
57,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
58,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),skipped,,3
59,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
60,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
61,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
62,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
63,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
64,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
65,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
66,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
67,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
68,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
69,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
70,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
71,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
72,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
73,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
74,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
75,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
76,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
77,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
78,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
79,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
80,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
81,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
82,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
83,Uisdean ROBERTSON (Ind),Kenny BARKER (Con),Mustapha HOCINE (Ind),,3
84,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
85,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
86,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
87,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
88,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
89,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
90,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
91,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
92,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
93,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
94,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
95,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
96,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
97,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
98,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
99,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
100,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
101,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
102,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
103,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
104,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
105,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
106,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
107,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
108,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
109,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
110,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
111,Uisdean ROBERTSON (Ind),Mustapha HOCINE (Ind),skipped,,3
