'file', 'plurality', 'plurality_with_runoff_put', 'instant_runoff_for_truncated_linear_orders', 'bottom_two_runoff_instant_runoff_put', 'instant_runoff_put', 'borda_for_profile_with_ties', 'condorcet', 'condorcet_irv', 'weak_condorcet', 'benham', 'minimax', 'ranked_pairs', 'top_cycle', 'copeland', 'daunou'
"american/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.,Cardi DeMonaco Jr.
"american/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
american/St Louis Park/StLouisPark_11022021_CityCouncilWard3.csv,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd
american/St Louis Park/StLouisPark_11022021_CityCouncilWard2.csv,Lynette Lungay Dumalag,John Basill,Lynette Lungay Dumalag,John Basill,Lynette Lungay Dumalag,Lynette Lungay Dumalag,John Basill,John Basill,John Basill,John Basill,John Basill,John Basill,John Basill,John Basill,John Basill
american/St Louis Park/StLouisPark_11022021_CityCouncilWard1.csv,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog,Margaret Rog
american/St Louis Park/StLouisPark_11022021_CityCouncilWard4.csv,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen,Tim Brausen
american/Alaska/Alaska_11082022_HouseDistrict23.csv,"Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie"
american/Alaska/Alaska_11082022_HouseDistrict37.csv,"Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce"
american/Alaska/Alaska_11082022_HouseDistrict36.csv,"Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike"
american/Alaska/Alaska_11082022_HouseDistrict22.csv,"Wright, Stanley A.","Eischeid, Ted J.","Wright, Stanley A.","Eischeid, Ted J.","Wright, Stanley A.","Wright, Stanley A.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J.","Eischeid, Ted J."
american/Alaska/Alaska_08162022_HouseofRepresentativesSpecial.csv,"Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Begich, Nick","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S."
american/Alaska/Alaska_11082022_HouseDistrict34.csv,"Tomaszewski, Frank J.","Hopkins, Grier H.","Tomaszewski, Frank J.","Hopkins, Grier H.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H."
american/Alaska/Alaska_11082022_HouseDistrict20.csv,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T."
american/Alaska/Alaska_11082022_HouseDistrict21.csv,"Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C."
american/Alaska/Alaska_11082022_HouseDistrict35.csv,"Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E."
american/Alaska/Alaska_11082022_HouseDistrict19.csv,"Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.",Write-in,"Mina, Genevieve G.","Mina, Genevieve G.",Write-in,Write-in,Write-in,Write-in,Write-in,Write-in,Write-in,Write-in,Write-in
american/Alaska/Alaska_11082022_HouseDistrict31.csv,"Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L."
american/Alaska/Alaska_11082022_HouseDistrict25.csv,"Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M."
american/Alaska/Alaska_11082022_HouseDistrict24.csv,"Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan"
american/Alaska/Alaska_11082022_HouseDistrict30.csv,"McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J."
american/Alaska/Alaska_11082022_HouseDistrict18.csv,"Nelson, David","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff"
american/Alaska/Alaska_11082022_HouseDistrict26.csv,"Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L."
american/Alaska/Alaska_11082022_HouseDistrict32.csv,"Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B."
american/Alaska/Alaska_11082022_HouseDistrict33.csv,"Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike"""
