australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Uralla-mayoral-finalpreferencedatafile.csv,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,FINDLEY Amanda,GREEN Paul,FINDLEY Amanda,GREEN Paul,FINDLEY Amanda,FINDLEY Amanda,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Richmond_Valley-mayoral-finalpreferencedatafile.csv,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Port_Stephens-mayoral-finalpreferencedatafile.csv,PALMER Ryan,ANDERSON Leah,PALMER Ryan,ANDERSON Leah,PALMER Ryan,PALMER Ryan,ANDERSON Leah,ANDERSON Leah,ANDERSON Leah,ANDERSON Leah,ANDERSON Leah,ANDERSON Leah,ANDERSON Leah,ANDERSON Leah,ANDERSON Leah
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Wollondilly-mayoral-finalpreferencedatafile.csv,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,NULL,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Griffith-mayoral-finalpreferencedatafile.csv,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Hunters_Hill-mayoral-finalpreferencedatafile.csv,MILES Zac,WILLIAMS Ross,MILES Zac,QUINN Richard,MILES Zac,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard
