rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,numSeats,numCands
8,16,1,15,1,11,7,10,14,1,13,17,7,1,1,12,9,1.0,17.0
12,17,10,17,17,2,2,17,17,9,17,17,12,1,17,1,1,,
13,7,9,15,8,11,6,4,16,14,10,5,3,1,12,2,17,,
17,1,1,17,17,17,15,17,17,17,17,17,17,1,17,17,17,,
17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,2,17,,
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
1,1,17,17,1,17,17,17,1,17,17,17,17,1,17,1,17,,
1,5,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,,
2,5,3,2,1,1,3,5,2,6,2,4,1,1,1,1,3,,
17,7,14,5,6,10,15,9,12,11,13,8,16,1,3,2,4,,
17,17,17,17,17,17,17,17,17,17,1,1,17,1,17,17,17,,
8,17,5,2,15,7,6,14,14,14,14,16,9,4,1,3,14,,
4,17,7,11,16,8,5,11,10,10,9,15,6,1,3,2,15,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
17,17,1,1,17,1,17,17,17,17,17,17,17,17,17,1,17,,
1,17,17,1,17,17,17,17,17,1,17,17,17,1,2,1,17,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
2,2,1,5,3,6,1,5,1,2,3,7,1,3,2,1,1,,
1,17,16,9,17,2,15,17,13,6,13,15,10,2,1,17,3,,
5,6,2,10,10,1,10,10,17,17,17,17,7,4,11,3,17,,
17,5,17,17,17,7,17,17,17,6,17,17,3,1,2,4,17,,
17,17,17,17,17,17,17,17,17,1,17,1,17,17,17,1,17,,
3,17,17,4,17,2,17,17,17,17,17,17,17,1,17,17,17,,
1,17,17,17,17,17,17,17,17,17,17,17,17,17,1,17,17,,
4,17,17,17,3,17,17,17,17,1,17,17,17,17,2,17,17,,
17,17,17,17,17,17,17,17,17,17,17,1,17,17,17,17,17,,
17,17,1,1,2,1,17,2,4,17,3,17,17,1,3,1,17,,
3,5,6,1,4,1,2,5,3,5,3,9,4,3,6,4,4,,
17,17,17,1,17,1,1,17,17,17,17,17,17,1,1,17,17,,
17,17,17,1,17,1,1,17,17,17,17,17,17,1,17,1,17,,
1,17,17,17,17,17,17,17,17,1,17,17,17,17,1,17,17,,
4,17,17,17,17,6,17,17,8,17,17,7,5,1,3,2,17,,
1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,,
1,17,17,17,1,17,17,17,17,1,17,17,17,1,1,17,3,,
4,17,17,6,17,5,17,17,17,17,17,17,17,1,3,2,17,,
2,17,17,17,2,2,17,17,17,17,17,17,17,2,1,17,17,,
1,17,17,1,17,17,13,10,17,17,1,17,17,1,17,1,5,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
15,12,8,3,5,7,4,1,14,6,13,17,2,11,16,10,9,,
17,2,17,2,17,17,17,1,17,17,2,3,1,5,17,1,1,,
14,14,6,14,14,14,17,14,17,4,14,14,14,1,17,2,5,,
1,17,17,17,17,1,17,17,17,17,17,17,17,1,1,17,17,,
7,3,3,14,1,15,13,13,15,2,2,5,9,6,2,11,3,,
14,1,11,11,4,7,8,5,11,11,15,12,13,2,16,3,17,,
5,17,7,6,17,3,11,9,15,4,10,17,17,2,1,8,11,,
4,3,17,17,17,17,17,17,17,5,17,17,17,1,2,17,17,,
4,17,17,17,6,5,17,17,17,17,17,17,17,1,17,3,17,,
17,17,17,2,17,17,3,17,17,17,17,17,17,1,17,17,4,,
4,17,7,5,17,3,6,17,17,17,17,17,17,1,2,17,17,,
16,11,6,1,14,17,4,2,15,12,8,13,10,3,5,7,9,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
1,17,17,17,17,1,17,17,17,17,17,17,17,17,17,1,17,,
17,9,17,17,17,12,17,17,17,17,9,17,17,9,12,9,17,,
2,17,17,17,17,17,17,17,17,1,17,17,17,3,17,17,17,,
7,13,8,9,2,3,14,3,2,11,10,1,1,5,16,12,4,,
2,17,17,2,17,1,17,17,17,1,17,1,17,17,17,17,17,,
