rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,numSeats,numCands
13,5,4,18,10,2,16,15,11,7,14,3,6,8,1,12,17,9,1.0,18.0
12,9,15,18,10,4,8,13,16,1,17,5,6,14,3,11,7,2,,
12,10,7,18,13,8,14,5,9,2,17,1,3,16,4,11,15,6,,
12,4,7,16,1,6,15,2,9,5,18,8,10,17,3,13,11,14,,
11,6,9,14,13,3,18,16,15,8,7,2,1,10,4,12,17,5,,
1,10,4,17,7,6,18,12,15,3,14,8,2,5,9,11,16,13,,
9,2,1,14,15,6,18,4,3,11,13,5,8,10,7,12,16,17,,
12,3,2,17,1,5,11,14,18,10,16,6,4,15,9,8,13,7,,
9,5,11,15,7,2,18,16,14,1,6,4,10,12,3,13,17,8,,
16,9,4,17,14,1,11,18,10,6,15,2,7,13,3,5,12,8,,
2,5,18,18,17,18,4,18,18,7,18,18,3,18,16,4,6,1,,
4,5,12,10,18,1,16,15,17,11,14,7,2,3,5,8,9,13,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
11,6,4,13,18,1,16,5,12,9,14,17,2,8,3,7,10,15,,
9,7,16,15,8,2,18,3,11,10,6,1,4,12,5,13,17,14,,
6,8,12,14,10,5,18,16,11,4,13,9,3,2,7,15,17,1,,
3,2,4,15,5,8,16,13,9,10,14,7,1,12,6,11,17,18,,
11,10,2,15,8,4,18,17,12,6,16,1,3,9,5,7,14,13,,
11,2,8,16,6,4,18,12,17,7,13,3,5,9,1,14,10,15,,
3,2,7,12,15,10,6,14,11,5,18,9,13,8,1,4,16,17,,
11,3,16,8,1,2,7,18,6,9,17,5,14,10,4,13,12,15,,
16,11,1,17,8,4,10,18,3,6,14,2,5,9,13,15,12,7,,
4,18,7,14,15,11,17,8,10,5,16,9,12,1,3,2,13,6,,
5,1,3,17,16,16,13,11,18,14,9,8,2,6,12,4,10,7,,
7,11,6,15,14,3,18,13,17,4,16,8,2,9,1,10,12,5,,
14,13,10,18,6,3,17,16,9,12,16,1,9,13,4,18,18,14,,
16,7,2,17,18,5,10,11,4,6,13,1,8,12,3,14,15,9,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
17,6,17,16,17,17,18,17,17,3,17,1,17,16,5,4,17,2,,
10,7,5,18,6,8,16,15,14,9,13,11,1,4,3,12,17,2,,
5,1,3,16,17,9,13,11,18,14,10,8,2,7,15,4,12,6,,
16,12,4,15,8,1,18,17,10,6,13,2,5,11,3,9,14,7,,
10,3,6,17,7,1,18,15,9,12,13,4,5,8,2,11,16,14,,
13,7,5,18,9,1,15,12,10,4,16,2,3,8,6,14,17,11,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
13,11,2,18,9,10,14,12,7,8,17,6,3,4,1,15,16,5,,
12,15,1,17,8,4,10,14,16,11,18,5,3,2,7,6,9,13,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,,
7,10,3,15,18,11,12,9,16,6,13,14,1,5,2,4,17,8,,
11,9,7,14,18,4,15,13,17,1,12,3,8,6,2,10,16,5,,
12,2,5,15,9,1,16,13,4,8,14,3,7,10,6,11,17,18,,
18,4,8,18,5,2,18,18,18,6,18,3,7,18,1,18,18,18,,
15,8,9,16,14,3,18,10,12,1,17,4,6,2,11,7,13,5,,
13,2,14,18,3,7,1,11,17,9,16,5,6,15,8,4,12,10,,
11,4,10,17,13,2,16,18,14,9,6,7,1,12,3,8,15,5,,
6,1,3,16,17,4,14,12,18,15,10,8,2,9,13,5,11,7,,
16,13,7,13,18,5,8,11,14,6,9,4,2,3,1,15,12,10,,
8,10,1,17,11,9,18,16,13,4,15,2,7,3,6,12,14,5,,
9,10,5,17,15,2,16,14,12,6,13,3,4,7,8,11,18,1,,
10,6,11,18,1,3,17,13,12,5,14,4,8,16,2,9,15,7,,
15,9,1,18,6,4,11,16,7,8,17,3,5,14,2,13,12,10,,
8,6,2,10,3,7,15,9,16,13,12,5,1,11,18,4,14,17,,
11,1,3,18,6,2,18,18,18,8,18,5,7,10,9,11,18,4,,
9,2,18,17,8,3,15,5,11,4,14,7,1,10,12,13,16,6,,
10,12,6,17,11,5,14,15,18,4,16,2,3,9,13,7,8,1,,
18,6,4,18,2,8,3,12,9,7,15,5,13,10,1,14,16,11,,
17,1,6,18,2,4,13,10,15,3,12,5,7,8,11,16,14,9,,
10,4,1,18,5,6,17,14,13,15,16,7,3,8,2,9,12,11,,
7,8,10,16,11,3,15,18,2,5,17,4,1,13,9,6,14,12,,
15,6,5,14,4,2,17,18,10,1,11,3,7,13,8,12,16,9,,
16,11,4,18,12,6,8,14,17,2,13,7,1,10,9,15,5,3,,
11,8,15,17,7,5,1,12,16,9,18,4,2,3,6,10,13,14,,
11,3,8,18,16,5,13,17,16,4,7,1,2,10,6,14,12,9,,
5,12,6,10,2,2,18,13,11,7,14,4,3,8,1,5,15,9,,
18,18,18,18,18,18,1,18,18,18,18,18,18,18,18,18,18,18,,
18,1,4,18,1,2,18,18,2,6,18,2,7,7,1,5,18,18,,
14,8,5,15,12,2,18,16,7,3,11,1,6,9,4,13,17,10,,
12,8,10,16,1,6,18,15,7,3,14,4,5,9,2,13,17,11,,
13,4,5,16,7,1,18,17,10,8,15,3,2,9,6,14,12,11,,
15,7,8,18,9,4,12,13,10,2,14,1,11,3,5,16,17,6,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
5,5,15,8,14,7,18,16,2,10,17,12,3,13,1,6,4,9,,
6,5,2,14,10,1,17,11,18,7,13,4,3,8,9,12,16,15,,
