rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,numSeats,numCands
12,2,10,14,11,17,4,1,3,7,9,15,5,13,16,6,8,1.0,17.0
12,2,11,14,8,17,1,4,7,9,10,15,5,13,16,3,6,,
13,1,12,14,7,17,4,3,2,9,10,15,5,11,16,6,8,,
11,3,14,13,10,17,5,1,2,9,7,15,6,12,16,4,8,,
13,3,10,14,8,17,5,2,1,9,11,15,4,12,16,6,7,,
10,1,10,10,9,10,3,2,4,7,10,10,5,10,10,6,8,,
12,1,11,14,10,15,4,3,2,8,9,16,5,13,17,7,6,,
11,1,12,14,10,15,3,4,2,6,8,16,5,13,17,7,9,,
10,1,12,14,8,17,3,5,2,9,11,15,4,13,16,7,6,,
12,1,11,14,7,17,5,2,3,8,10,15,4,13,16,6,9,,
8,1,11,14,9,17,4,2,3,12,10,16,5,13,15,6,7,,
12,1,10,14,6,17,4,3,2,9,11,15,5,13,16,7,8,,
13,1,11,14,10,16,4,2,3,8,9,15,6,12,17,5,7,,
11,1,14,13,6,17,4,3,2,7,10,15,5,12,16,8,9,,
11,1,12,13,7,17,5,3,2,9,8,15,4,14,16,6,10,,
11,1,12,14,8,17,5,2,3,9,10,15,4,13,16,6,7,,
11,1,12,14,9,17,5,2,3,8,10,15,4,13,16,7,6,,
11,1,12,14,10,17,4,3,2,8,9,15,5,13,16,6,7,,
16,5,6,14,12,17,3,1,2,7,13,11,9,15,10,8,4,,
13,1,11,14,9,17,5,2,3,8,10,15,4,12,16,6,7,,
11,1,13,14,10,17,6,3,2,7,8,15,4,12,16,5,9,,
11,1,13,14,10,17,4,3,2,8,9,16,5,12,15,6,7,,
13,1,11,17,9,17,4,2,3,8,10,17,6,12,17,7,5,,
12,1,11,14,9,17,4,2,3,10,7,15,5,13,16,6,8,,
10,1,11,14,13,17,4,2,3,9,7,15,5,12,16,6,8,,
12,1,11,14,8,16,5,2,3,9,10,15,4,13,17,6,7,,
11,1,13,14,10,17,4,3,2,9,8,15,4,12,16,6,7,,
13,1,11,15,8,17,4,3,2,9,10,14,5,12,16,7,6,,
10,1,12,14,7,17,5,3,2,9,11,15,4,13,16,6,8,,
12,1,11,14,10,17,4,2,3,8,9,15,5,13,16,6,7,,
11,1,12,14,8,17,4,3,2,9,10,15,5,13,16,6,7,,
12,1,11,13,9,17,3,4,2,8,10,15,5,14,16,7,6,,
12,2,11,14,8,17,1,4,7,9,10,15,5,13,16,3,6,,
11,1,12,15,10,13,3,4,2,9,6,16,5,14,17,7,8,,
13,1,12,14,9,17,4,2,3,8,10,15,5,11,16,6,7,,
13,1,12,14,10,17,5,3,2,9,8,15,4,11,16,6,7,,
13,1,11,14,9,17,5,2,3,10,8,15,4,12,16,6,7,,
13,1,12,15,7,17,5,2,3,8,10,14,4,11,16,6,9,,
10,1,13,17,7,16,3,2,5,6,8,15,4,12,14,11,9,,
12,1,11,14,7,17,5,2,3,9,8,15,4,13,16,6,10,,
17,1,17,17,17,17,4,2,3,17,17,17,17,17,17,17,5,,
10,1,11,13,7,16,4,3,2,8,12,15,5,14,17,6,9,,
11,1,12,14,10,16,3,5,2,9,8,15,4,13,17,7,6,,
12,1,11,14,6,17,5,4,2,7,10,15,3,13,16,9,8,,
13,1,12,14,8,17,5,3,2,7,9,15,4,11,16,6,10,,
11,1,12,14,6,17,5,3,2,9,10,15,4,13,16,7,8,,
11,1,12,14,7,17,4,3,2,8,9,15,5,13,16,6,10,,
12,1,11,14,8,17,3,4,2,9,10,15,5,13,16,6,7,,
11,1,14,13,8,17,4,3,2,9,10,15,5,12,16,6,7,,
12,1,13,15,7,17,4,3,2,9,10,6,5,14,16,8,11,,
12,1,14,13,6,17,4,2,3,8,9,14,5,11,16,7,10,,
17,1,11,14,10,17,5,3,2,7,6,15,4,13,12,8,9,,
12,1,11,13,7,17,4,3,2,10,9,15,5,14,16,6,8,,
12,1,11,14,7,17,5,2,3,10,9,15,4,13,16,6,8,,
11,1,13,14,6,17,4,2,3,7,10,15,5,12,16,8,9,,
11,1,12,14,9,17,4,2,3,7,10,15,5,13,16,6,8,,
11,1,14,13,7,17,4,2,3,6,10,15,5,12,16,9,8,,
17,1,17,17,6,17,3,4,2,9,10,17,5,17,17,7,8,,
12,2,10,15,9,17,5,1,3,6,11,14,4,13,16,7,8,,
17,5,16,17,17,16,4,1,17,17,17,17,3,17,17,2,17,,
12,1,9,14,6,17,4,3,2,8,10,15,5,13,16,7,11,,
12,1,11,15,7,17,4,3,2,9,10,14,5,13,16,8,6,,
14,1,11,13,7,17,5,2,3,9,6,15,4,12,16,8,10,,
11,1,12,14,9,17,4,2,3,8,10,15,5,13,16,7,6,,
13,4,11,14,9,16,3,2,1,7,10,15,5,12,17,8,6,,
10,1,12,14,8,17,3,4,2,9,11,15,5,13,16,7,6,,
11,1,12,15,9,16,5,2,3,10,8,14,4,13,17,6,7,,
11,2,13,14,10,17,4,1,3,7,9,16,5,12,15,6,8,,
11,1,15,13,10,17,5,3,2,6,9,14,4,12,16,7,8,,
11,1,12,14,8,17,4,3,2,9,10,15,5,13,16,7,6,,
11,1,12,14,6,17,3,5,2,9,10,15,4,13,16,7,8,,
