rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
11,9,10,1,5,8,7,4,3,2,6,1.0,11.0
5,1,2,9,8,11,7,4,3,10,6,,
11,4,5,9,3,1,8,2,7,6,10,,
2,4,1,4,2,1,4,3,2,3,2,,
6,9,2,8,5,1,10,11,4,3,7,,
1,10,7,5,2,3,11,6,4,8,9,,
2,11,6,4,8,1,10,3,5,9,7,,
7,11,9,10,8,1,2,6,3,5,4,,
9,8,9,4,2,3,7,6,1,5,9,,
2,11,3,9,7,1,5,10,4,6,8,,
6,8,11,1,10,2,7,3,5,9,4,,
11,5,8,10,6,3,4,7,1,2,9,,
11,11,11,4,2,5,11,1,3,11,11,,
7,11,10,8,4,2,9,1,5,6,3,,
3,11,4,11,1,2,11,11,3,11,11,,
11,11,2,11,11,2,3,2,1,11,3,,
3,8,2,10,6,1,7,9,4,5,11,,
3,9,6,11,8,1,10,5,2,7,4,,
2,11,6,11,8,3,11,4,7,1,2,,
3,11,4,11,5,2,7,6,1,8,11,,
5,11,6,1,9,4,10,3,2,7,8,,
11,7,1,11,8,3,11,7,2,4,7,,
2,11,3,11,1,11,11,7,8,11,11,,
11,9,7,9,4,1,5,2,3,6,8,,
6,11,10,1,5,2,7,3,4,9,8,,
5,10,2,7,3,11,9,1,4,6,8,,
11,5,11,11,2,1,11,3,4,6,11,,
11,11,11,11,11,1,11,11,11,11,11,,
11,10,10,2,11,1,10,1,3,10,10,,
3,11,1,8,4,5,10,9,6,7,2,,
2,11,6,5,8,1,4,3,7,10,9,,
5,6,9,3,2,8,10,4,1,11,7,,
11,11,11,3,5,2,11,4,1,11,11,,
6,8,3,5,4,11,9,1,2,7,10,,
3,1,5,7,9,11,10,4,2,11,6,,
11,5,11,4,11,11,2,2,1,3,11,,
3,4,6,10,5,1,8,2,9,11,7,,
5,9,8,10,1,4,11,6,2,3,7,,
9,10,2,7,6,3,11,1,8,4,5,,
1,8,5,7,3,10,11,4,2,9,7,,
