rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,numSeats,numCands
9,8,30,20,21,29,9,10,27,1,16,2,23,32,24,5,18,25,17,15,26,22,14,13,19,11,6,7,28,4,31,3,1.0,32.0
32,32,32,32,32,2,32,32,32,32,1,32,32,32,32,3,32,32,32,32,32,32,32,32,32,32,32,4,32,32,32,32,,
32,32,32,2,32,1,32,32,4,6,7,32,32,5,32,32,32,32,32,32,32,3,4,32,32,32,32,32,32,32,2,32,,
2,32,32,1,2,1,1,32,32,1,32,1,2,1,32,32,2,32,32,32,32,1,2,32,32,32,32,1,32,1,1,32,,
32,10,32,3,32,2,32,32,32,4,32,32,32,32,32,5,32,32,32,4,32,32,1,32,5,32,10,11,32,3,32,32,,
32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2,32,,
32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
2,3,32,4,4,32,1,1,32,1,32,1,4,32,3,3,4,4,32,32,2,3,32,32,32,1,32,2,32,3,32,1,,
27,18,1,16,27,16,9,17,10,5,8,27,7,11,12,3,2,21,4,23,16,27,7,32,32,16,32,28,21,21,18,22,,
32,32,32,1,32,1,32,32,1,1,1,32,32,32,32,1,1,32,32,32,32,1,1,32,32,1,32,32,32,1,32,32,,
32,32,6,32,32,1,32,32,32,32,32,32,32,3,32,32,32,32,32,32,32,32,2,32,32,32,32,32,32,32,4,32,,
15,30,4,30,14,11,15,30,12,32,6,32,30,32,30,17,31,16,31,1,13,1,32,5,7,30,1,14,32,31,32,10,,
32,12,32,32,7,1,32,32,13,5,32,5,9,1,32,4,16,32,32,11,32,1,15,14,8,32,32,32,32,32,32,10,,
17,6,27,16,12,25,32,30,8,29,13,2,11,28,4,15,22,10,22,9,23,7,24,14,18,31,22,5,19,3,26,1,,
1,9,7,6,11,15,16,31,32,4,29,2,20,24,23,14,29,29,29,5,29,17,8,19,13,31,16,10,23,3,23,12,,
32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,1,32,32,2,32,32,2,32,1,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,3,5,32,2,1,32,32,32,32,32,4,32,32,,
1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
3,6,32,32,32,32,7,8,32,1,32,2,32,32,32,32,32,32,32,32,32,32,11,32,32,10,32,5,32,9,32,4,,
32,32,32,32,32,2,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
10,11,2,7,31,1,31,31,11,30,21,8,31,13,31,6,30,31,22,9,31,3,20,31,5,31,15,32,31,4,32,32,,
7,4,32,6,11,10,32,32,32,9,8,2,32,32,32,32,32,32,32,32,32,32,3,32,5,32,32,32,32,1,32,32,,
2,2,32,32,32,32,2,2,32,1,32,2,32,32,32,32,32,32,32,2,32,32,2,32,32,2,32,2,32,2,32,2,,
11,8,26,6,31,25,2,4,31,1,12,5,31,27,30,31,31,31,28,31,31,29,12,31,31,3,14,9,32,13,31,7,,
32,32,1,32,32,2,32,32,32,32,32,32,32,4,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,3,32,,
1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
