"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","Num Cands","Num Seats"
"11","13","2","3","4","7","8","1","9","6","5","15","14","12","10","15.0","1.0"
"11","12","2","10","5","15","6","13","7","9","4","3","14","1","8","nan","nan"
"9","11","14","7","3","5","4","12","6","2","1","8","10","skipped","skipped","nan","nan"
"10","5","3","12","4","8","7","6","15","2","1","13","9","11","skipped","nan","nan"
"3","2","7","14","8","1","6","4","15","11","5","9","10","12","13","nan","nan"
"6","10","3","9","2","4","8","12","15","1","13","5","14","11","7","nan","nan"
"5","11","1","9","3","4","2","8","7","13","15","6","14","10","12","nan","nan"
"7","8","6","12","3","5","15","13","10","2","9","1","4","11","skipped","nan","nan"
"3","2","13","9","6","1","8","7","12","10","5","15","14","4","11","nan","nan"
"12","11","9","15","6","10","3","4","8","7","1","2","13","5","14","nan","nan"
"6","1","2","8","3","15","4","10","7","9","5","skipped","skipped","skipped","skipped","nan","nan"
"1","6","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","4","1","10","14","2","6","15","11","3","13","7","5","9","12","nan","nan"
"9","14","6","7","1","4","12","2","13","5","8","15","10","3","11","nan","nan"
"3","2","4","15","1","12","5","7","10","9","6","11","8","skipped","skipped","nan","nan"
"3","15","1","12","4","2","6","10","8","7","11","5","9","skipped","skipped","nan","nan"
"13","10","3","7","12","1","8","14","9","6","11","2","15","4","5","nan","nan"
"13","11","15","12","2","10","1","14","9","7","4","5","8","3","6","nan","nan"
"10","2","1","11","3","15","8","13","9","12","14","5","6","7","skipped","nan","nan"
"14","1","7","11","4","5","8","2","3","13","6","12","15","skipped","skipped","nan","nan"
"1","11","15","8","9","10","5","4","3","2","6","12","7","skipped","skipped","nan","nan"
"6","9","8","11","14","2","7","5","3","13","15","1","4","12","10","nan","nan"
"6","12","15","7","1","8","14","10","13","5","4","2","3","9","11","nan","nan"
"6","11","5","13","3","2","15","14","1","7","4","9","12","8","10","nan","nan"
"15","10","6","1","12","4","8","2","11","7","9","5","skipped","skipped","skipped","nan","nan"
"9","5","2","13","1","6","8","12","15","4","3","10","14","7","11","nan","nan"
"1","15","10","11","8","2","3","7","14","4","9","5","13","6","12","nan","nan"
"10","13","2","7","6","1","9","8","14","5","4","15","12","11","3","nan","nan"
"4","12","15","13","3","14","1","5","2","11","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","15","3","5","11","4","9","8","10","12","2","6","14","7","13","nan","nan"
"3","9","1","8","4","5","2","10","14","7","6","15","13","11","12","nan","nan"
"3","2","15","9","6","4","11","12","10","8","7","1","5","skipped","skipped","nan","nan"
"7","4","15","13","12","6","8","3","5","9","11","1","10","2","14","nan","nan"
"5","6","1","14","15","7","2","8","4","9","10","11","12","3","13","nan","nan"
"2","10","14","11","1","5","4","9","15","6","12","7","8","3","13","nan","nan"
"6","13","4","11","3","7","12","14","15","5","2","9","8","1","10","nan","nan"
"7","11","6","15","1","9","10","3","8","4","12","2","5","skipped","skipped","nan","nan"
"6","13","9","10","3","5","15","12","1","2","4","7","14","8","11","nan","nan"
"3","2","15","12","10","1","8","4","11","7","13","6","14","5","9","nan","nan"
"13","8","1","15","2","5","4","7","12","14","9","3","11","10","6","nan","nan"
"4","5","15","13","8","9","2","10","3","11","7","1","12","6","14","nan","nan"
"1","15","4","2","5","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","1","10","6","11","7","3","8","4","9","5","12","2","skipped","skipped","nan","nan"
"3","12","14","5","8","2","15","4","10","1","7","11","6","9","13","nan","nan"
"6","11","1","8","3","5","4","7","2","10","9","14","13","12","15","nan","nan"
"2","13","1","10","5","6","8","9","14","3","7","4","12","15","11","nan","nan"
"3","8","7","9","12","1","6","4","10","5","14","11","13","2","15","nan","nan"
"15","5","9","11","4","12","7","13","2","10","1","6","8","3","14","nan","nan"
"11","15","2","7","3","13","4","9","6","8","1","10","12","5","14","nan","nan"
"10","15","2","8","11","1","5","3","12","4","7","6","9","skipped","skipped","nan","nan"
"6","12","2","7","1","4","3","13","9","5","8","14","10","11","skipped","nan","nan"
"7","12","1","15","5","2","9","10","13","3","4","6","8","14","11","nan","nan"
"7","12","10","13","1","2","9","8","4","6","14","15","5","3","11","nan","nan"
"1","5","12","6","8","11","4","3","13","9","7","15","14","2","10","nan","nan"
"2","13","12","14","1","5","6","4","15","11","7","9","8","3","10","nan","nan"
"7","1","3","12","6","9","10","8","14","2","4","15","11","5","13","nan","nan"
"10","8","1","14","3","9","4","6","11","7","13","5","12","2","15","nan","nan"
"1","10","15","3","7","2","12","4","5","8","6","11","9","skipped","skipped","nan","nan"
"12","15","2","11","1","9","3","6","5","7","4","8","10","skipped","skipped","nan","nan"
"5","10","8","6","1","3","9","15","14","2","4","11","7","12","skipped","nan","nan"
"3","15","1","4","11","10","2","6","12","7","13","9","5","14","8","nan","nan"
"15","9","7","12","2","5","11","8","6","1","3","13","10","4","14","nan","nan"
"15","3","4","8","2","10","5","11","12","7","6","1","9","skipped","skipped","nan","nan"
"9","6","13","2","15","8","7","14","3","5","11","12","10","4","1","nan","nan"
"12","2","11","7","15","9","4","5","8","10","6","3","1","skipped","skipped","nan","nan"
"15","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","7","15","12","5","8","3","4","14","1","2","13","6","10","9","nan","nan"
"3","11","10","13","7","6","8","9","12","5","2","1","14","4","15","nan","nan"
"1","9","12","14","3","8","7","2","10","6","4","11","13","5","15","nan","nan"
"15","6","1","4","11","9","5","12","2","3","7","8","10","skipped","skipped","nan","nan"
"3","12","15","13","8","5","14","2","10","6","4","7","11","1","9","nan","nan"
"3","6","14","12","13","4","8","9","10","7","1","2","11","5","15","nan","nan"
"9","1","12","15","3","11","6","8","5","2","4","10","7","skipped","skipped","nan","nan"
"1","11","9","14","15","6","5","2","12","7","3","10","8","4","13","nan","nan"
"3","15","1","10","12","2","4","5","6","14","11","13","7","9","8","nan","nan"
"11","14","15","4","7","3","5","6","2","1","12","13","skipped","skipped","skipped","nan","nan"
"14","5","15","8","2","6","9","13","12","3","1","7","11","4","10","nan","nan"
"15","12","2","13","10","7","6","14","5","1","8","3","11","9","4","nan","nan"
"4","9","3","5","10","2","15","7","1","12","6","11","8","skipped","skipped","nan","nan"
"4","3","15","9","11","6","7","10","13","5","12","14","2","8","1","nan","nan"
"11","14","1","8","10","7","12","6","9","5","2","3","13","4","15","nan","nan"
"8","10","15","7","2","5","11","14","12","3","1","9","6","13","4","nan","nan"
"9","5","1","15","6","14","4","3","13","10","2","7","12","8","11","nan","nan"
"4","9","5","15","8","13","2","7","12","3","6","1","10","11","14","nan","nan"
"9","13","2","15","11","12","7","8","4","10","14","1","6","3","5","nan","nan"
"5","11","1","15","4","9","3","6","8","2","10","12","7","skipped","skipped","nan","nan"
"1","6","3","8","13","10","14","7","9","4","11","2","5","12","skipped","nan","nan"
"5","12","7","14","15","10","2","6","11","3","9","4","13","1","8","nan","nan"
"1","8","2","10","11","6","12","7","15","3","5","4","14","13","9","nan","nan"
"8","4","6","15","5","1","10","12","2","9","3","7","11","skipped","skipped","nan","nan"
"3","1","2","15","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","1","6","4","5","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"5","7","15","2","1","6","8","10","4","3","11","9","12","skipped","skipped","nan","nan"
"2","9","1","12","11","4","6","8","5","7","3","15","10","14","skipped","nan","nan"
"10","8","15","11","4","1","5","6","14","13","3","9","2","12","7","nan","nan"
