rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,numSeats,numCands
34,34,34,34,34,34,1,34,34,3,34,34,34,34,34,34,34,34,34,34,2,34,34,34,34,34,34,34,34,34,34,34,34,34,1.0,34.0
34,34,34,34,34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
34,12,34,34,34,1,34,9,34,5,34,34,34,34,34,12,34,34,4,34,2,3,8,34,34,6,34,34,5,7,34,34,34,34,,
34,34,34,14,19,12,12,6,34,34,34,7,34,10,12,8,34,34,1,4,19,5,19,12,3,9,12,16,12,2,16,34,34,16,,
16,34,34,34,34,34,1,12,34,34,34,11,34,13,14,34,10,3,34,7,4,34,34,8,34,5,15,9,2,34,34,34,34,6,,
34,12,34,34,34,9,34,8,34,2,34,34,34,3,34,34,34,34,10,34,1,13,11,34,4,7,34,34,34,6,34,5,34,34,,
3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,7,Skipped,Skipped,2,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,6,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
34,34,34,34,34,5,6,34,34,34,34,34,34,34,34,34,34,34,34,34,34,4,34,34,34,34,34,34,34,34,34,34,34,34,,
13,7,34,34,34,4,6,5,34,3,34,15,34,8,34,34,34,34,12,1,2,11,34,1,20,34,16,34,3,4,34,14,34,34,,
34,34,34,34,34,31,32,33,34,1,34,34,34,32,34,34,34,34,33,32,34,34,34,32,34,34,34,34,Skipped,31,34,34,34,34,,
34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,3,34,4,34,34,34,34,34,34,34,34,2,34,34,34,34,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
34,34,34,34,34,34,34,34,34,1,34,34,34,34,34,34,34,34,4,34,5,3,34,34,34,34,34,34,2,7,34,34,34,34,,
34,34,34,34,34,3,34,34,34,34,34,34,34,3,34,34,34,34,34,2,34,34,34,1,34,34,34,34,34,34,34,34,34,34,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,1,2,34,34,34,34,34,34,34,34,34,34,34,34,34,,
11,15,11,34,1,13,34,25,18,12,2,34,34,20,25,17,34,20,24,10,19,10,34,9,34,3,34,1,31,16,26,28,7,15,,
34,34,34,34,34,34,3,11,34,6,4,34,34,5,10,34,34,12,34,34,34,34,34,1,34,34,34,34,34,2,9,34,34,34,,
34,30,33,34,34,2,32,3,34,6,34,25,25,24,34,26,33,30,4,34,31,31,33,34,31,29,25,34,6,1,34,34,24,34,,
34,34,34,34,34,34,34,34,4,2,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,3,34,34,34,34,34,34,34,34,,
29,8,34,34,34,3,15,4,14,1,34,11,9,33,33,10,16,33,3,5,5,9,16,5,13,2,14,34,1,6,34,32,34,33,,
21,10,32,27,28,2,6,8,14,4,29,16,15,1,33,13,19,31,7,12,9,22,18,34,20,5,17,30,3,11,23,25,26,24,,
34,34,12,13,34,34,6,2,8,11,3,4,34,34,34,9,34,34,34,34,7,1,1,34,5,34,4,34,11,6,34,34,13,10,,
16,28,33,8,34,10,33,3,32,1,34,15,18,5,34,31,7,29,20,26,9,13,14,21,11,28,29,34,2,4,34,34,34,34,,
32,32,32,32,32,32,4,32,32,2,32,32,32,32,32,32,32,32,32,32,32,33,1,32,32,32,32,32,32,34,32,32,32,32,,
32,4,8,30,17,19,34,25,12,1,26,10,11,33,18,5,6,15,23,27,7,13,14,28,20,3,9,16,2,21,22,31,24,29,,
15,1,11,34,34,5,13,3,34,34,34,34,34,34,34,34,34,34,4,8,2,10,34,9,22,34,34,34,12,6,34,34,34,34,,
34,20,33,33,33,33,3,33,33,2,33,6,4,1,33,3,10,33,33,5,20,10,5,33,33,5,6,33,2,33,33,33,33,33,,
