rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
7,3,8,9,4,5,6,2,1,Unknown,9.0
2,9,3,9,9,9,1,9,9,Unknown,
9,9,9,6,9,3,9,1,8,Unknown,
4,3,7,8,1,5,9,6,2,Unknown,
7,5,6,9,8,2,4,3,1,Unknown,
9,1,9,9,9,9,9,9,9,Unknown,
8,6,7,9,5,4,2,3,1,Unknown,
5,1,8,4,6,7,2,3,9,Unknown,
7,1,6,4,9,5,2,3,8,Unknown,
2,4,7,6,3,5,9,9,1,Unknown,
1,9,9,9,9,9,9,9,9,Unknown,
6,9,5,4,1,8,2,3,7,Unknown,
1,9,1,1,9,1,1,9,9,Unknown,
9,9,9,9,1,9,9,9,9,Unknown,
1,9,9,9,9,9,9,9,9,Unknown,
8,5,9,4,6,7,2,3,1,Unknown,
3,1,7,5,4,6,9,8,2,Unknown,
9,1,9,5,2,4,9,6,3,Unknown,
9,9,9,9,9,9,1,9,9,Unknown,
9,4,9,9,5,8,7,1,4,Unknown,
1,3,9,5,2,9,9,4,9,Unknown,
4,3,7,5,1,6,8,9,2,Unknown,
9,7,6,5,2,8,4,3,1,Unknown,
9,4,9,9,2,9,9,1,4,Unknown,
6,3,4,8,2,7,5,9,1,Unknown,
9,9,1,9,9,7,9,1,9,Unknown,
6,1,7,3,5,4,2,9,8,Unknown,
9,9,9,9,9,9,1,9,9,Unknown,
7,4,9,6,1,5,8,1,3,Unknown,
9,9,9,9,9,9,9,1,9,Unknown,
9,3,9,9,2,9,9,9,1,Unknown,
1,9,9,9,9,9,9,9,9,Unknown,
