rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
8,9,5,1,1,4,7,6,2,2,3,1.0,11.0
7,4,11,11,11,11,5,6,3,1,2,,
2,1,11,7,10,6,3,8,9,4,5,,
6,9,7,11,8,2,1,3,4,10,5,,
7,2,11,9,8,1,10,5,4,6,3,,
11,4,9,3,7,2,5,8,6,10,1,,
7,4,11,10,9,2,3,6,5,8,1,,
9,1,7,6,8,5,4,2,10,4,3,,
11,4,7,3,9,8,5,10,6,1,2,,
9,5,4,2,3,7,1,10,11,8,6,,
11,4,8,7,9,2,6,3,10,5,1,,
7,11,10,1,2,5,6,9,4,3,8,,
11,2,7,8,10,5,3,4,9,6,1,,
11,11,11,3,1,11,11,2,4,11,11,,
11,4,11,11,5,11,1,6,11,3,2,,
8,2,8,1,5,8,6,7,8,3,6,,
7,1,6,10,8,2,9,11,5,4,3,,
9,4,8,1,10,7,5,2,11,6,3,,
8,3,10,11,5,1,6,4,7,2,9,,
4,3,5,1,2,11,6,10,9,9,9,,
11,4,10,2,7,9,6,1,5,8,3,,
9,4,11,3,10,8,5,1,7,6,2,,
10,6,7,2,1,9,4,8,11,3,5,,
10,2,11,5,6,1,9,3,7,4,8,,
8,2,11,10,4,5,1,9,6,7,3,,
2,8,7,3,5,11,1,9,6,4,10,,
3,6,9,1,2,5,7,10,8,11,4,,
9,4,7,3,8,11,9,2,5,6,1,,
9,1,4,6,11,2,3,8,5,10,7,,
10,8,7,4,1,11,6,9,3,2,5,,
8,11,7,3,6,10,4,1,5,9,2,,
9,3,7,2,10,11,8,5,4,6,1,,
7,2,5,9,8,11,6,3,4,10,1,,
2,8,10,1,4,6,3,9,7,5,11,,
8,2,4,1,7,11,5,10,9,3,6,,
10,2,8,1,4,11,9,5,7,6,3,,
8,1,11,6,5,3,4,7,10,9,2,,
9,6,5,2,4,7,8,1,11,10,3,,
6,1,5,2,3,10,8,11,7,4,9,,
8,9,1,3,5,10,2,11,7,4,6,,
11,1,10,4,2,6,7,5,9,8,3,,
8,11,5,2,3,11,7,6,1,4,11,,
7,9,4,2,1,11,5,6,10,3,8,,
8,6,7,1,4,11,3,2,10,5,9,,
9,1,10,4,8,11,6,2,5,7,3,,
10,6,2,4,3,8,7,11,5,1,9,,
9,1,10,4,6,5,3,11,8,7,2,,
2,3,10,4,9,11,1,5,11,11,11,,
5,2,8,4,6,10,1,9,7,3,11,,
9,1,6,11,8,3,4,5,7,10,2,,
8,2,9,1,10,4,11,7,5,6,3,,
11,1,11,11,11,4,6,5,11,2,3,,
8,2,10,4,9,6,5,7,11,3,1,,
