"rank1","rank2","rank3","rank4","Num Cands","Num Seats"
"1","2","4","skipped","4.0","1.0"
"2","1","3","skipped","nan","nan"
"1","2","4","3","nan","nan"
"1","2","4","3","nan","nan"
"1","2","4","3","nan","nan"
"1","2","3","4","nan","nan"
"1","2","3","4","nan","nan"
"1","2","4","3","nan","nan"
"2","1","4","3","nan","nan"
"1","2","4","3","nan","nan"
"1","2","4","3","nan","nan"
"1","2","4","3","nan","nan"
"1","2","3","4","nan","nan"
"1","2","3","4","nan","nan"
"1","2","4","3","nan","nan"
"1","2","3","4","nan","nan"
"1","2","4","3","nan","nan"
"1","2","3","4","nan","nan"
"1","2","4","3","nan","nan"
"1","3","4","skipped","nan","nan"
"1","2","3","4","nan","nan"
"1","2","3","4","nan","nan"
"1","3","4","2","nan","nan"
"1","2","3","4","nan","nan"
"1","2","4","3","nan","nan"
"1","2","4","3","nan","nan"
"1","2","3","4","nan","nan"
"1","2","4","3","nan","nan"
"1","4","3","2","nan","nan"
"1","3","2","4","nan","nan"
"1","2","4","3","nan","nan"
"1","2","4","skipped","nan","nan"
"1","3","4","2","nan","nan"
