rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,numSeats,numCands
21,21,8,1,6,21,5,21,21,21,21,21,21,9,3,21,2,7,21,10,4,1.0,21.0
21,21,21,21,21,21,6,21,3,21,21,21,5,4,2,21,1,5,7,21,21,,
12,17,15,21,8,5,21,10,14,9,4,1,3,6,2,18,21,11,7,16,13,,
10,7,13,21,16,17,12,18,3,14,2,1,9,4,5,11,20,8,6,15,11,,
8,2,4,19,5,17,21,13,18,7,10,1,14,15,11,9,16,3,6,20,12,,
21,9,21,9,21,9,21,9,21,21,21,1,21,9,9,9,9,21,21,2,21,,
9,14,3,20,17,7,18,6,8,15,10,1,2,4,5,12,21,16,11,19,13,,
3,19,9,4,6,21,15,17,16,10,20,11,14,5,2,12,7,8,13,18,1,,
14,2,4,14,5,19,7,16,11,14,21,3,18,8,20,17,9,10,1,6,15,,
21,1,17,20,15,21,21,21,21,21,21,21,21,19,21,18,21,15,2,21,21,,
1,1,1,6,1,1,6,1,6,1,21,1,1,1,6,1,6,1,6,6,6,,
21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,,
21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,,
16,8,11,3,18,12,19,9,5,7,21,6,17,2,1,15,14,13,10,20,4,,
21,21,21,1,2,21,21,21,21,21,21,3,21,21,21,21,21,21,21,21,21,,
2,19,9,11,17,5,21,7,15,10,8,1,16,6,13,4,19,18,14,12,3,,
21,15,8,5,17,13,4,16,12,19,20,10,11,3,2,18,1,6,7,14,9,,
11,15,10,1,2,13,21,21,17,9,1,16,12,8,6,14,7,2,10,21,2,,
21,21,21,3,21,21,21,21,21,21,21,21,21,2,1,21,3,8,21,4,21,,
3,16,14,6,9,1,21,2,17,18,19,15,20,13,5,8,11,10,7,12,4,,
6,18,4,2,7,19,21,16,11,8,1,3,20,9,10,15,5,14,17,12,13,,
18,3,18,21,18,18,18,18,18,18,18,19,18,1,18,18,18,18,2,20,18,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
21,3,2,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,4,21,21,,
12,7,1,19,3,18,20,8,16,14,9,11,17,4,5,10,21,6,2,13,15,,
8,5,13,17,10,9,21,4,12,3,7,1,6,2,19,14,11,15,16,20,18,,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,,
19,16,12,21,8,15,9,3,10,4,18,1,14,2,5,13,20,17,6,11,7,,
11,14,8,18,13,3,10,2,16,17,20,12,4,5,9,21,1,15,7,19,6,,
21,21,21,21,21,21,21,21,21,21,21,1,21,21,2,21,21,21,21,21,21,,
12,2,1,11,3,17,20,8,15,16,18,7,14,5,4,9,11,3,13,6,10,,
21,21,21,21,21,21,21,21,21,21,2,1,21,3,21,21,21,21,21,21,21,,
