rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
10,1,4,5,2,10,10,3,10,6,Unknown,10.0
10,10,1,2,10,10,10,10,10,3,Unknown,
10,10,10,10,1,2,10,3,10,10,Unknown,
6,5,1,9,2,4,7,10,8,3,Unknown,
3,4,10,2,1,10,10,10,10,10,Unknown,
10,10,10,10,10,10,10,10,10,1,Unknown,
2,1,9,10,3,4,7,5,8,6,Unknown,
10,1,6,8,7,9,3,5,4,2,Unknown,
3,4,5,6,1,7,9,2,10,2,Unknown,
1,6,4,7,2,5,8,10,9,3,Unknown,
10,10,3,2,10,10,10,10,10,1,Unknown,
10,1,10,10,3,10,10,2,10,10,Unknown,
6,10,1,2,4,5,3,8,7,9,Unknown,
10,2,10,10,1,10,10,3,10,10,Unknown,
10,10,2,3,10,10,10,10,10,1,Unknown,
4,10,7,8,5,3,2,9,6,1,Unknown,
6,5,3,8,4,2,7,10,9,1,Unknown,
10,10,10,10,1,10,10,3,10,2,Unknown,
7,6,3,8,4,10,2,9,5,1,Unknown,
2,3,5,10,7,1,10,6,8,4,Unknown,
6,5,1,3,10,4,10,10,10,2,Unknown,
10,10,1,3,10,10,10,10,10,2,Unknown,
1,7,4,2,3,5,6,8,10,9,Unknown,
1,6,7,9,2,3,4,8,5,7,Unknown,
4,4,3,10,8,6,6,10,10,2,Unknown,
2,3,10,6,9,4,7,8,5,1,Unknown,
10,10,10,3,10,10,1,10,2,10,Unknown,
10,10,2,1,10,10,4,10,3,10,Unknown,
10,9,2,4,1,3,5,7,6,8,Unknown,
6,7,2,4,10,3,5,9,8,1,Unknown,
8,7,3,2,4,5,9,6,10,1,Unknown,
9,10,3,1,2,8,4,6,5,7,Unknown,
8,9,1,2,7,4,5,10,6,3,Unknown,
